y2_hhid,dist_road,dist_popcenter,dist_admarc,dist_auction,dist_boma,dist_borderpost,dist_agmrkt,popdensity,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm_1k,twi_mwi,srtm_mwi_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2012_tot,h2012_wetQ,h2012_wetQstart,h2013_tot,h2013_wetQ,h2013_wetQstart,eviarea_avg,grn_avg,sen_avg,evimax_avg,h2012_eviarea,h2012_grn,h2012_sen,h2012_evimax,h2013_eviarea,h2013_grn,h2013_sen,h2013_evimax,LAT_DD_MOD,LON_DD_MOD,distY1Y2
3101-006,20,54,6,50,19,13,19,300-400,210,231,1347,250,740,49,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,810,11,Low Mountains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,776,609,16,726,486,15,801,744,16,89.22333333333334,136,238,.5720083333333333,116.95,116,267,.5983000000000001,81.13,148,200,.4940000000000001,-16.248542,35.171626,57.6
3102-001,0,20,1,74,20,61,20,200-300,221,237,1180,263,749,60,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/semiarid,760,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,786,599,16,784,537,18,846,659,16,64.26916666666666,146,239,.5020749999999999,77.47,120,252,.4929,66.39,155,241,.5008,-15.209715,35.372307,71.58
3103-001,3,10,2,8,10,58,10,3000-5000,208,224,1109,262,698,26,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,1010,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,604,16,718,479,18,832,711,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7308,35.0713,
3103-003,1,14,1,15,14,49,14,200-300,215,233,1077,242,648,39,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,860,12,Low Mountains,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,778,603,16,699,484,17,830,755,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.914324,34.961249,22.64
3105-002,3,5,4,4,5,55,5,3000-5000,203,219,1134,265,706,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1110,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,803,608,16,727,486,17,836,725,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3106-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,680,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3107-002,4,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,484,17,831,718,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3108-003,0,8,4,10,8,61,8,3000-5000,216,232,1017,242,644,33,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,890,16,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,775,586,16,712,469,19,776,651,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.719515,35.01206,5.67
3108-004,1,1,1,150,1,41,1,2000-3000,243,258,840,214,576,8,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)",Tropic-warm/semiarid,490,15,Mid-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,807,612,16,884,577,19,780,620,16,70.20833333333333,150,237,.5338583333333333,85.23999999999999,129,255,.5409,71.16,146,235,.5312,-14.485538,35.258561,145.46
3108-005,2,6,6,6,6,81,6,1000-2000,202,220,858,226,597,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/semiarid,1060,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,818,629,17,844,582,19,876,687,17,57.10416666666666,165,248,.490825,68.14,150,267,.4934,60.18,163,252,.5028,-13.931005,33.773814,242.74
3109-001,4,6,5,5,6,56,6,3000-5000,201,217,1144,265,712,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,799,605,16,724,483,17,827,713,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3109-002,3,5,5,4,5,55,5,3000-5000,203,219,1134,265,706,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1110,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,800,607,16,726,485,17,831,719,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3110-001,2,8,4,4,8,49,8,3000-5000,199,216,1168,264,709,6,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,806,615,16,729,493,17,872,772,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.834211,35.043033,11.51
3110-002,2,3,7,9,3,60,3,3000-5000,209,225,1061,256,673,22,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,781,596,16,719,484,17,793,684,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3111-001,2,5,5,4,5,55,5,3000-5000,203,219,1134,265,706,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1110,16,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,607,16,727,486,17,831,721,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3112-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,791,680,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3113-001,4,6,4,5,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,800,606,16,725,483,17,830,717,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3114-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,779,594,16,718,482,17,788,677,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3116-001,4,11,2,11,11,61,11,300-400,215,232,1047,248,662,10,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,960,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,788,594,16,710,474,19,802,675,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.708551,35.0527,9.960000000000001
3117-001,4,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,483,17,832,719,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3118-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,680,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3118-003,7,49,8,43,15,19,15,400-500,217,239,1588,288,817,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,680,14,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,829,629,16,775,520,15,832,752,16,73.43916666666668,131,213,.5072333333333333,84.20999999999999,103,220,.4901,56.71,151,178,.4593,-16.037822,35.384394,13.24
3118-004,0,13,3,6,13,46,13,3000-5000,201,218,1208,271,724,37,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1070,17,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,821,620,16,739,491,18,918,808,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.849072,35.097632,26.74
3119-001,4,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,483,17,831,718,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3120-001,1,5,7,6,5,51,5,3000-5000,204,220,1121,263,692,6,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,1080,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,796,611,16,722,494,17,839,745,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.836781,35.006549,9.69
3121-001,4,6,5,5,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,800,606,16,725,483,17,831,718,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3122-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,779,595,16,718,483,17,789,678,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3123-001,4,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,483,17,832,719,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3124-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,31,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,680,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3125-001,4,6,4,5,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,800,606,16,725,483,17,830,717,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3125-002,2,12,14,90,12,59,12,100-200,231,246,982,233,658,8,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-warm/semiarid,620,13,High-altitude Plains,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,789,601,16,738,480,19,839,715,16,75.83416666666666,152,241,.5540166666666666,71.63,151,267,.5136000000000001,79.17,139,241,.5554,-15.004106,35.059766,86.14
3126-002,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,679,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3127-001,3,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,483,17,832,719,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3128-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,779,595,16,718,483,17,789,678,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3128-006,7,38,8,123,7,12,7,200-300,209,223,967,246,674,4,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/semiarid,1020,14,High-altitude Plains,Moderate Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,819,624,16,825,535,20,865,738,16,67.30333333333334,149,237,.5268166666666666,82.52,124,256,.5187,67.56999999999999,149,236,.5215000000000001,-14.786876,34.696348,115.59
3129-001,3,5,5,5,5,57,5,3000-5000,206,222,1099,263,693,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1050,14,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,795,603,16,723,483,17,819,706,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3129-005,5,63,22,56,4,25,4,300-400,221,241,1703,301,864,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,590,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,873,647,16,934,603,15,905,787,16,73.43916666666668,131,213,.5072333333333333,84.20999999999999,103,220,.4901,56.71,151,178,.4593,-16.104966,35.474296,59.49
3130-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,679,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3130-002,2,8,2,9,8,60,8,3000-5000,215,232,1031,245,652,22,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,900,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,783,592,16,714,472,17,794,671,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.730987,35.03394,29.37
3131-001,17,51,6,49,36,28,23,100-200,258,281,840,189,523,55,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,80,13,Plains,No or Slight Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,741,585,16,676,443,15,733,684,16,80.35833333333333,136,235,.531675,77.59,138,256,.4979,61.56,168,224,.5128,-16.244051,35.035512,52.91
3131-003,3,6,4,4,6,55,6,2000-3000,201,216,1156,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1160,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,803,608,16,727,485,17,837,725,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3132-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,789,678,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3132-004,1,40,6,34,12,19,12,300-400,216,237,1416,268,760,49,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,730,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,812,618,16,767,501,15,811,737,16,89.22333333333334,136,238,.5720083333333333,116.95,116,267,.5983000000000001,81.13,148,200,.4940000000000001,-16.053343,35.271643,43.72
3133-001,4,6,5,5,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,800,606,16,725,483,17,831,718,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3134-001,2,4,6,10,4,61,4,3000-5000,209,225,1061,256,673,41,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,15,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,779,594,16,718,482,17,788,676,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3135-001,4,6,5,4,6,56,6,3000-5000,201,217,1153,265,715,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,801,606,16,725,483,17,832,719,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7545,35.0446,
3136-001,2,4,7,10,4,60,4,3000-5000,209,225,1061,256,673,35,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,1000,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,780,595,16,718,483,17,790,680,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7536,34.9929,
3136-003,2,20,2,20,20,76,20,50-100,198,216,989,196,569,22,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,1180,12,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,948,657,17,864,567,19,821,618,17,52.5675,165,243,.4503833333333334,63.02,133,250,.4572,45.1,196,255,.4596,-11.387758,33.857272,504.59
3137-001,1,3,8,8,3,59,3,3000-5000,210,226,1063,256,672,4,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,980,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,783,597,16,720,485,17,794,685,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7695,34.9969,
3138-001,1,11,2,4,11,48,11,3000-5000,198,215,1204,268,724,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,12,Mid-altitude Mountains,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,821,620,16,739,490,17,903,793,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.8234,35.0885,
3139-002,29,44,6,52,15,46,15,300-400,220,240,1563,300,843,49,Mosaic Vegetation(50-70%)/cropland(20-50%),Tropic-warm/subhumid,700,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,795,601,16,799,535,19,842,697,16,63.41,145,244,.4940416666666668,77.08,115,265,.4793,59.21,164,240,.4735,-15.707903,35.53629,58.04
3140-001,0,12,3,5,12,47,12,3000-5000,201,218,1208,271,724,12,Open(15-40%)broadleaved decidious forest/woodland(<5m),Tropic-warm/subhumid,1070,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,823,621,16,741,491,18,917,807,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.8234,35.0885,
3141-001,2,6,7,10,6,61,6,3000-5000,216,233,1011,241,640,16,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,880,13,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,773,588,16,716,476,17,773,655,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7695,34.9969,
3142-001,0,11,1,4,11,47,11,3000-5000,198,215,1204,268,724,0,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,1130,13,Mid-altitude Plateaus,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Very Severe Constraint,819,619,16,738,491,17,905,797,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.8234,35.0885,
3142-003,4,12,6,10,12,46,12,50-100,204,222,1160,263,695,18,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)",Tropic-warm/subhumid,1010,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Moderate Constraint,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Severe Constraint,796,613,16,718,492,17,875,785,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.885816,35.059653,9.68
3143-001,1,3,8,8,3,59,3,3000-5000,210,226,1063,256,672,2,Artificial surfaces and associated areas(Urban areas>50%),Tropic-warm/subhumid,980,12,Low Plateaus,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,No or Slight Constraint,No or Slight Constraint,No or Slight Constraint,Mainly Non-Soil,783,597,16,720,485,17,793,684,16,70.60250000000001,140,242,.5098583333333334,74.29000000000001,133,258,.4822,73.53,145,225,.5117,-15.7695,34.9969,
