HHID,case_id,visit,ea_id,fs_h0a,fs_h0a_os,fs_h01,fs_h02,fs_h03,fs_h04,fs_h05,fs_h06
2823,311087030266,1,31108703,kambuzi(beach)seine,,No,,,,,
2823,311087030266,1,31108703,mbedza(long /hand line),,No,,,,,
2823,311087030266,1,31108703,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2823,311087030266,1,31108703,mono(fish traps),,No,,,,,
2823,311087030266,1,31108703,chavi (castnet),,No,,,,,
2823,311087030266,1,31108703,"other, specify",,No,,,,,
2823,311087030266,1,31108703,"other, specify",,No,,,,,
2827,311087030320,1,31108703,usipa(mosquito)net,,No,,,,,
2827,311087030320,1,31108703,kambuzi(beach)seine,,No,,,,,
2827,311087030320,1,31108703,mbedza(long /hand line),,No,,,,,
2827,311087030320,1,31108703,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2827,311087030320,1,31108703,mono(fish traps),,No,,,,,
2827,311087030320,1,31108703,chavi (castnet),,No,,,,,
2827,311087030320,1,31108703,"other, specify",,No,,,,,
2827,311087030320,1,31108703,"other, specify",,No,,,,,
2835,311087030327,1,31108703,usipa(mosquito)net,,No,,,,,
2835,311087030327,1,31108703,kambuzi(beach)seine,,No,,,,,
2835,311087030327,1,31108703,mbedza(long /hand line),,No,,,,,
2835,311087030327,1,31108703,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2835,311087030327,1,31108703,mono(fish traps),,No,,,,,
2835,311087030327,1,31108703,chavi (castnet),,No,,,,,
2835,311087030327,1,31108703,"other, specify",,No,,,,,
2835,311087030327,1,31108703,"other, specify",,No,,,,,
2833,311087030374,1,31108703,,,,,,,,
2891,312046180102,1,31204618,,,,,,,,
2868,314325230046,2,31432523,,,,,,,,
2940,314386900029,2,31438690,,,,,,,,
2958,314391020044,2,31439102,,,,,,,,
2978,314391020125,2,31439102,usipa(mosquito)net,,No,,,,,
2978,314391020125,2,31439102,kambuzi(beach)seine,,No,,,,,
2978,314391020125,2,31439102,mbedza(long /hand line),,No,,,,,
2978,314391020125,2,31439102,mbuka/ntaya/ukonde (gillnet),,No,,,,,
2978,314391020125,2,31439102,mono(fish traps),,No,,,,,
2978,314391020125,2,31439102,chavi (castnet),,No,,,,,
2978,314391020125,2,31439102,"other, specify",,No,,,,,
2978,314391020125,2,31439102,"other, specify",,No,,,,,
2984,314423940024,2,31442394,,,,,,,,
