HHID,case_id,ea_id,reside,stratum,hh_wgt,qx_type,hh_a01,hh_a02,hh_a02b,hh_a11,hh_a13,hh_a22_1,hh_a22_2,hh_a23_1,hh_a23a_1,hh_a23b_1,hh_a23c_1,hh_a23_2,hh_a23a_2,hh_a23b_2,hh_a23c_2,hh_a25_1,hh_a25_2,hh_a26_1,hh_a26a_1,hh_a26b_1,hh_a26c_1,hh_a26_2,hh_a26a_2,hh_a26b_2,hh_a26c_2,hh_a31_1,hh_a31_2,hh_a32_1,hh_a32a_1,hh_a32b_1,hh_a32c_1,hh_a32_2,hh_a32a_2,hh_a32b_2,hh_a32c_2,hh_a34_1,hh_a34_2,hh_a35_1,hh_a35a_1,hh_a35b_1,hh_a35c_1,hh_a35_2,hh_a35a_2,hh_a35b_2,hh_a35c_2,hh_g09,hh_m00,hh_o00,hh_s01,hh_w01,int_outcome_1,int_outcome_2
11,101012150021,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,13,13,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,13may2010,13,5,2010,21sep2010,21,9,2010,19,19,02jun2010,2,6,2010,22sep2010,22,9,2010,5,5,23nov2010,23,11,2010,04jan2011,4,1,2011,No,Yes,No,No,No,Complete,Complete
5,101012150022,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,11,11,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,13may2010,13,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
13,101012150026,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,12,12,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,13may2010,13,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
1,101012150028,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,19may2010,19,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
25,101012150034,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,14,14,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,14may2010,14,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,No,No,Yes,Complete,Complete
9,101012150038,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,13,13,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,17may2010,17,5,2010,21sep2010,21,9,2010,19,19,02jun2010,2,6,2010,22sep2010,22,9,2010,5,5,23nov2010,23,11,2010,04jan2011,4,1,2011,No,Yes,No,No,No,Complete,Complete
31,101012150040,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,12,12,13may2010,13,5,2010,21sep2010,21,9,2010,10,10,14may2010,14,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
15,101012150045,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,Yes,Dwelling found but appears unoccupied,13,13,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,14may2010,14,5,2010,21sep2010,21,9,2010,19,19,02jun2010,2,6,2010,22sep2010,22,9,2010,5,5,23nov2010,23,11,2010,04jan2011,4,1,2011,No,Yes,No,Yes,No,Complete,Complete
29,101012150048,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,15may2010,15,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
27,101012150049,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,13,13,13may2010,13,5,2010,21sep2010,21,9,2010,10,10,14may2010,14,5,2010,21sep2010,21,9,2010,19,19,02jun2010,2,6,2010,21sep2010,21,9,2010,5,5,23nov2010,23,11,2010,04jan2011,4,1,2011,No,Yes,No,No,No,Complete,Complete
23,101012150053,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,11,11,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,17may2010,17,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,Yes,No,No,Complete,Complete
19,101012150059,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,14,14,12may2010,12,5,2010,21sep2010,21,9,2010,10,10,16may2010,16,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,No,Yes,No,No,No,Complete,Complete
3,101012150060,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,No,,12,12,11may2010,11,5,2010,21sep2010,21,9,2010,10,10,13may2010,13,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,No,Yes,Yes,No,No,Complete,Complete
7,101012150074,10101215,rural,North - Rural,444.56241,Panel A,Chitipa,1,Mwabulambya,Yes,Dwelling found but appears unoccupied,14,14,13may2010,13,5,2010,21sep2010,21,9,2010,10,10,14may2010,14,5,2010,21sep2010,21,9,2010,19,19,03jun2010,3,6,2010,22sep2010,22,9,2010,5,5,24nov2010,24,11,2010,04jan2011,4,1,2011,Yes,Yes,No,No,No,Complete,Complete
20,101015620009,10101562,rural,North - Rural,345.05539,Panel B,Chitipa,1,Mwabulambya,Yes,Dwelling found but appears unoccupied,14,24,06jul2010,6,7,2010,20oct2010,20,10,2010,10,10,07jul2010,7,7,2010,20oct2010,20,10,2010,19,19,10jul2010,10,7,2010,20oct2010,20,10,2010,13,11,11dec2010,11,12,2010,11feb2011,11,2,2011,Yes,Yes,Yes,No,No,Complete,Complete
30,101015620020,10101562,rural,North - Rural,345.05539,Panel B,Chitipa,1,Mwabulambya,No,,12,12,06jul2010,6,7,2010,19oct2010,19,10,2010,10,10,06jul2010,6,7,2010,19oct2010,19,10,2010,19,19,10jul2010,10,7,2010,20oct2010,20,10,2010,13,11,13dec2010,13,12,2010,12feb2011,12,2,2011,No,Yes,No,No,No,Complete,Complete
10,101015620031,10101562,rural,North - Rural,345.05539,Panel B,Chitipa,1,Mwabulambya,No,,13,13,05jul2010,5,7,2010,19oct2010,19,10,2010,10,10,05jul2010,5,7,2010,19oct2010,19,10,2010,19,19,10jul2010,10,7,2010,20oct2010,20,10,2010,13,11,11dec2010,11,12,2010,11feb2011,11,2,2011,No,Yes,No,Yes,No,Complete,Complete
6,101015620042,10101562,rural,North - Rural,345.05539,Panel B,Chitipa,1,Mwabulambya,No,,12,12,05jul2010,5,7,2010,20oct2010,20,10,2010,10,10,05jul2010,5,7,2010,20oct2010,20,10,2010,19,19,10jul2010,10,7,2010,20oct2010,20,10,2010,13,11,13dec2010,13,12,2010,12feb2011,12,2,2011,Yes,Yes,Yes,No,No,Complete,Complete
