HHID,case_id,visit,ea_id,fs_e01,fs_e02,fs_e02_os,fs_e03,fs_e04a,fs_e04b,fs_e04b_os,fs_e04c,fs_e04c_os,fs_e04d,fs_e04e,fs_e04f,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06b_os,fs_e06c,fs_e06c_os,fs_e06d,fs_e06e,fs_e06f,fs_e07,fs_e07_os,fs_e08a,fs_e08b,fs_e08b_os,fs_e08c,fs_e08c_os,fs_e08d,fs_e08e,fs_e08f,fs_e08f_os,fs_e08g,fs_e08h,fs_e09,fs_e10,fs_e10_os,fs_e11a,fs_e11b,fs_e11b_os,fs_e11c,fs_e11c_os,fs_e11d,fs_e11e,fs_e11e_os,fs_e11f,fs_e12,fs_e13,fs_e13_os
2278,303076780046,2,30307678,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,304067100177,1,30406710,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,305024560043,1,30502456,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,307086650188,2,30708665,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,307116840099,1,30711684,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,307116840228,1,30711684,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,308016720066,1,30801672,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2777,310021690162,1,31002169,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2823,311087030266,1,31108703,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2827,311087030320,1,31108703,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2835,311087030327,1,31108703,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2833,311087030374,1,31108703,Yes,Mlamba,,4,500,Piece,,Fresh,,,,,2000,,2000,Piece,,Fresh,,,,,,,500,Piece,,Fresh,,5000,,,,,,4,No,,0,Piece,,Fresh,,,,,,Almost none,,
2833,311087030374,1,31108703,Yes,Chambo,,4,300,Piece,,Fresh,,,,,1200,,1200,Piece,,Fresh,,,,,"Yes, the figures matched",,275,Piece,,Fresh,,1500,,,,,,4,No,,25,Piece,,Fresh,,,,,,1/4,"Yes, the figures matched",
2891,312046180102,1,31204618,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2868,314325230046,2,31432523,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,314386900029,2,31438690,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,314391020044,2,31439102,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,314391020125,2,31439102,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,314423940024,2,31442394,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
