PID,eligible_tracking,status,whynotfound,specialcase
013403,0,Found,,
013404,0,Found,,
013405,0,Found,,
013406,0,Found,,
013501,1,Found,,
013502,1,Found,,
013503,1,Found,,
013504,1,Found,,
013505,0,Found,,
013506,0,Found,,
013601,1,Found,,
013602,1,Found,,
013603,1,Found,,
013604,0,Found,,
013605,0,Found,,
013701,1,Found,,
013702,1,Found,,
013703,1,Found,,
013704,0,Found,,
013705,0,Found,,
013706,0,Found,,
013707,1,Found,,
013801,1,Found,,
013802,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
013901,1,Found,,
013902,1,Found,,
013903,0,Found,,
013904,0,Found,,
014001,1,Found,,
014002,1,Found,,
014003,0,Found,,
014101,1,Found,,
014102,1,Found,,
014103,0,Found,,
014201,1,Found,,
014202,1,Found,,
014203,1,Found,,
014204,1,Found,,
014205,1,Found,,
014206,1,Found,,
014207,1,Found,,
014301,1,Individual Dead,,
014302,1,Found,,
014303,1,Found,,
014304,0,"Not Found, Tracking Ineligible",Individual Outside Malawi or in Likoma,
014401,1,Found,,
014402,1,Found,,
014403,0,Found,,
014501,1,Found,,
014502,1,Found,,
014503,1,Found,,
014504,1,Found,,
014505,1,Found,,
014506,1,Found,,
014507,0,Found,,
014508,0,Found,,
014509,0,Found,,
014510,0,Found,,
014511,0,Found,,
014601,1,Found,,
014602,1,Found,,
014603,1,Found,,
014604,1,Found,,
014605,0,Found,,
014701,1,Found,,
014702,1,Individual Dead,,
014703,1,Found,,
014704,1,Found,,
014705,1,Found,,
014706,1,Found,,
014707,1,Found,,
014708,1,Found,,
014709,0,Found,,
014801,1,Found,,
014802,1,Found,,
014803,1,Found,,
014804,1,Found,,
014805,0,Found,,
014806,0,Found,,
014901,1,Found,,
014902,1,Found,,
015001,1,Found,,
015002,1,Found,,
015003,1,Found,,
015004,0,Found,,
015101,1,Individual Dead,,
015102,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
015103,0,"Not Found, Tracking Ineligible",Individual Outside Malawi or in Likoma,
015104,0,"Not Found, Tracking Ineligible",Individual Outside Malawi or in Likoma,
015201,1,Found,,
015202,1,Found,,
015203,1,Found,,
015204,1,Found,,
015205,0,Found,,
015301,1,Found,,
015302,1,Found,,
015303,0,Found,,
015304,0,Found,,
015401,1,Found,,
015402,1,Found,,
015403,1,Found,,
015404,0,Found,,
015405,0,Found,,
015501,1,Found,,
015502,1,Found,,
015503,1,Found,,
015504,0,Found,,
015505,0,Found,,
015506,0,Found,,
015507,1,Found,,
015508,1,Found,,
015509,1,Found,,
015601,1,Found,,
015602,1,Found,,
015701,1,Found,,
015801,1,Found,,
015802,1,Found,,
015803,0,Found,,
015804,0,Found,,
015901,1,Found,,
016001,1,Found,,
016002,1,Found,,
016003,1,Found,,
016004,0,Found,,
016005,0,Found,,
016006,1,Found,,
016101,1,Found,,
016102,1,Found,,
016103,1,Found,,
016104,0,Found,,
016105,0,Found,,
016106,1,Found,,
016201,1,Found,,
016202,1,Found,,
016203,1,Found,,
016204,1,Found,,
016205,1,Found,,
016206,0,Found,,
016207,0,Found,,
016208,0,Found,,
016301,1,Found,,
016302,1,Found,,
016303,1,Found,,
016304,0,Found,,
016305,0,Found,,
016401,1,Found,,
016402,1,Found,,
016403,1,Found,,
016404,1,Found,,
016405,0,Found,,
016406,0,Found,,
016407,0,Found,,
016408,0,Found,,
016409,0,Found,,
016410,1,Found,,
016501,1,Found,,
016502,1,Found,,
016503,0,Found,,
016504,0,Found,,
016505,0,Found,,
016601,1,Found,,
016602,1,Found,,
016603,1,Found,,
016604,1,Found,,
016605,1,Found,,
016606,1,Found,,
016701,1,Found,,
016702,1,Found,,
016703,1,Found,,
016704,1,Found,,
016705,0,Found,,
016801,1,Found,,
016802,1,Found,,
016803,1,Found,,
016805,1,Found,,
016806,1,Found,,
016807,1,Found,,
016808,1,Found,,
016809,0,Found,,
016810,0,Found,,
016901,1,Found,,
016902,1,Individual Dead,,
016903,1,Found,,
017001,1,Found,,
017002,1,"Not Found, Tracking Eligible",,
017003,0,Found,,
017004,0,Found,,
017101,1,Found,,
017102,1,Found,,
017103,1,Found,,
017104,0,Found,,
017105,1,Found,,
017201,1,Found,,
017301,1,Found,,
017302,0,"Not Found, Tracking Ineligible",,
017401,1,Individual Dead,,
017402,1,Found,,
017404,0,"Not Found, Tracking Ineligible",,
017501,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017502,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017503,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017504,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017505,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017506,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017507,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017508,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017509,1,"Not Found, Tracking Eligible",Entire HH in Institution,
017601,1,Found,,
017602,1,Found,,
017603,1,Found,,
017604,1,Found,,
017605,0,Found,,
017606,0,Found,,
017607,0,Found,,
017701,1,Found,,
017702,1,Found,,
017703,1,Found,,
017704,0,Found,,
017705,0,Found,,
017706,0,Found,,
017707,1,Found,,
017708,1,Found,,
017801,1,Found,,
017802,1,Found,,
017803,1,Found,,
017804,1,Found,,
017805,1,Found,,
017806,1,Found,,
017807,1,Found,,
017808,0,Found,,
017901,1,Found,,
017902,1,Found,,
017903,0,Found,,
017904,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
018001,1,Found,,
018002,1,Found,,
018101,1,Found,,
018102,1,Found,,
018103,1,Found,,
018104,1,Found,,
018105,1,Found,,
018106,0,Individual Dead,,
018201,1,Found,,
018202,1,Found,,
018203,0,Found,,
018301,1,Found,,
018401,1,Found,,
018402,1,Found,,
018403,0,Found,,
018404,0,Found,,
018405,0,Found,,
018406,1,Found,,
018407,1,Found,,
018501,1,Found,,
018502,1,Found,,
018503,0,Found,,
018601,1,Found,,
018602,1,Found,,
018603,0,Found,,
018701,1,Found,,
018702,1,Found,,
018703,1,Found,,
018704,1,Found,,
018705,1,Found,,
018801,1,Found,,
018802,1,Found,,
018803,1,Found,,
018804,0,Found,,
018805,0,Found,,
018806,0,Found,,
018807,0,Found,,
018901,1,Found,,
018902,1,Found,,
018903,1,Found,,
018904,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
018905,1,Found,,
018906,0,Found,,
018907,0,Found,,
018908,0,Found,,
018909,0,Found,,
019001,1,Found,,
019002,1,Found,,
019003,1,Found,,
019004,1,Found,,
019005,0,Found,,
019006,0,Found,,
019101,1,Found,,
019102,1,Found,,
019103,1,Found,,
019104,1,Found,,
019105,1,Found,,
019106,1,Found,,
019107,0,Found,,
019201,1,Found,,
019202,1,Found,,
019203,1,Found,,
019204,1,"Not Found, Tracking Eligible",Individual Outside Malawi or in Likoma,
019205,1,Found,,
019206,1,Found,,
019207,0,Found,,
019208,0,"Not Found, Tracking Ineligible",,
019209,0,Found,,
019301,1,Individual Dead,,
019302,1,Found,,
019303,1,Found,,
019304,1,Found,,
019401,1,Found,,
019501,1,Found,,
019502,1,Found,,
019503,1,Found,,
019504,1,Found,,
019505,0,Found,,
019601,1,Found,,
019602,1,Found,,
019603,0,Found,,
019604,0,Found,,
019701,1,Found,,
019702,1,Found,,
019703,0,Found,,
019704,0,Found,,
019801,1,Found,,
019802,1,Found,,
019803,1,Found,,
019804,1,Found,,
019805,0,"Not Found, Tracking Ineligible",,
019806,1,"Not Found, Tracking Eligible",,
019807,0,Found,,
019808,0,"Not Found, Tracking Ineligible",,
019901,1,Found,,
019902,1,Found,,
020001,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
020101,1,Found,,
020201,1,Found,,
020202,1,Found,,
020203,1,Found,,
020204,0,Found,,
020301,1,Found,,
020302,1,Found,,
020303,1,Found,,
020304,1,Found,,
020305,1,Found,,
020306,1,"Not Found, Tracking Eligible",,
020307,0,Found,,
020308,0,"Not Found, Tracking Ineligible",,
020309,0,Found,,
020401,1,Found,,
020402,1,"Not Found, Tracking Eligible",,
020403,1,Found,,
020404,1,Found,,
020405,0,"Not Found, Tracking Ineligible",,
020406,0,"Not Found, Tracking Ineligible",,
020501,1,Found,,
020502,1,Found,,
020503,1,Found,,
020504,0,Found,,
020601,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
020602,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
020603,1,"Not Found, Tracking Eligible",Entire HH Outside Malawi or in Likoma,
020604,0,"Not Found, Tracking Ineligible",Entire HH Outside Malawi or in Likoma,
020701,1,Found,,
020702,1,Found,,
020703,1,Found,,
020704,1,Individual Dead,,
020705,1,Found,,
020706,1,Found,,
020707,1,Found,,
020801,1,Found,,
020802,1,Found,,
020803,1,Found,,
020804,1,Found,,
020805,1,Found,,
020806,1,Found,,
020807,1,Found,,
020901,1,Found,,
020902,1,Found,,
020903,0,Found,,
021001,1,Found,,
021002,1,Found,,
021003,0,Found,,
021004,0,Found,,
021005,1,Found,,
