occ,ea_id,com_cd01,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd11,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd23,com_cd24,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65e,com_cd65f,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
1,31201516,DIRT ROAD (MAINTAINED),YES,12,12,NO,3,KM,10,MINUTE,300,2000,NO,3,KM,YES,,,NO,3,12,1,0,,11,871,YES,,YES,3/4,COOKED FOOD,NO,3,KM,32,630,7,KM,14,294,YES,0,0,0,0,YES,,,NO,3,KM,,,NO,,,,,3,KM,GOVERNMENT FACILITY,YES,950,YES,YES,NO,NO,NO,NO,NO,3,KM,NO,3,KM,NO,YES
1,31204618,GRADED GRAVELED,YES,12,12,NO,18,KM,15,MINUTE,1000,2600,NO,5,KM,NO,4,KM,NO,18,2,2,2,METER,8,370,NO,3,YES,3/4,COOKED FOOD,NO,18,KM,32,629,6,KM,12,292,NO,0,0,0,0,YES,,,NO,8,KM,,,YES,YES,FEMALE,YES,YES,18,KM,GOVERNMENT FACILITY,NO,,YES,YES,NO,YES,NO,NO,NO,18,KM,NO,18,KM,NO,NO
1,31432523,TAR/ASPHALT,YES,0,12,NO,4,KM,2,MINUTE,300,300,NO,4,KM,NO,8,KM,NO,4,7,2,100,METER,15,1118,YES,,YES,3/4,COOKED FOOD,NO,5,KM,39,502,4,KM,38,218,YES,0,0,0,0,YES,,,YES,,,SOMETIMES AVAILABLE,NO,YES,,,,,4,KM,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,4,KM,NO,4,KM,NO,YES
1,31432676,TAR/ASPHALT,YES,12,12,YES,,,10,MINUTE,0,0,YES,,,NO,8,KM,NO,3,2,10,2,4,38,2182,YES,,YES,3/4,COOKED FOOD,NO,3,KM,39,502,3,KM,23,520,NO,1,1,5,1,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,4,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,YES,,,NO,2,KM,NO,NO
1,31435120,GRADED GRAVELED,YES,12,12,NO,400,KM,4,HOUR,100,100,YES,,,YES,,,NO,400,1,1,2,KM,15,1371,YES,,YES,3/4,COOKED FOOD,NO,,,38,770,4,KM,21,300,YES,0,0,1,2,YES,,,NO,2,KM,,,NO,,,,,3,KM,PRIVATE FACILITY,YES,0,NO,,,,,,NO,5,KM,NO,5,KM,NO,NO
1,31435753,TAR/ASPHALT,YES,12,12,YES,,,6,MINUTE,100,1,NO,7,KM,YES,,,YES,,1,2,2,KM,51,3310,YES,,NO,,,NO,3,KM,38,770,2,KM,21,300,NO,0,0,2,2,YES,,,YES,,,ALWAYS AVAILABLE,YES,YES,YES,MALE,YES,YES,50,METER,PRIVATE FACILITY,NO,,NO,,,,,,NO,3,KM,NO,3,KM,NO,NO
1,31436695,DIRT ROAD (MAINTAINED),YES,0,4,NO,2,KM,4,MINUTE,150,150,YES,,,YES,,,NO,0,1,0,5,KM,51,3310,YES,,YES,3/4,COOKED FOOD,NO,4,KM,38,770,4,KM,21,300,NO,0,0,1,0,YES,,,YES,,,ALWAYS AVAILABLE,YES,NO,,,,,0,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,6,KM,NO,6,KM,NO,NO
1,31438690,DIRT ROAD (MAINTAINED),YES,12,12,NO,5,KM,1,MINUTE,200,200,NO,3,KM,NO,6,KM,NO,4,4,0,200,METER,20,900,YES,,YES,3/4,COOKED FOOD,YES,12,KM,68,115,4,KM,23,520,YES,0,0,0,0,YES,,,NO,3,KM,,,NO,,,,,6,KM,GOVERNMENT FACILITY,YES,0,YES,YES,YES,YES,YES,YES,NO,5,KM,YES,,,NO,NO
1,31439102,TAR/ASPHALT,YES,12,12,YES,,,2,HOUR,,,NO,400,METER,NO,4,KM,NO,300,7,0,320,METER,38,2182,YES,,YES,3/4,COOKED FOOD,YES,400,METER,63,999,400,KM,23,520,NO,0,0,0,1,YES,,,YES,,,ALWAYS AVAILABLE,YES,YES,YES,MALE,YES,NO,400,METER,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,500,METER,NO,400,KM,NO,NO
1,31441389,GRADED GRAVELED,YES,0,12,NO,1,KM,4,HOUR,150,150,YES,,,NO,6,MILE,NO,4,2,1,2,KM,38,2182,YES,,YES,3/4,COOKED FOOD,YES,2,KM,39,502,2,KM,23,520,NO,1,1,0,0,YES,,,NO,2,KM,,,NO,,,,,1,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,NO,4,KM,NO,2,KM,NO,NO
1,31442394,GRADED GRAVELED,YES,12,12,NO,400,METER,10,MINUTE,150,150,YES,,,NO,6,MILE,YES,,12,1,1,KM,37,1800,YES,,YES,3/4,COOKED FOOD,NO,4,KM,68,115,200,METER,21,271,NO,1,0,1,0,YES,,,NO,200,METER,,,NO,,,,,300,METER,GOVERNMENT FACILITY,YES,0,NO,,,,,,NO,4,KM,NO,4,KM,NO,NO
