HHID,case_id,visit,ea_id,fs_d0c,fs_d07,fs_d08,fs_d09,fs_d10,fs_d11,fs_d12,fs_d13,fs_d14a,fs_d14b,fs_d14c,fs_d14d
501,105033670018,1,10503367,"other, specify",No,,,,,,,,,,
501,105033670018,1,10503367,"other, specify",No,,,,,,,,,,
633,107321920281,1,10732192,bwato (dugout),No,,,,,,,0,0,0,0
633,107321920281,1,10732192,plankboat,No,,,,,,,,,,
633,107321920281,1,10732192,outboard engine,No,,,,,,,,,,
633,107321920281,1,10732192,"other, specify",No,,,,,,,,,,
633,107321920281,1,10732192,"other, specify",No,,,,,,,,,,
764,107462440085,2,10746244,bwato (dugout),No,,,,,,,0,0,0,0
764,107462440085,2,10746244,plankboat,No,,,,,,,,,,
764,107462440085,2,10746244,outboard engine,No,,,,,,,,,,
764,107462440085,2,10746244,"other, specify",No,,,,,,,,,,
764,107462440085,2,10746244,"other, specify",No,,,,,,,,,,
793,201106200267,1,20110620,bwato (dugout),No,,,,,,,0,0,0,0
793,201106200267,1,20110620,plankboat,No,,,,,,,,,,
793,201106200267,1,20110620,outboard engine,No,,,,,,,,,,
793,201106200267,1,20110620,"other, specify",No,,,,,,,,,,
793,201106200267,1,20110620,"other, specify",No,,,,,,,,,,
973,204040320072,1,20404032,bwato (dugout),No,,,,,,,0,0,0,0
973,204040320072,1,20404032,plankboat,No,,,,,,,,,,
973,204040320072,1,20404032,outboard engine,No,,,,,,,,,,
973,204040320072,1,20404032,"other, specify",No,,,,,,,,,,
973,204040320072,1,20404032,"other, specify",No,,,,,,,,,,
1107,205083490010,1,20508349,bwato (dugout),No,,,,,,,0,0,0,0
1107,205083490010,1,20508349,plankboat,No,,,,,,,,,,
1107,205083490010,1,20508349,outboard engine,No,,,,,,,,,,
1107,205083490010,1,20508349,"other, specify",No,,,,,,,,,,
1107,205083490010,1,20508349,"other, specify",No,,,,,,,,,,
1091,205083490121,1,20508349,bwato (dugout),No,,,,,,,0,0,0,0
1091,205083490121,1,20508349,plankboat,No,,,,,,,,,,
1091,205083490121,1,20508349,outboard engine,No,,,,,,,,,,
1091,205083490121,1,20508349,"other, specify",No,,,,,,,,,,
1091,205083490121,1,20508349,"other, specify",No,,,,,,,,,,
1381,207053720086,1,20705372,bwato (dugout),No,,,,,,,0,0,0,0
1381,207053720086,1,20705372,plankboat,No,,,,,,,,,,
1381,207053720086,1,20705372,outboard engine,No,,,,,,,,,,
1381,207053720086,1,20705372,"other, specify",No,,,,,,,,,,
1381,207053720086,1,20705372,"other, specify",No,,,,,,,,,,
1429,207061630586,1,20706163,bwato (dugout),No,,,,,,,0,0,0,0
1429,207061630586,1,20706163,plankboat,No,,,,,,,,,,
1429,207061630586,1,20706163,outboard engine,No,,,,,,,,,,
1429,207061630586,1,20706163,"other, specify",No,,,,,,,,,,
1429,207061630586,1,20706163,"other, specify",No,,,,,,,,,,
1461,208044050092,1,20804405,bwato (dugout),No,,,,,,,0,0,0,0
1461,208044050092,1,20804405,plankboat,No,,,,,,,,,,
1461,208044050092,1,20804405,outboard engine,No,,,,,,,,,,
1461,208044050092,1,20804405,"other, specify",No,,,,,,,,,,
1461,208044050092,1,20804405,"other, specify",No,,,,,,,,,,
1637,210375360135,1,21037536,bwato (dugout),No,,,,,,,0,0,0,0
1637,210375360135,1,21037536,plankboat,No,,,,,,,,,,
1637,210375360135,1,21037536,outboard engine,No,,,,,,,,,,
1637,210375360135,1,21037536,"other, specify",No,,,,,,,,,,
1637,210375360135,1,21037536,"other, specify",No,,,,,,,,,,
1951,301012800005,1,30101280,bwato (dugout),No,,,,,,,0,0,0,0
1951,301012800005,1,30101280,plankboat,No,,,,,,,,,,
1951,301012800005,1,30101280,outboard engine,No,,,,,,,,,,
1951,301012800005,1,30101280,"other, specify",No,,,,,,,,,,
1951,301012800005,1,30101280,"other, specify",No,,,,,,,,,,
1923,301012800063,1,30101280,bwato (dugout),No,,,,,,,2,1,0,0
1923,301012800063,1,30101280,plankboat,No,,,,,,,,,,
1923,301012800063,1,30101280,outboard engine,No,,,,,,,,,,
1923,301012800063,1,30101280,"other, specify",No,,,,,,,,,,
1923,301012800063,1,30101280,"other, specify",No,,,,,,,,,,
1935,301012800066,1,30101280,bwato (dugout),No,,,,,,,0,0,0,0
1935,301012800066,1,30101280,plankboat,No,,,,,,,,,,
1935,301012800066,1,30101280,outboard engine,No,,,,,,,,,,
1935,301012800066,1,30101280,"other, specify",No,,,,,,,,,,
1935,301012800066,1,30101280,"other, specify",No,,,,,,,,,,
1943,301012800128,1,30101280,bwato (dugout),No,,,,,,,0,0,0,0
1943,301012800128,1,30101280,plankboat,Yes,1,0,4000,0,0,0,,,,
1943,301012800128,1,30101280,outboard engine,No,,,,,,,,,,
1943,301012800128,1,30101280,"other, specify",No,,,,,,,,,,
1943,301012800128,1,30101280,"other, specify",No,,,,,,,,,,
1939,301012800172,1,30101280,bwato (dugout),No,,,,,,,2,0,0,0
1939,301012800172,1,30101280,plankboat,Yes,1,0,20000,0,0,0,,,,
1939,301012800172,1,30101280,outboard engine,No,,,,,,,,,,
1939,301012800172,1,30101280,"other, specify",No,,,,,,,,,,
1939,301012800172,1,30101280,"other, specify",No,,,,,,,,,,
1979,301020280258,1,30102028,bwato (dugout),No,,,,,,,0,0,0,0
1979,301020280258,1,30102028,plankboat,No,,,,,,,,,,
1979,301020280258,1,30102028,outboard engine,No,,,,,,,,,,
1979,301020280258,1,30102028,"other, specify",No,,,,,,,,,,
1979,301020280258,1,30102028,"other, specify",No,,,,,,,,,,
2053,301084010268,1,30108401,bwato (dugout),No,,,,,,,0,0,0,0
2053,301084010268,1,30108401,plankboat,Yes,1,0,25000,0,0,0,,,,
2053,301084010268,1,30108401,outboard engine,No,,,,,,,,,,
2053,301084010268,1,30108401,"other, specify",No,,,,,,,,,,
2053,301084010268,1,30108401,"other, specify",No,,,,,,,,,,
2189,303026010171,1,30302601,bwato (dugout),No,,,,,,,0,0,0,0
2189,303026010171,1,30302601,plankboat,No,,,,,,,,,,
2189,303026010171,1,30302601,outboard engine,No,,,,,,,,,,
2189,303026010171,1,30302601,"other, specify",No,,,,,,,,,,
2189,303026010171,1,30302601,"other, specify",No,,,,,,,,,,
2223,303052770138,1,30305277,bwato (dugout),No,,,,,,,0,0,0,0
2223,303052770138,1,30305277,plankboat,No,,,,,,,,,,
2223,303052770138,1,30305277,outboard engine,No,,,,,,,,,,
2223,303052770138,1,30305277,"other, specify",No,,,,,,,,,,
2223,303052770138,1,30305277,"other, specify",No,,,,,,,,,,
2257,303055800113,1,30305580,bwato (dugout),No,,,,,,,0,0,0,0
2257,303055800113,1,30305580,plankboat,No,,,,,,,,,,
2257,303055800113,1,30305580,outboard engine,No,,,,,,,,,,
2257,303055800113,1,30305580,"other, specify",No,,,,,,,,,,
2257,303055800113,1,30305580,"other, specify",No,,,,,,,,,,
2278,303076780046,2,30307678,bwato (dugout),No,,,,,,,0,0,0,0
2278,303076780046,2,30307678,plankboat,No,,,,,,,,,,
2278,303076780046,2,30307678,outboard engine,No,,,,,,,,,,
2278,303076780046,2,30307678,"other, specify",No,,,,,,,,,,
2278,303076780046,2,30307678,"other, specify",No,,,,,,,,,,
2355,304067100177,1,30406710,bwato (dugout),No,,,,,,,0,0,0,0
2355,304067100177,1,30406710,plankboat,No,,,,,,,,,,
2355,304067100177,1,30406710,outboard engine,No,,,,,,,,,,
2355,304067100177,1,30406710,"other, specify",No,,,,,,,,,,
2355,304067100177,1,30406710,"other, specify",No,,,,,,,,,,
2399,305024560043,1,30502456,bwato (dugout),No,,,,,,,0,0,0,0
2399,305024560043,1,30502456,plankboat,No,,,,,,,,,,
2399,305024560043,1,30502456,outboard engine,No,,,,,,,,,,
2399,305024560043,1,30502456,"other, specify",No,,,,,,,,,,
2399,305024560043,1,30502456,"other, specify",No,,,,,,,,,,
2454,307086650188,2,30708665,bwato (dugout),No,,,,,,,0,0,0,0
2454,307086650188,2,30708665,plankboat,No,,,,,,,,,,
2454,307086650188,2,30708665,outboard engine,No,,,,,,,,,,
2454,307086650188,2,30708665,"other, specify",No,,,,,,,,,,
2454,307086650188,2,30708665,"other, specify",No,,,,,,,,,,
2581,307116840099,1,30711684,bwato (dugout),No,,,,,,,0,0,0,0
2581,307116840099,1,30711684,plankboat,No,,,,,,,,,,
2581,307116840099,1,30711684,outboard engine,No,,,,,,,,,,
2581,307116840099,1,30711684,"other, specify",No,,,,,,,,,,
2581,307116840099,1,30711684,"other, specify",No,,,,,,,,,,
2569,307116840228,1,30711684,bwato (dugout),No,,,,,,,0,0,0,0
2569,307116840228,1,30711684,plankboat,No,,,,,,,,,,
2569,307116840228,1,30711684,outboard engine,No,,,,,,,,,,
2569,307116840228,1,30711684,"other, specify",No,,,,,,,,,,
2569,307116840228,1,30711684,"other, specify",No,,,,,,,,,,
2623,308016720066,1,30801672,bwato (dugout),No,,,,,,,0,0,0,0
2623,308016720066,1,30801672,plankboat,No,,,,,,,,,,
2623,308016720066,1,30801672,outboard engine,No,,,,,,,,,,
2623,308016720066,1,30801672,"other, specify",No,,,,,,,,,,
2623,308016720066,1,30801672,"other, specify",No,,,,,,,,,,
2777,310021690162,1,31002169,bwato (dugout),No,,,,,,,0,0,0,0
2777,310021690162,1,31002169,plankboat,No,,,,,,,,,,
2777,310021690162,1,31002169,outboard engine,No,,,,,,,,,,
2777,310021690162,1,31002169,"other, specify",No,,,,,,,,,,
2777,310021690162,1,31002169,"other, specify",No,,,,,,,,,,
2823,311087030266,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2823,311087030266,1,31108703,plankboat,No,,,,,,,,,,
2823,311087030266,1,31108703,outboard engine,No,,,,,,,,,,
2823,311087030266,1,31108703,"other, specify",No,,,,,,,,,,
2823,311087030266,1,31108703,"other, specify",No,,,,,,,,,,
2827,311087030320,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2827,311087030320,1,31108703,plankboat,No,,,,,,,,,,
2827,311087030320,1,31108703,outboard engine,No,,,,,,,,,,
2827,311087030320,1,31108703,"other, specify",No,,,,,,,,,,
2827,311087030320,1,31108703,"other, specify",No,,,,,,,,,,
2835,311087030327,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2835,311087030327,1,31108703,plankboat,No,,,,,,,,,,
2835,311087030327,1,31108703,outboard engine,No,,,,,,,,,,
2835,311087030327,1,31108703,"other, specify",No,,,,,,,,,,
2835,311087030327,1,31108703,"other, specify",No,,,,,,,,,,
2833,311087030374,1,31108703,bwato (dugout),Yes,1,1,5500,0,0,0,0,0,0,0
2833,311087030374,1,31108703,plankboat,No,,,,,,,,,,
2833,311087030374,1,31108703,outboard engine,No,,,,,,,,,,
2833,311087030374,1,31108703,"other, specify",No,,,,,,,,,,
2833,311087030374,1,31108703,"other, specify",No,,,,,,,,,,
2891,312046180102,1,31204618,bwato (dugout),No,,,,,,,0,0,0,0
2891,312046180102,1,31204618,plankboat,No,,,,,,,,,,
2891,312046180102,1,31204618,outboard engine,No,,,,,,,,,,
2891,312046180102,1,31204618,"other, specify",No,,,,,,,,,,
2891,312046180102,1,31204618,"other, specify",No,,,,,,,,,,
2868,314325230046,2,31432523,bwato (dugout),No,,,,,,,0,0,0,0
2868,314325230046,2,31432523,plankboat,No,,,,,,,,,,
2868,314325230046,2,31432523,outboard engine,No,,,,,,,,,,
2868,314325230046,2,31432523,"other, specify",No,,,,,,,,,,
2868,314325230046,2,31432523,"other, specify",No,,,,,,,,,,
2940,314386900029,2,31438690,bwato (dugout),No,,,,,,,0,0,0,0
2940,314386900029,2,31438690,plankboat,No,,,,,,,,,,
2940,314386900029,2,31438690,outboard engine,No,,,,,,,,,,
2940,314386900029,2,31438690,"other, specify",No,,,,,,,,,,
2940,314386900029,2,31438690,"other, specify",No,,,,,,,,,,
2958,314391020044,2,31439102,bwato (dugout),No,,,,,,,0,0,0,0
2958,314391020044,2,31439102,plankboat,No,,,,,,,,,,
2958,314391020044,2,31439102,outboard engine,No,,,,,,,,,,
2958,314391020044,2,31439102,"other, specify",No,,,,,,,,,,
2958,314391020044,2,31439102,"other, specify",No,,,,,,,,,,
2978,314391020125,2,31439102,bwato (dugout),No,,,,,,,2,4,0,0
2978,314391020125,2,31439102,plankboat,No,,,,,,,0,0,0,0
2978,314391020125,2,31439102,outboard engine,No,,,,,,,,,,
2978,314391020125,2,31439102,"other, specify",No,,,,,,,,,,
2978,314391020125,2,31439102,"other, specify",No,,,,,,,,,,
2984,314423940024,2,31442394,bwato (dugout),No,,,,,,,0,0,0,0
2984,314423940024,2,31442394,plankboat,No,,,,,,,,,,
2984,314423940024,2,31442394,outboard engine,No,,,,,,,,,,
2984,314423940024,2,31442394,"other, specify",No,,,,,,,,,,
2984,314423940024,2,31442394,"other, specify",No,,,,,,,,,,
