occ,ea_id,com_cf28,com_cf00,com_cf29,com_cf30,com_cf31,com_cf32a,com_cf32b,com_cf33,com_cf34,com_cf35a,com_cf35b,com_cf35c,com_cf35d,com_cf35e
1,30406710,YES,101,IRRIGATION,INCREASE CROP YIELDS,30,3,2010,FARMERS & EXTERNAL SOURCES,OTHER (SPECIFY),YES,YES,NO,NO,NO
2,30406710,,102,IRRIGATION,INCREASE CROP YIELDS,50,6,2012,EXTERNAL SOURCES ONLY,OTHER (SPECIFY),YES,YES,NO,NO,NO
1,30501383,NO,,,,,,,,,,,,,
1,30502456,NO,,,,,,,,,,,,,
1,30503685,NO,,,,,,,,,,,,,
1,30504518,YES,101,TOTAL LAND CARE,IMPROVE SOIL QUALITY,26,8,2013,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
1,30602235,NO,,,,,,,,,,,,,
1,30620196,NO,,,,,,,,,,,,,
1,30703381,NO,,,,,,,,,,,,,
1,30704313,NO,,,,,,,,,,,,,
1,30705391,,,,,,,,,,,,,,
1,30706619,YES,101,WALA,INCREASE CROP YIELDS,15,7,2011,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,30708665,NO,,,,,,,,,,,,,
1,30709438,NO,,,,,,,,,,,,,
1,30710079,,,,,,,,,,,,,,
1,30711684,YES,101,IRRIGATION,IRRIGATION,10,4,2010,FARMERS & EXTERNAL SOURCES,,YES,NO,NO,NO,NO
1,30801672,NO,,,,,,,,,,,,,
1,30801679,NO,,,,,,,,,,,,,
1,30803115,NO,,,,,,,,,,,,,
1,30804416,YES,101,AFRICARE,CONSERVATION AGRICULTURE,45,10,2009,EXTERNAL SOURCES ONLY,DFID,YES,YES,NO,NO,NO
1,30805259,NO,,,,,,,,,,,,,
1,30806611,NO,,,,,,,,,,,,,
1,30901054,NO,,,,,,,,,,,,,
1,30901475,NO,,,,,,,,,,,,,
1,30901603,NO,,,,,,,,,,,,,
1,31001333,YES,101,MALAWI COTTON,REDUCE SOIL EROSION,30,8,2010,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,NO,NO,NO,YES,NO
2,31001333,,102,GREAT LAKES,MINIMUM TILLAGE/PLANTING PITS,36,8,2010,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,NO,NO,NO,YES,NO
1,31001749,NO,,,,,,,,,,,,,
1,31002169,YES,101,HUNGER PROJECT,CONSERVATION AGRICULTURE,200,4,2000,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,YES,NO,NO
1,31004312,NO,,,,,,,,,,,,,
1,31006556,YES,101,WALIA MALAWI,REDUCE SOIL EROSION,86,4,2011,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,YES
2,31006556,,102,WORLD VISION,LIVESTOCK-PRODUCTION,62,6,2010,EXTERNAL SOURCES ONLY,CARE INTERNATIONAL,YES,NO,NO,NO,NO
1,31007335,YES,101,EVENGLICAL,IMPROVE SOIL QUALITY,25,10,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,YES,NO,YES
1,31108703,YES,101,CONCERD,INCREASE CROP YIELDS,40,11,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
2,31108703,,102,ACT 10N,MINIMUM TILLAGE/PLANTING PITS,20,11,2012,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,YES,NO,NO,NO
1,31201007,YES,101,MDULAMIZU,IRRIGATION,40,,2013,FARMERS & EXTERNAL SOURCES,TOTAL LAND CARE,YES,NO,NO,NO,NO
1,31201104,NO,,,,,,,,,,,,,
1,31201197,NO,,,,,,,,,,,,,
1,31201516,YES,101,PROJECT CONCERN INTERNATI,INCREASE CROP YIELDS,15,4,2010,FARMERS & EXTERNAL SOURCES,CARE INTERNATIONAL,NO,NO,NO,YES,NO
1,31204618,NO,,,,,,,,,,,,,
1,31432523,YES,101,REDUCE SOIL,REDUCE SOIL EROSION,20,,2008,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,NO,NO,NO,NO
1,31432676,,,,,,,,,,,,,,
1,31435120,YES,101,IMPROVE SOIL QUALITY,IMPROVE SOIL QUALITY,20,11,2013,EXTERNAL SOURCES ONLY,JICCA,YES,NO,NO,NO,NO
1,31435753,NO,,,,,,,,,,,,,
1,31436695,NO,,,,,,,,,,,,,
1,31438690,YES,101,IMPROVE SOIL QUALITY,INCREASE CROP YIELDS,20,8,2013,EXTERNAL SOURCES ONLY,TOTAL LAND CARE,YES,NO,NO,NO,NO
1,31439102,NO,,,,,,,,,,,,,
1,31441389,NO,,,,,,,,,,,,,
1,31442394,NO,,,,,,,,,,,,,
1,31443108,NO,,,,,,,,,,,,,
1,31443270,YES,101,IMPROVE SOIL QUALITY,IMPROVE SOIL QUALITY,20,8,2013,EXTERNAL SOURCES ONLY,CARE INTERNATIONAL,YES,NO,NO,NO,NO
1,31532674,NO,,,,,,,,,,,,,
1,31533095,NO,,,,,,,,,,,,,
1,31536118,NO,,,,,,,,,,,,,
1,31536751,,,,,,,,,,,,,,
1,31539670,NO,,,,,,,,,,,,,
1,31540419,NO,,,,,,,,,,,,,
1,31545384,NO,,,,,,,,,,,,,
1,31546760,NO,,,,,,,,,,,,,
1,31550254,,,,,,,,,,,,,,
1,31552686,NO,,,,,,,,,,,,,
1,31554613,NO,,,,,,,,,,,,,
1,31555614,NO,,,,,,,,,,,,,
