ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
20507459,Salima,7,80,11jun2010,11,6,2010,89,01oct2010,1,10,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20508349,Salima,8,80,11apr2010,11,4,2010,89,08may2010,8,5,2010,YES,NO,YES,NO,NO,YES,MUD (YOMATA),GRASS
20601141,Lilongwe,1,60,06may2010,6,5,2010,690,07jul2010,7,7,2010,NO,NO,NO,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20601626,Lilongwe,1,60,07aug2010,7,8,2010,690,13aug2010,13,8,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
20602363,Lilongwe,2,60,08jul2010,8,7,2010,690,21sep2010,21,9,2010,YES,NO,YES,NO,YES,YES,MUD BRICK (UNFIRED),IRON SHEETS
20603090,Lilongwe,3,60,28jul2010,28,7,2010,690,14aug2010,14,8,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20603533,Lilongwe,3,60,02jun2010,2,6,2010,690,07jul2010,7,7,2010,YES,YES,YES,YES,YES,YES,BURNT BRICKS,IRON SHEETS
20604638,Lilongwe,4,60,05aug2010,5,8,2010,690,14aug2010,14,8,2010,YES,NO,YES,NO,NO,YES,GRASS,GRASS
20605302,Lilongwe,5,60,14jun2010,14,6,2010,690,07jul2010,7,7,2010,YES,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20607260,Lilongwe,7,60,23jul2010,23,7,2010,690,14aug2010,14,8,2010,YES,NO,YES,YES,NO,YES,MUD BRICK (UNFIRED),IRON SHEETS
20607315,Lilongwe,7,60,31mar2010,31,3,2010,690,07jul2010,7,7,2010,YES,NO,YES,YES,YES,YES,MUD BRICK (UNFIRED),GRASS
20610050,Lilongwe,10,60,24may2010,24,5,2010,690,07jul2010,7,7,2010,YES,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20610249,Lilongwe,10,60,20sep2010,20,9,2010,690,21sep2010,21,9,2010,NO,NO,YES,NO,NO,YES,MUD (YOMATA),GRASS
20613324,Lilongwe,13,60,08jun2010,8,6,2010,690,05jul2010,5,7,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20614477,Lilongwe,14,60,13sep2010,13,9,2010,690,21sep2010,21,9,2010,YES,NO,NO,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20615064,Lilongwe,15,60,06apr2010,6,4,2010,690,05jul2010,5,7,2010,YES,NO,YES,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20615735,Lilongwe,15,60,01jul2010,1,7,2010,690,14aug2010,14,8,2010,NO,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20702471,Mchinji,2,40,06oct2010,6,10,2010,79,12oct2010,12,10,2010,YES,NO,YES,YES,NO,YES,BURNT BRICKS,GRASS
20704738,Mchinji,4,70,13may2010,13,5,2010,79,02jul2010,2,7,2010,NO,NO,NO,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20705372,Mchinji,5,70,07jul2010,7,7,2010,79,01aug2010,1,8,2010,NO,NO,YES,YES,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
20706163,Mchinji,6,60,30apr2010,30,4,2010,690,20jul2010,20,7,2010,NO,NO,YES,NO,NO,YES,MUD (YOMATA),GRASS
20801046,Dedza,1,80,02nov2010,2,11,2010,89,08nov2010,8,11,2010,YES,NO,YES,NO,NO,YES,MUD BRICK (UNFIRED),GRASS
20802019,Dedza,2,80,05oct2010,5,10,2010,89,06oct2010,6,10,2010,NO,NO,NO,NO,NO,YES,COMPACTED EARTH (YAMDINDO),GRASS
