HHID,case_id,visit,ea_id,fs_h0c,fs_h07,fs_h08,fs_h09,fs_h10,fs_h11,fs_h12,fs_h13,fs_h14a,fs_h14b,fs_h14c,fs_h14d
1979,301020280258,1,30102028,outboard engine,No,,,,,,,,,,
1979,301020280258,1,30102028,"other, specify",No,,,,,,,,,,
1979,301020280258,1,30102028,"other, specify",No,,,,,,,,,,
2053,301084010268,1,30108401,,,,,,,,,,,,
2189,303026010171,1,30302601,bwato (dugout),No,,,,,,,0,0,0,0
2189,303026010171,1,30302601,plankboat,No,,,,,,,,,,
2189,303026010171,1,30302601,outboard engine,No,,,,,,,,,,
2189,303026010171,1,30302601,"other, specify",No,,,,,,,,,,
2189,303026010171,1,30302601,"other, specify",No,,,,,,,,,,
2223,303052770138,1,30305277,,,,,,,,,,,,
2257,303055800113,1,30305580,,,,,,,,,,,,
2278,303076780046,2,30307678,bwato (dugout),No,,,,,,,0,0,0,0
2278,303076780046,2,30307678,plankboat,No,,,,,,,,,,
2278,303076780046,2,30307678,outboard engine,No,,,,,,,,,,
2278,303076780046,2,30307678,"other, specify",No,,,,,,,,,,
2278,303076780046,2,30307678,"other, specify",No,,,,,,,,,,
2355,304067100177,1,30406710,bwato (dugout),No,,,,,,,0,0,0,0
2355,304067100177,1,30406710,plankboat,No,,,,,,,,,,
2355,304067100177,1,30406710,outboard engine,No,,,,,,,,,,
2355,304067100177,1,30406710,"other, specify",No,,,,,,,,,,
2355,304067100177,1,30406710,"other, specify",No,,,,,,,,,,
2399,305024560043,1,30502456,bwato (dugout),No,,,,,,,0,0,0,0
2399,305024560043,1,30502456,plankboat,No,,,,,,,,,,
2399,305024560043,1,30502456,outboard engine,No,,,,,,,,,,
2399,305024560043,1,30502456,"other, specify",No,,,,,,,,,,
2399,305024560043,1,30502456,"other, specify",No,,,,,,,,,,
2454,307086650188,2,30708665,bwato (dugout),No,,,,,,,0,0,0,0
2454,307086650188,2,30708665,plankboat,No,,,,,,,,,,
2454,307086650188,2,30708665,outboard engine,No,,,,,,,,,,
2454,307086650188,2,30708665,"other, specify",No,,,,,,,,,,
2454,307086650188,2,30708665,"other, specify",No,,,,,,,,,,
2581,307116840099,1,30711684,bwato (dugout),No,,,,,,,0,0,0,0
2581,307116840099,1,30711684,plankboat,No,,,,,,,,,,
2581,307116840099,1,30711684,outboard engine,No,,,,,,,,,,
2581,307116840099,1,30711684,"other, specify",No,,,,,,,,,,
2581,307116840099,1,30711684,"other, specify",No,,,,,,,,,,
2569,307116840228,1,30711684,bwato (dugout),No,,,,,,,0,0,0,0
2569,307116840228,1,30711684,plankboat,No,,,,,,,,,,
2569,307116840228,1,30711684,outboard engine,No,,,,,,,,,,
2569,307116840228,1,30711684,"other, specify",No,,,,,,,,,,
2569,307116840228,1,30711684,"other, specify",No,,,,,,,,,,
2623,308016720066,1,30801672,bwato (dugout),No,,,,,,,2,4,0,0
2623,308016720066,1,30801672,plankboat,No,,,,,,,,,,
2623,308016720066,1,30801672,outboard engine,No,,,,,,,,,,
2623,308016720066,1,30801672,"other, specify",No,,,,,,,,,,
2623,308016720066,1,30801672,"other, specify",No,,,,,,,,,,
2777,310021690162,1,31002169,bwato (dugout),No,,,,,,,0,0,0,0
2777,310021690162,1,31002169,plankboat,No,,,,,,,,,,
2777,310021690162,1,31002169,outboard engine,No,,,,,,,,,,
2777,310021690162,1,31002169,"other, specify",No,,,,,,,,,,
2777,310021690162,1,31002169,"other, specify",No,,,,,,,,,,
2823,311087030266,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2823,311087030266,1,31108703,plankboat,No,,,,,,,,,,
2823,311087030266,1,31108703,outboard engine,No,,,,,,,,,,
2823,311087030266,1,31108703,"other, specify",No,,,,,,,,,,
2823,311087030266,1,31108703,"other, specify",No,,,,,,,,,,
2827,311087030320,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2827,311087030320,1,31108703,plankboat,No,,,,,,,,,,
2827,311087030320,1,31108703,outboard engine,No,,,,,,,,,,
2827,311087030320,1,31108703,"other, specify",No,,,,,,,,,,
2827,311087030320,1,31108703,"other, specify",No,,,,,,,,,,
2835,311087030327,1,31108703,bwato (dugout),No,,,,,,,0,0,0,0
2835,311087030327,1,31108703,plankboat,No,,,,,,,,,,
2835,311087030327,1,31108703,outboard engine,No,,,,,,,,,,
2835,311087030327,1,31108703,"other, specify",No,,,,,,,,,,
2835,311087030327,1,31108703,"other, specify",No,,,,,,,,,,
