HHID,case_id,visit,ea_id,fs_f00,fs_f01,fs_f01_os,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f03a,fs_f03b,fs_f03b_os,fs_f03c,fs_f03c_os,fs_f03d,fs_f03e,fs_f03f,fs_f03f_os,fs_f03g,fs_f03g_os,fs_f03h
2823,311087030266,1,31108703,1,Mlamba,,200,Piece,Fresh,10000,,,,,200,Piece,,Fresh,,20000,,,,,,
2823,311087030266,1,31108703,1,Chambo,,500,Piece,Fresh,4000,,,,,500,Piece,,Fresh,,10000,,,,,,
2827,311087030320,1,31108703,2,,,,,,,,,,,,,,,,,,,,,,
2835,311087030327,1,31108703,2,,,,,,,,,,,,,,,,,,,,,,
2833,311087030374,1,31108703,1,Mlamba,,75,Piece,Fresh,1200,,,,,60,Piece,,Fresh,,1150,,,,,,
2833,311087030374,1,31108703,1,Chambo,,500,Piece,Fresh,2000,,,,,200,Piece,,Fresh,,2150,,,,,,
2891,312046180102,1,31204618,1,Matemda,,6,Small basket,Sun-dried,3000,,,,,6,Small basket,,Sun-dried,,3500,,,,,,
2891,312046180102,1,31204618,1,Usipa,,6,Small basket,Sun-dried,3000,,,,,6,Small basket,,Sun-dried,,3500,,,,,,
2868,314325230046,2,31432523,1,Chambo,,10,Dozen,Smoked,1200,36,Piece,Fresh,15000,6,Dozen,,Smoked,,3200,36,Piece,,Fresh,,23000
2940,314386900029,2,31438690,1,Matemda,,2,Small basket,Sun-dried,1400,,,,,2,Small basket,,Sun-dried,,2100,,,,,,
2940,314386900029,2,31438690,1,Utaka,,1,Small basket,Sun-dried,900,,,,,1,Small basket,,Sun-dried,,1500,,,,,,
2958,314391020044,2,31439102,1,Matemda,,1,Small basket,Sun-dried,900,,,,,1,Small basket,,Sun-dried,,1500,,,,,,
2958,314391020044,2,31439102,1,Usipa,,1,25 kg bag,Sun-dried,600,,,,,1,25 kg bag,,Sun-dried,,1200,,,,,,
2958,314391020044,2,31439102,1,Utaka,,2,Small basket,Smoked,1000,,,,,2,Small basket,,Smoked,,2000,,,,,,
2978,314391020125,2,31439102,1,Mlamba,,1,Other (specify),Fresh,1000,,,,,1,Other (specify),1 BIG TIN,Fresh,,1500,,,,,,
2978,314391020125,2,31439102,1,Chambo,,12,Small basket,Fresh,35000,,,,,6,Small basket,,Fresh,,43000,,,,,,
2984,314423940024,2,31442394,1,Chambo,,34,Dozen,Smoked,250,,,,,25,,,Smoked,,500,2,,,Smoked,,500
