ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
30504518,DIRT ROAD (MAINTAINED),30,KM,NO,0,7,NO,10,KM,3,HOUR,NO,52,KM,500,NO,52,KM,BLANTYRE,500,NO,10,KM,NO,10,KM,NO,10,KM,NO,7,KM,NO,7,KM,16,0,5,KM,8,1085,YES,,NO,,,NO,45,KM,30,560,YES,10,KM,3,79,NO,1,0,0,0,NO,10,KM,NO,7,KM,,,,NO,,,,,52,KM,GOVERNMENT FACILITY,NO,,NO,,,,,,,,NO,30,KM,NO,52,KM,NO,NO
30602235,DIRT ROAD (MAINTAINED),26,KM,YES,0,8,NO,4,KM,4,HOUR,NO,26,KM,500,NO,126,KM,BLANTYRE,1000,NO,4,KM,NO,4,KM,YES,,,YES,,,YES,,,9,0,4,KM,8,671,YES,,NO,,,NO,26,KM,21,410,YES,4,KM,6,240,YES,1,0,0,0,NO,4,KM,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,NO,YES,FEMALE,NO,NO,56,KM,GOVERNMENT FACILITY,NO,,YES,NO,NO,NO,NO,YES,2,,NO,46,KM,NO,36,KM,NO,NO
30620196,TAR/ASPHALT,100,METER,YES,12,12,YES,,,6,HOUR,YES,,,,NO,100,KM,BLANTYRE,600,YES,,,YES,,,NO,4,KM,NO,1,KM,NO,1,KM,5,2,100,METER,13,883,YES,,NO,,,NO,2,KM,21,410,YES,2,KM,7,410,NO,0,0,3,2,YES,,,NO,2,KM,,,,NO,,,,,2,KM,GOVERNMENT FACILITY,YES,0,YES,NO,NO,YES,YES,YES,2,,NO,2,KM,NO,2,KM,NO,YES
30703381,DIRT ROAD (MAINTAINED),27,KM,YES,0,12,YES,,,30,MINUTE,NO,30,KM,500,NO,45,KM,BLANTYRE,900,NO,5,KM,YES,,,NO,7,KM,NO,7,KM,YES,,,6,2,4,KM,10,670,YES,,YES,ALMOST ALL,COOKED FOOD,NO,4,KM,29,440,YES,4,KM,5,150,NO,0,0,0,1,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,NO,,,,,17,KM,RELIGIOUS FACILITY,NO,,YES,YES,NO,YES,YES,NO,2,,NO,23,KM,NO,23,KM,NO,YES
30704313,DIRT ROAD (MAINTAINED),18,KM,NO,0,9,NO,14,KM,30,MINUTE,NO,30,KM,900,NO,45,KM,BLANTYRE,1000,NO,5,KM,NO,5,KM,NO,12,KM,NO,5,KM,NO,5,KM,6,0,5,KM,10,8,NO,4,YES,ALMOST ALL,COOKED FOOD,NO,27,KM,27,514,YES,20,KM,10,298,YES,0,0,0,0,YES,,,NO,20,KM,,,,NO,,,,,22,KM,RELIGIOUS FACILITY,NO,,NO,,,,,,,,NO,27,KM,NO,27,KM,NO,NO
30705391,GRADED GRAVELED,9,KM,YES,0,12,NO,9,KM,15,MINUTE,NO,7,KM,100,NO,15,KM,BLANTYRE,400,NO,13,KM,NO,13,KM,NO,13,KM,NO,13,KM,YES,,,3,0,3,KM,12,809,YES,,NO,,,YES,18,KM,27,514,YES,13,KM,11,305,YES,0,0,1,1,YES,,,YES,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,YES,NO,,,,,13,KM,GOVERNMENT FACILITY,YES,0,YES,YES,YES,YES,YES,YES,2,,NO,13,KM,NO,10,KM,NO,NO
30706619,GRADED GRAVELED,12,KM,NO,10,10,NO,7,KM,1,HOUR,NO,15,KM,300,NO,27,KM,BLANTYRE,450,NO,7,KM,NO,7,KM,NO,7,KM,NO,7,KM,NO,7,KM,4,1,7,KM,18,1222,NO,3,YES,ALMOST ALL,COOKED FOOD,NO,22,KM,27,514,YES,12,KM,9,294,NO,1,1,1,1,YES,,,NO,7,KM,,,,NO,,,,,3,KM,RELIGIOUS FACILITY,YES,0,NO,,,,,,,,NO,12,KM,NO,12,KM,NO,NO
30708665,TAR/ASPHALT,2,KM,YES,12,12,YES,,,10,MINUTE,NO,10,KM,80,NO,40,KM,BLANTYRE,350,YES,,,YES,,,YES,,,NO,10,KM,NO,4,KM,10,1,2,KM,17,2100,YES,,YES,ALMOST ALL,COOKED FOOD,NO,10,KM,15,480,YES,10,KM,9,550,NO,3,1,1,4,YES,,,YES,,,SOMETIMES AVAILABLE,GOVERNMENT FACILITY,NO,YES,,,,,15,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,15,KM,NO,15,KM,NO,NO
30709438,DIRT ROAD (MAINTAINED),9,KM,NO,0,9,YES,,,20,MINUTE,NO,21,KM,250,NO,24,KM,BLANTYRE,300,NO,9,KM,YES,,,NO,9,KM,NO,9,KM,YES,,,7,0,2,KM,26,1930,NO,2,YES,ALMOST ALL,COOKED FOOD,NO,11,KM,15,361,YES,6,KM,7,304,NO,0,0,0,1,YES,,,YES,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,YES,YES,,,,,15,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,9,KM,NO,9,KM,NO,NO
30710079,TAR/ASPHALT,0,KM,YES,12,12,YES,,,20,MINUTE,NO,7,KM,50,NO,12,KM,BLANTYRE,200,YES,,,YES,,,NO,5,KM,NO,5,KM,YES,,,3,0,3,KM,11,829,YES,,YES,ALMOST ALL,COOKED FOOD,NO,12,KM,27,514,YES,5,KM,14,324,YES,0,1,0,1,YES,,,YES,,,ALWAYS AVAILABLE,PRIVATE FACILITY,YES,NO,,,,,7,KM,GOVERNMENT FACILITY,YES,0,YES,YES,NO,YES,YES,YES,2,,NO,7,KM,NO,7,KM,YES,
