HHID,case_id,visit,ea_id,fs_e0a,fs_e14,fs_e15,fs_e16
2940,314386900029,2,31438690,chavi (castnet),No,,
2958,314391020044,2,31439102,usipa(mosquito)net,No,,
2958,314391020044,2,31439102,kambuzi(beach)seine,No,,
2958,314391020044,2,31439102,mbedza(long /hand line),No,,
2958,314391020044,2,31439102,mbuka/ntaya/ukonde (gillnet),No,,
2958,314391020044,2,31439102,mono(fish traps),No,,
2958,314391020044,2,31439102,chavi (castnet),No,,
2978,314391020125,2,31439102,usipa(mosquito)net,No,,
2978,314391020125,2,31439102,kambuzi(beach)seine,No,,
2978,314391020125,2,31439102,mbedza(long /hand line),No,,
2978,314391020125,2,31439102,mbuka/ntaya/ukonde (gillnet),No,,
2978,314391020125,2,31439102,mono(fish traps),No,,
2978,314391020125,2,31439102,chavi (castnet),No,,
2984,314423940024,2,31442394,usipa(mosquito)net,No,,
2984,314423940024,2,31442394,kambuzi(beach)seine,No,,
2984,314423940024,2,31442394,mbedza(long /hand line),No,,
2984,314423940024,2,31442394,mbuka/ntaya/ukonde (gillnet),No,,
2984,314423940024,2,31442394,mono(fish traps),No,,
2984,314423940024,2,31442394,chavi (castnet),No,,
