case_id,hhid,Fish_SpeciesID,fs_i02a,fs_i02b,fs_i02c,fs_i02d,fs_i02e,fs_i01,fs_i02,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
106012210109,3cf590999e8a4d2f8aa9edb7d2f5c9a2,,,,,,,yes,utaka,,12,4,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,48,,48,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,45,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,15000,,,,,,,12,yes,,3,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012210122,d525875262dc4c2da8ba6c2b80dc5820,,,,,,,yes,utaka,,12,10,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,,no,,,,,,120,,120,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,118,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,20000,,,,,,,12,yes,,2,OTHER (SPECIFY),"""RK LARGE BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012210186,dd157816118747f7b8c645deef83314a,,,,,,,yes,mlamba,,12,100,piece,,fresh,,no,,,,,,1200,,1200,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,1080,piece,,fresh,.,1500,,,,,,,12,yes,,120,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220017,9e377e99bbaa4fa1894e5c40b40fabbd,,,,,,,yes,utaka,,10,15,LARGE BASKET,,fresh,,no,,,,,,150,,150,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,14,LARGE BASKET,,fresh,.,17000,,,,,,,10,yes,,1,LARGE BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220061,1299960eefdc49dc85e74275ff361dab,,,,,,,yes,makumba,,10,50,piece,,fresh,,no,,,,,,500,,500,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,450,piece,,fresh,.,700,,,,,,,10,yes,,50,piece,,smoked,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220083,299b0466b1c7480c9217a68f8b5ed850,,,,,,,yes,usipa,,8,20,LARGE BASKET,,fresh,,no,,,,,,160,,160,LARGE BASKET,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,19,LARGE BASKET,,fresh,.,18000,,,,,,,8,yes,,1,LARGE BASKET,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220105,378d35459ffe4bbcb838fe972ccf76f4,,,,,,,yes,utaka,,12,10,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,no,,,,,,120,,120,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,114,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,18000,,,,,,,12,yes,,6,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220171,8949b0927d47403689676499aaa0e554,,,,,,,yes,other,KAMPANGO,8,60,piece,,fresh,,no,,,,,,480,,480,piece,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,456,piece,,fresh,.,900,,,,,,,8,yes,,24,piece,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220171,8949b0927d47403689676499aaa0e554,,,,,,,yes,utaka,,8,20,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,,no,,,,,,160,,160,OTHER (SPECIFY),LARGE  RK BASIN,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,152,OTHER (SPECIFY),LARGE RK BASIN,fresh,.,17000,,,,,,,8,yes,,8,OTHER (SPECIFY),"""LARGE RK BASIN """,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
106012220192,e07b605d86664cfeb87f6d0f41a31538,,,,,,,yes,other,Kampango,9,4,DOZEN / BUNDLE,,fresh,,no,,,,,,36,,36,DOZEN / BUNDLE,,fresh,.,,,,,,"YES, THE FIGURES MATCHED",.,32,DOZEN / BUNDLE,,fresh,.,10000,,,,,,,9,yes,,4,DOZEN / BUNDLE,,fresh,.,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",.
