case_id,hhid,Fishing_GearID,fs_h01a,fs_h01b,fs_h02,fs_h03,fs_h04,fs_hfilter,fs_h05,fs_hfilter6,fs_h06
302075600033,ec27dff59dc04b33b2ca19d9e24ace5a,Mono (fish traps),yes,,19,19,350,no,,no,
302075600255,0a4f52e5fc644f849d1a6fbec7e4881d,Mono (fish traps),yes,,40,40,1500,yes,8,no,
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,Mono (fish traps),yes,,30,30,3500,no,,no,
302225660115,1761f7fb3e9543ffaefd592cb0889f0b,Mono (fish traps),yes,.,30,30,3500,no,,no,
303025730130,ea35b6b913e24b4693837847c8b344c5,Mbedza (long /hand line),yes,,4,4,1500,yes,4,no,
303025730130,ea35b6b913e24b4693837847c8b344c5,Mono (fish traps),yes,,35,35,800,no,,no,
303025730226,b6be6a7b4cfd4d7b95bf635c402234fc,Mbedza (long /hand line),yes,,32,32,4000,no,,no,
303025730318,31fda59924d7462799196c02098345af,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,50000,no,,no,
303025730354,c88d0feb34de41e7b29b020fac7d45c2,Mbuka/ntaya/ukonde (gillnet),yes,,7,0,4500,no,,no,
307016630198,88752c4bfd9f4b93afeb4b9862a23fb3,Mono (fish traps),yes,.,2,2,3000,no,,no,
307016630198,88752c4bfd9f4b93afeb4b9862a23fb3,Mono (fish traps),yes,,2,2,3000,no,,no,
309017130078,0efc68515967476cb7731b9a3aa6e407,Mono (fish traps),yes,,100,100,350,no,,no,
309037330358,ac29c40bd5d145e3abc001c40fb75f97,Usipa (mosquito) net,yes,,1,0,5000,no,,yes,1500
310077550132,eae7ed540374429c86b201f812121926,Mono (fish traps),yes,,4,4,2000,no,,no,
311047620222,59af2959373a49688125879137dc025b,Mbedza (long /hand line),yes,,1,1,0,yes,2000,no,
311047620238,55528faf2f834dca86748ae2b0071c91,Kambuzi (beach) seine,yes,,1,0,2,no,,no,
311047660204,4861d8dd61ff411b8ffb7659ec704227,Mono (fish traps),yes,,3,3,4500,no,,no,
311047670007,fc0c6c2029ba4946904eeb0f511725eb,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,12500,no,,no,
311047680199,742c8b9196d14efba5a985ee1efeb29e,Mbedza (long /hand line),yes,,2,2,20,no,,no,
311047680229,2269acdf7ce34832985d1e67590ac420,Mbedza (long /hand line),yes,,5,5,40,no,,no,
311057710150,a0c68262af9248adbd39f263f4a84599,Mbedza (long /hand line),yes,.,1,1,200,yes,1,no,
311067740059,e1748feaa90e4f07b7e37d87d03cf617,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,650,no,,no,
