case_id,hhid,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m,Fish_SpeciesID
208074560039,81a57628687f42b982a6f9bc5c4c67dd,usipa,,0,,,,.,,no,,,,,.,,500,LARGE BASKET,,fresh,.,100000,no,,,,,.,,
209084770336,452339c5e51b4de0b1b5364a06ce2b63,mlamba,,22,piece,,SUN-DRIED,.,3500,no,,,,,.,,10,piece,,SUN-DRIED,.,1500,no,,,,,.,,
209084770336,452339c5e51b4de0b1b5364a06ce2b63,ncheni,,2,SMALL BASKET,,SUN-DRIED,.,5000,no,,,,,.,,1,SMALL BASKET,,SUN-DRIED,.,2300,no,,,,,.,,
209084770336,452339c5e51b4de0b1b5364a06ce2b63,aggregated,,1,DOZEN / BUNDLE,,SUN-DRIED,.,3000,no,,,,,.,,1,DOZEN / BUNDLE,,SUN-DRIED,.,2000,no,,,,,.,,
210374850023,727b994c7d5645c79c25721f927f4db6,mlamba,,4,SMALL BASKET,,smoked,.,17000,no,,,,,.,,2,SMALL BASKET,,smoked,.,28000,no,,,,,.,,
210374850023,727b994c7d5645c79c25721f927f4db6,makakani,,4,LARGE BASKET,,smoked,.,30000,no,,,,,.,,2,LARGE BASKET,,smoked,.,42000,no,,,,,.,,
210374860204,0afa6cb107f04e33a5c49ec8b08c7a13,matemba,,6,5 KG BAG,,SUN-DRIED,,2500,no,,,,,,,4,5 KG BAG,,SUN-DRIED,,3500,no,,,,,,,
210554990115,a0c88c606aba4243919fc58a511ecf92,usipa,,7,SMALL BASKET,,fresh,.,15000,no,,,.,,.,,7,SMALL BASKET,,fresh,.,25000,no,,,,,.,,
210554990115,a0c88c606aba4243919fc58a511ecf92,ncheni,,7,25 KG BAG,,fresh,.,25000,no,,,.,,.,,7,25 KG BAG,,fresh,.,35000,no,,,,,.,,
210805070191,ed21f28c6ce84bbbba2e339a1133791e,usipa,,12,LARGE BASKET,,smoked,.,10000,no,,,.,,.,,12,25 KG BAG,,smoked,.,35000,no,,,,,.,,
210805070191,ed21f28c6ce84bbbba2e339a1133791e,,,12,LARGE BASKET,,smoked,,10000,no,,,,,,,12,25 KG BAG,,smoked,,35000,no,,,,,,,9
210805080289,94707d2cf0d0412e89fbac899ad7b35b,utaka,,10,SMALL BASKET,,SUN-DRIED,,3500,no,,,,,,,10,SMALL BASKET,,SUN-DRIED,,4000,no,,,,,,,
210805080289,94707d2cf0d0412e89fbac899ad7b35b,matemba,,10,SMALL BASKET,,SUN-DRIED,,3000,no,,,,,,,10,SMALL BASKET,,SUN-DRIED,,3500,no,,,,,,,
210865120474,d7b785220d5f4c0f97941d0db6959d61,utaka,,5,OTHER (SPECIFY),5 litres bucket,SUN-DRIED,,2500,no,,,,,,,3,OTHER (SPECIFY),5 litres bucket,SUN-DRIED,,4000,no,,,,,,,
210865120474,d7b785220d5f4c0f97941d0db6959d61,usipa,,10,OTHER (SPECIFY),5 litre bucket,SUN-DRIED,,2000,no,,,,,,,10,OTHER (SPECIFY),5 litre bucket,SUN-DRIED,,4000,no,,,,,,,
210875140870,b390fcb5bd0f4a16adc6b6aa9c2ede77,utaka,,6,SMALL BASKET,,SUN-DRIED,,5500,no,,,,,,,6,SMALL BASKET,,SUN-DRIED,,7000,no,,,,,,,
210875150460,190c7b9e5cf54fd29cc63a8c52958266,usipa,,60,LARGE BASKET,,SUN-DRIED,.,15000,no,,,.,,.,,300,5 KG BAG,,SUN-DRIED,.,3000,no,,,,,.,,
210875151070,e8705d98dfd04f49a6b97f4e407ba94e,usipa,,1,DOZEN / BUNDLE,,SUN-DRIED,.,4500,no,,,.,,.,,1,SMALL BASKET,,SUN-DRIED,.,1,no,,,,,.,,
210885170286,7acafc1403574c2698ef86f309ca1fe3,other,NO BUSSINES DURING THE LAST HIGH SEASON,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
301015200213,b1996666a3424c91ba9b4e65358293f2,other,Mbaba,100,DOZEN / BUNDLE,,smoked,.,150,no,,,,,.,,10000,DOZEN / BUNDLE,,smoked,.,150,no,,,,,.,,
301025240017,f461be67c7ff4396b43392d0274e262e,utaka,,2,LARGE BASKET,,fresh,.,8000,no,,,.,,.,,72000,LARGE BASKET,,fresh,,8000,no,,,,,.,,
301025240034,8f666486648f44ea8d02359f35a2bd9f,chambo,,2,piece,,fresh,.,700,no,,,,,.,,5,DOZEN / BUNDLE,,fresh,.,2800,no,,,,,.,,
301025240034,8f666486648f44ea8d02359f35a2bd9f,matemba,,1,SMALL BASKET,,SUN-DRIED,.,2500,no,,,,,.,,0,,,,.,,no,,,,,.,,
301025240034,8f666486648f44ea8d02359f35a2bd9f,mlamba,,15,DOZEN / BUNDLE,,fresh,.,1200,no,,,,,.,,40,DOZEN / BUNDLE,,fresh,.,1200,no,,,,,.,,
301025240314,3aff34efc5254364b6bceeeb1932b2c4,utaka,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
301025240314,3aff34efc5254364b6bceeeb1932b2c4,usipa,,0,,,,.,,no,,,.,,.,,0,,,,,,no,,,,,.,,
301035250264,99c9b70b452f42adb3653c2fbdac459f,matemba,,2,SMALL BASKET,,fresh,,4000,yes,1,SMALL BASKET,,fresh,,1500,2000,piece,,fresh,,13500,no,,,,,,,
301035280256,f43028dc885a427aac52422c3df57cf4,usipa,,2,LARGE BASKET,,fresh,.,4000,no,,,.,,.,,2,LARGE BASKET,,fresh,,7000,no,,,,,.,,
301035280256,f43028dc885a427aac52422c3df57cf4,mlamba,,3,SMALL BASKET,,fresh,.,9000,no,,,.,,.,,3,SMALL BASKET,,fresh,,15000,no,,,,,.,,
301055320260,85bde2595a884ce7b4a397db85b877dd,matemba,,10,LARGE BASKET,,SUN-DRIED,.,5000,no,,,,,.,,6000,LARGE BASKET,,SUN-DRIED,.,6000,no,,,,,.,,
301055320260,85bde2595a884ce7b4a397db85b877dd,mlamba,,3,LARGE BASKET,,SUN-DRIED,.,6000,no,,,,,.,,3,LARGE BASKET,,SUN-DRIED,.,6000,no,,,,,.,,
301055320260,85bde2595a884ce7b4a397db85b877dd,usipa,,20,LARGE BASKET,,SUN-DRIED,.,3000,no,,,,,.,,20,LARGE BASKET,,SUN-DRIED,.,3000,no,,,,,.,,
301055320260,85bde2595a884ce7b4a397db85b877dd,ncheni,,10,DOZEN / BUNDLE,,SUN-DRIED,.,1500,no,,,,,.,,1500,DOZEN / BUNDLE,,SUN-DRIED,.,1500,no,,,,,.,,
301055320260,85bde2595a884ce7b4a397db85b877dd,makakani,,5,DOZEN / BUNDLE,,SUN-DRIED,.,4500,no,,,,,.,,5,DOZEN / BUNDLE,,SUN-DRIED,.,4500,no,,,,,.,,
301065340227,1e3682f76ba944d387b91829b93c0f6f,usipa,,20,OTHER (SPECIFY),Chigomba,SUN-DRIED,.,2000,no,,,.,,.,,1,OTHER (SPECIFY),"""Chigomba """,SUN-DRIED,.,2000,no,,,,,.,,
