case_id,hhid,ag_r25,ag_r26,ag_r27,ag_r28,ag_r29
101031150055,280fd170fbce4492bedf9a091706a7b4,0,0,0,0,0
101031150081,acb4e05ab69646ebbbcc87b136a17838,0,0,0,0,0
101031150107,99db321050184f5aaa6cce509959bbfa,0,0,0,0,0
101031150116,fb302e5e70344ed8bf0c6fd75ddccf7e,0,0,0,0,0
101031150125,a1a210021d6943a3b07432aa14272158,0,0,0,0,0
101031150133,70ba408860bd46a3ae605ad6834d1faf,0,0,0,0,0
101041160006,6a39ef975cf54cc8ab8d0eeff9ce80cf,0,0,0,0,0
101041160011,db228a3808e94b379827b9a9f59a718e,0,10000,0,0,0
101041160017,638f0bace9fe4868a55ab9a52985c0c4,0,0,0,0,0
101041160023,f2373331834d4dc1b54b8e56d6a51c8b,0,0,0,0,0
101041160057,a0e40c0b3a2c40a681515dd08bd2bfce,0,1000,0,0,0
101041160069,37d49e81aad94a1896fb502672ad5448,0,0,0,0,0
101041160074,0d41988e012544fb83b7fa97ad1a7a80,0,0,0,0,0
101041160080,b1ce761f399c4f9d82bed45350ebb332,0,0,0,0,0
101041160097,193bde3ceb3a46a29fd8434077677daa,0,0,0,0,0
101041160102,62041c3ce327422283f6744f3f51ee0b,0,0,0,0,0
101041170011,ad98a95f21404e9dbc876d14a9481a12,0,0,0,0,0
101041170022,28bf89f0b54d474e813c30d556fa256e,0,0,0,0,0
101041170046,e7f131edf2984fa3a8780fb70eda3ef3,0,0,0,0,0
101041170092,2d1b8d83b22c4697ad2fc419e948b467,0,0,0,0,0
101041170103,a8f9468b2730415691f6b10fedf2c7b2,0,0,0,0,0
101041170115,74bef25d578c4ac2b8b0030dda4beb19,0,0,0,0,0
101041170127,40e99c24058d4dc68ef47906bf51f337,0,0,0,0,0
101041170138,0303fa000b8c494fb0de4c0812b84cf6,0,0,0,0,0
101041170150,c6464cd2a2a5447ab2f678abf5896594,0,0,0,0,0
101041170161,68967f8efa9f4ce2b32e81c02674bbb1,0,0,0,0,0
101041170173,0a7f7dc214a94447b1fa9dfaac858248,0,0,0,0,0
101041170184,dbc27905dce2443f8753fc192423a4de,0,0,0,0,0
101041180012,9eaabc41fef74a1688e6c9692fb9e18d,0,0,0,0,0
101041180023,48bbaf1126a64d8b89f89ae4673a968d,0,0,0,0,0
101041180035,6741e4bccc7b40a6a24e7ddd3ea26379,0,0,0,0,0
101041180058,5fa7f3e67ac94eb7b3beb3a05387c2d1,0,0,0,0,0
101041180081,3134188d461f428e9ba381c0347cb9db,0,0,0,0,0
101041180116,b3b77dbbd23d47c3b70d38c1882ea762,0,0,0,0,0
101041180151,d61a28cf04b242cdbf16512e958e0856,0,0,0,0,0
101041180163,559d38ffc879449d9167075c108fc845,0,0,0,0,0
101041180174,df6976f8938c4a60b7c05cecb426a2ce,0,0,0,0,0
101041180209,80d65cf4719c489c88176fa5cdb04d78,0,0,0,0,0
101041180220,c5d0c7e2134c4bc98a5bd2cd52081cd6,0,0,0,0,0
101041180243,5f18328c9ef1440e9e8e2667ae43f1d4,0,0,0,0,0
101051190008,e7af55d80bf34b12b0dae54723b3fdeb,0,0,0,0,0
101051190017,e3c443f189784de2a844417a01b68475,0,0,2000,0,0
101051190027,5a14763fc79d46858baa44a9dd2a65ff,0,0,0,0,0
101051190036,5e2958bd68de45c6a3df65b3d7d6bbae,0,0,0,0,0
101051190046,780b635ff1e94443884bd911ef0145ed,0,0,0,0,0
101051190065,b7edb9c003cc448097e4c237db3b8e23,0,0,0,0,0
101051190083,6968b47c471747678140c492cc5cf5da,0,0,0,0,0
101051190093,54d057a0feb64dc09ec2bda8bdaaea9c,0,0,0,0,0
101051190131,20b95f7fd7004c3dbd7a6198e6a8fe43,0,0,0,0,0
101051190140,b80a0c1d59874175ac97056ca9782c54,0,0,0,0,0
101051200008,3f2377d431f141a68590f3bcd43a7276,0,0,0,0,0
