case_id,hhid,fs_d14a,fs_d14b,fs_d14c,fs_d14d,fs_d15,fs_d16a,fs_d16b,fs_d17,fs_d18a,fs_d18b,fs_d18c,fs_18d,fs_d18e,fs_d18f,fs_d19,fs_d20a,fs_d20b,fs_d21a,fs_d21b,fs_d22,fs_d23,fs_d24a,fs_d24b
106012220280,e9233b566489450294fa0fb34d988278,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220302,bd28003ab98c4dd098a2ad695e965a20,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012220346,0480490180ae492bab38520e1a2d9a52,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230013,6cc3588b213e4615aeff177626a94117,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230025,543c2daae0a74ab4ae162333c2a8773c,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230076,b8efd333b2634467b5b1792e5ced2351,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230114,1b585c1e49684f6c843546b9682ef3f7,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230139,268577bab7d041518347492975d84a26,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230164,f470912aca0d4bf9ab930d08bc30b5b7,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230177,a21dcb576aab47498258a551704d0e1a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230189,ea138ed267034d4ebdd9fbd39ba55d9e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230214,d22a7cedb38f47a5bb5e55fd3bb84ef6,10,8,0,0,yes,20000,0,no,,,,,,,no,,,5000,0,no,,,
106012230240,08930ad616d843e494d8e6a2eaf4e3d6,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012230265,6f210f755f604616b64c7fdda5c141f2,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012240077,7806a20262774f9a8ee03b614d519d3f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012240118,c93e664735a04fbcb7b64d6373f9d187,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012240131,3d46228d82ab4af6900846a524e7afd7,2,8,0,0,yes,7000,0,no,,,,,,,no,,,0,0,no,,,
106012240145,be7052f4ef864621b73a037b0250ad97,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012240213,5be039c8d1b847cab12920c270d4550b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250020,db2c6d4784534897bed7627d3da9fe5b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250041,f7829011889047ceb17dbfc813975b41,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250073,f5c2b9e0a1564d72ad39e5451938a74d,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250104,72850970ea644041afd723b084c8f977,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250115,57edb87ee5654b2d95bf3ef82268309b,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250125,12ab5c1acc054bbe96f5891e1bbbef35,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250136,53e1f38072e04f3b800220bbff635724,2,12,0,0,yes,20000,0,no,,,,,,,no,,,0,0,no,,,
106012250146,e860248dd75d4a31b23797207e238d3a,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012250157,04a0e3b5b49a427c8b782738771d49f8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260028,db10b756b2b649338d6b0cc5dab1db9e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260040,8b0ebd3d0c924e9a9b4bd21cc002d741,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260050,9dbe97677cf34164bd36cb6195d6e564,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260069,3d2b9530620a405990773f77c92d42a8,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260100,cdfa04e88e6a4bceae9f15d91717ab16,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260130,24f61a0bb3ae4063aa695299a1c2a06f,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260178,695c88c0e74f46df9d2cf894dce80226,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012260187,f17a42fb774c48159d3ba06c7947d794,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270069,7e11ef02f9b34c8e9c4c53e77030ba51,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270125,97c3a192048e45fd95240ad1844012e6,2,2,0,0,yes,3500,0,no,,,,,,,no,,,0,0,no,,,
106012270144,cc6e6992ce7e4b13b8a09e070d177a21,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270162,53b1172c8b584b9baacecaa75a988982,5,10,0,0,yes,10000,0,no,,,,,,,no,,,1500,0,no,,,
106012270200,04c38d53d62b482bbfc3a109067bb1bd,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270218,d357c0f4a3f1482eb6dc49010ca922ad,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270237,a4ff3f3e76a34cb7b272ec5035aac380,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012270293,2ac54c7210634102a098006563a6109e,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
106012280009,78b197b91ead4fb9b1e4169ed8a70414,0,0,0,0,no,,,no,,,,,,,no,,,0,0,no,,,
