case_id,hhid,ag_e27a,ag_e27b,ag_e27c,ag_e27d,ag_e27e,ag_e27f,ag_e27g,ag_e27h,ag_e28,ag_e29a,ag_e29b,ag_e29c,ag_e29d,ag_e29e,ag_e29f,ag_e29g,ag_e29h,ag_e29i,ag_e29j,ag_e29k,ag_e29l
208014380428,cf729fc63e1945d0a5ca121c1a3334ff,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390001,a9af472e2c854270b7fab3e92fe7eafb,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no
208014390015,d38ff58678ec46149f1a3ea0a19249da,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,no,no
208014390029,f5f151bac9a34cd0960d8e5c52a8a624,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390043,996bee5ccb344898aa17112c3259264b,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390057,73e29bebd7bc4ebf9a26c284eca8f14a,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390070,7b047d460e034f28bb9949585b3b61f1,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
208014390084,36fcaaea9d6e4668b141ed7ca87bcac7,yes,no,no,no,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,no,no
208014390098,9d8240785d5b4484b8927248adb3fa6c,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
208014390112,03b53b61e44d45ae8d96a6e4b3885f6c,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no
208014390126,03873eccd59d46cd8bada1648a704cfd,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
