case_id,hhid,ea_id,region,district,reside,interviewDate,hh_wgt,hh_a02a,hh_a03,hh_a06,hh_a11,hh_a13,hh_a22,hh_a23,hh_g09,hh_m00,hh_o0a,hh_s01,hh_w01
202012850073,7022464e245b451790c1861f9cb3317c,20201285,Central,Nkhotakota,rural,2016-12-22,209.09171,1,285,0073,no,,50,20,yes,yes,no,no,no
203063230123,7026f374845b4694a03466f1bb8ad011,20306323,Central,Ntchisi,rural,2017-04-16,156.3504,6,323,0123,no,,50,19,yes,yes,yes,no,no
206013760199,70274601e175423c8b135217d6202542,20601376,Central,Lilongwe,rural,2017-03-21,728.66357,1,376,0199,no,,80,68,no,yes,yes,no,no
301085380508,702aac7fed7241e693d99ff0e2b8c642,30108538,Southern,Mangochi,rural,2016-12-28,693.23938,8,538,0508,no,,100,22,no,yes,no,no,no
315488720054,702f5125a10d410293a37ce2b847bace,31548872,Southern,Blantyre City,urban,2017-03-31,714.26703,48,872,0054,no,,500,63,no,no,no,no,no
209054710192,703333458b134315a73862004c8583ea,20905471,Central,Ntcheu,rural,2016-09-06,264.93591,5,471,0192,no,,90,15,yes,yes,yes,no,no
301035260375,703453eba21146019c8f013dc09c7fd9,30103526,Southern,Mangochi,rural,2016-12-17,1004.4458,3,526,0375,no,,100,47,yes,yes,no,no,no
202203010156,703a9393d7174fbd9887058ff0f6b4d5,20220301,Central,Nkhotakota,urban,2016-09-08,248.657,20,301,0156,no,,50,3,yes,yes,no,no,no
210374860241,7046f21e685a4cb69c86fb0ec9b0f4c4,21037486,Central,Lilongwe City,urban,2017-01-22,159.99921,37,486,0241,no,,80,34,no,yes,yes,no,no
305066280111,7054698531784bfe86bd24d0616c4045,30506628,Southern,Blantyre,rural,2017-03-26,237.4895,6,628,0111,no,,500,64,yes,yes,yes,no,no
312017950033,70575c0d2b494109b1815174358c5a7c,31201795,Southern,Balaka,rural,2016-05-27,299.87311,1,795,0033,no,,200,51,yes,yes,yes,no,no
103121690238,705cd6744a3642049910a0be0ca0e582,10312169,North,Nkhatabay,rural,2017-03-12,128.91991,12,169,0238,no,,20,20,no,yes,yes,no,no
203063250329,706238117b6f42419032ccfc284ecb7c,20306325,Central,Ntchisi,rural,2017-02-14,352.8046,6,325,0329,no,,900,81,yes,yes,no,yes,no
204063460099,706316f9330746d2bd8b2dcafde16b48,20406346,Central,Dowa,rural,2016-12-19,208.50011,6,346,0099,no,,40,16,yes,yes,no,yes,yes
203013030129,7065c9e495e64de6bfb095f04d99a596,20301303,Central,Ntchisi,rural,2017-03-29,327.37289,1,303,0129,no,,50,19,no,yes,yes,no,no
202032910246,7065dc680b7540129417a8ef7c6fbddf,20203291,Central,Nkhotakota,rural,2016-04-29,185.43089,3,291,0246,no,,50,23,no,yes,no,no,yes
105022010127,706dc57e5d094975aa145056deb3e74b,10502201,North,Mzimba,rural,2016-06-22,83.746902,2,201,0127,yes,Dwelling found but respondent refused,30,11,yes,yes,no,no,no
311047660127,706f12a1a66a4504bc98e79494cc2db7,31104766,Southern,Nsanje,rural,2017-04-11,178.5583,4,766,0127,no,,800,90,no,yes,no,no,no
315488730239,70705a1f2b054861b361d243c2870b4a,31548873,Southern,Blantyre City,urban,2016-05-23,679.44708,48,873,0239,no,,500,62,yes,yes,yes,yes,no
205023550138,7078cd027e684db0aae5969bdd0f813a,20502355,Central,Salima,rural,2016-06-15,288.94791,2,355,0138,no,,60,28,yes,yes,yes,yes,no
106012220271,7084ffb8fe874654a9760d30a398bca4,10601222,North,Likoma,rural,2016-05-27,9.8964005,1,222,0271,no,,20,7,no,no,yes,no,no
202052960016,708689c50f3e464baf957a6322770d1f,20205296,Central,Nkhotakota,rural,2017-02-22,205.198,5,296,0016,no,,50,45,no,yes,no,no,no
103021520097,709254f27fc947c1bdefaa7f6fcfad63,10302152,North,Nkhatabay,rural,2016-06-09,149.5558,2,152,0097,no,,20,26,no,yes,yes,no,yes
104071890103,7095c477e81a450997849bf5bfcf8aee,10407189,North,Rumphi,rural,2016-11-01,111.4302,7,189,0103,no,,20,91,yes,no,no,no,no
301215420530,709e2d5a04504582a615e17c63cd1ad4,30121542,Southern,Mangochi,rural,2017-03-10,828.14471,21,542,0530,no,,500,63,no,yes,no,no,no
105102180002,709fcdff00344532846cbe4e5c50dc97,10510218,North,Mzimba,rural,2017-03-03,157.7039,10,218,0002,no,,30,11,yes,yes,yes,no,yes
