case_id,hhid,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b,Fish_SpeciesID
103051570327,76a15f5cbf344a57b0b4ab3a0746fc8e,yes,chambo,,8,30,piece,,fresh,,no,,,,,,240,,240,piece,,fresh,,240,piece,,fresh,,"YES, THE FIGURES MATCHED",,224,piece,,fresh,,1000,160,piece,,fresh,,1200,8,yes,16,piece,,fresh,,16,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
103051580104,524e5e1613a64298a6f8337b731da874,yes,,,5,30,piece,,fresh,,no,,,,,,150,,150,piece,,fresh,,150,piece,,fresh,,"YES, THE FIGURES MATCHED",,20,piece,,fresh,,800,0,,,,,0,5,no,10,piece,,fresh,,50,piece,,fresh,,1/4,"YES, THE FIGURES MATCHED",,3
103051580104,524e5e1613a64298a6f8337b731da874,yes,mlamba,.,5,30,piece,,fresh,,no,,,,,,150,,150,piece,,fresh,,150,piece,,fresh,,"YES, THE FIGURES MATCHED",,20,piece,,fresh,,800,0,,,,,0,5,no,10,piece,,fresh,,50,piece,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
103061590073,61bb91404e264119a579d63aed5ba43d,yes,mlamba,,12,30,piece,,fresh,,no,,,,,,360,,360,piece,,fresh,,360,piece,,fresh,,"YES, THE FIGURES MATCHED",,336,piece,,fresh,,1500,120,piece,,fresh,,2500,12,no,24,piece,,fresh,,24,piece,,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
103061590125,ab50d5001869497fb6ae85e1f928e869,yes,utaka,,16,40,OTHER (SPECIFY),10 LITRE PAIL,fresh,,no,,,,,,640,,640,OTHER (SPECIFY),10 LITRE PAIL,fresh,,640,OTHER (SPECIFY),10 LITRE PAIL,fresh,,"YES, THE FIGURES MATCHED",,632,OTHER (SPECIFY),10 LITRE PAIL,fresh,,3500,240,OTHER (SPECIFY),"""10 LITRE PAIL """,fresh,,5000,12,yes,8,OTHER (SPECIFY),10 LITRE PAIL,fresh,,8,OTHER (SPECIFY),,fresh,,ALMOST NONE,"YES, THE FIGURES MATCHED",,
103071610015,7a6ae563306b4cbdab5e1c00de69dc7a,yes,chambo,,1,120,piece,,fresh,,yes,120,piece,,fresh,,120,120,720,piece,,fresh,,720,piece,,fresh,,"YES, THE FIGURES MATCHED",,720,piece,,fresh,,1500,1500,piece,,fresh,,1500,1,no,4,piece,,fresh,,4,piece,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
103071610040,4465372f30494d5fbcc4764cd5cab555,yes,chambo,,12,7,DOZEN / BUNDLE,,fresh,,no,,,,,,84,,64,DOZEN / BUNDLE,,fresh,,20,DOZEN / BUNDLE,,OTHER (SPECIFY),BOILED,"YES, THE FIGURES MATCHED",,7,DOZEN / BUNDLE,,fresh,,12000,2,DOZEN / BUNDLE,,fresh,,18000,12,no,2,DOZEN / BUNDLE,,fresh,,14,DOZEN / BUNDLE,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
103071610040,4465372f30494d5fbcc4764cd5cab555,yes,utaka,,8,20,SMALL BASKET,,fresh,,no,,,,,,64,,64,SMALL BASKET,,fresh,,64,DOZEN / BUNDLE,,fresh,,"YES, THE FIGURES MATCHED",,7,SMALL BASKET,,fresh,,2000,48,SMALL BASKET,,fresh,,2500,8,yes,8,SMALL BASKET,,fresh,,8,SMALL BASKET,,fresh,,1/4,"YES, THE FIGURES MATCHED",,
103071610053,d0e24b08e3274e0e98030b040887bf4e,yes,chambo,,4,6,piece,,fresh,,no,,,,,,24,,24,piece,,fresh,,24,piece,,fresh,,"YES, THE FIGURES MATCHED",,0,piece,,fresh,,0,10,piece,,fresh,,0,0,no,24,piece,,fresh,,24,piece,,fresh,,ALMOST ALL,"YES, THE FIGURES MATCHED",,
103071610053,d0e24b08e3274e0e98030b040887bf4e,yes,utaka,,4,30,piece,,fresh,,no,,,,,,120,,120,piece,,fresh,,120,piece,,fresh,,"YES, THE FIGURES MATCHED",,0,piece,,fresh,,0,0,piece,,fresh,,0,0,no,120,piece,,fresh,,120,piece,,fresh,,ALMOST ALL,"YES, THE FIGURES MATCHED",,
