case_id,hhid,crop_code,ag_h0b_oth,ag_h01a,ag_h01b,ag_h01b_oth,ag_h02,ag_h03,ag_h04,ag_h06a,ag_h06b,ag_h07a,ag_h07b,ag_h07b_oth,ag_h08,ag_h08_oth,ag_h09,ag_h10,ag_h11,ag_h12,ag_h13,ag_h14a,ag_h14b,ag_h37,ag_h38a,ag_h38b,ag_h38b_oth,ag_h39a,ag_h39b,ag_h40,ag_h41,ag_h42a,ag_h42b,ag_h42b_oth,ag_h43
101011020032,7efe8aed09d34ed281a3589e70a288f1,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011020045,1cbe9c472ed746a9b8ce264705636140,MAIZE: HYBRID,,3.5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,1,2 KG BAG,,On Foot,,0,3500,"Paid in full, with own-savings",,,,,yes,15,kilogram,,1,,0,no,,,,Advice from extension officer
101011020045,1cbe9c472ed746a9b8ce264705636140,GROUNDNUT: MANI-PINTAR,,6,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,6,kilogram,,On Foot,,0,1200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,MAIZE: HYBRID,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,Own Bicycle or Oxcart,,0,5000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,GROUNDNUT: CHALIMBANA,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5,kilogram,,Own Bicycle or Oxcart,,0,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,SWEET POTATO,,1,3,50 KG BAGS,"YES, THE FIGURES MATCHED",no,yes,3,,1,50 KG BAG,,Own Bicycle or Oxcart,,0,3500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020056,3a5f7d1f82ea4564b9fae896b905a3e3,beans,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,2,,5000,kilogram,,Own Bicycle or Oxcart,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020067,401dabded77840c9add12c88d52ae841,MAIZE: LOCAL,,8,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,8,kilogram,,6,,0,no,,,,Improved variety is too expensive
101011020067,401dabded77840c9add12c88d52ae841,SWEET POTATO,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,50 KG BAG,,Preference for traditional variety
101011020067,401dabded77840c9add12c88d52ae841,beans,,1,kilogram,,"YES, THE FIGURES MATCHED",no,yes,5,,1,kilogram,,On Foot,,0,600,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer
101011020067,401dabded77840c9add12c88d52ae841,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011020077,276bc07604c94755a89011471cea0640,MAIZE: HYBRID,,8,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,8,kilogram,,3,,0,no,,,,Advice from fellow farmer
101011020077,276bc07604c94755a89011471cea0640,GROUNDNUT: CG7,,4,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,4,kilogram,,3,,0,no,,,,Other (Specify)
101011020077,276bc07604c94755a89011471cea0640,sunflower,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,kilogram,,Preference for traditional variety
101011020077,276bc07604c94755a89011471cea0640,nkhwani,,500,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,500,gram,,Preference for traditional variety
101011020112,2f251fa85857436b8bc97011ef49b193,MAIZE: LOCAL,,2,kilogram,,"YES, THE FIGURES MATCHED",yes,,,,,,,,,,,,,,,,no,,,,,,,no,,,,Improved variety is too expensive
101011020112,2f251fa85857436b8bc97011ef49b193,beans,,30,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,30,kilogram,,Other (Specify)
101011020112,2f251fa85857436b8bc97011ef49b193,soyabean,,10,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,kilogram,,Advice from fellow farmer
101011020112,2f251fa85857436b8bc97011ef49b193,sunflower,,200,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,200,gram,,Preference for traditional variety
101011020122,b4d30795984f4926b4ae8d785caea106,MAIZE: LOCAL,,7,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,7,kilogram,,Preference for traditional variety
101011020122,b4d30795984f4926b4ae8d785caea106,beans,,.8,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,7,gram,,Preference for traditional variety
101011020146,5ab09f2e137f497e9d3f4918db6e2457,MAIZE: HYBRID RECYCLED,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,20,kilogram,,Improved variety is too expensive
101011020146,5ab09f2e137f497e9d3f4918db6e2457,beans,,8,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,8,kilogram,,On Foot,,0,4000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify)
101011020157,81b7adc57d8f433bb500d588db7013fd,MAIZE: HYBRID,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,10,kilogram,,Advice from fellow farmer
101011020157,81b7adc57d8f433bb500d588db7013fd,GROUNDNUT: CHALIMBANA,,8,kilogram,,"YES, THE FIGURES MATCHED",no,yes,6,,8,kilogram,,On Foot,,0,2000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer
101011020157,81b7adc57d8f433bb500d588db7013fd,SWEET POTATO,,1,3,90KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,OTHER (SPECIFY),90KG BAG,Advice from fellow farmer
101011020157,81b7adc57d8f433bb500d588db7013fd,nkhwani,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety
101011020168,4d61a019440549c59a61dcd5e240221d,MAIZE: LOCAL,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,20,kilogram,,Improved variety is too expensive
101011020168,4d61a019440549c59a61dcd5e240221d,beans,,5,kilogram,,"YES, THE FIGURES MATCHED",no,yes,4,,5,kilogram,,On Foot,,0,2500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer
101011020168,4d61a019440549c59a61dcd5e240221d,nkhwani,,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Preference for traditional variety
101011020189,c3b650214aa84f82ac7a40d2be1ad16b,MAIZE: LOCAL,,20,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,20,kilogram,,Improved variety is too expensive
