case_id,hhid,crop_code,ag_n01a,ag_n01b,ag_n01b_oth,ag_n02,ag_n03,ag_n04,ag_n06a,ag_n06b,ag_n07a,ag_n07b,ag_n07b_oth,ag_n08,ag_n08_oth,ag_n09,ag_n10,ag_n11,ag_n12,ag_n13,ag_n14a,ag_n14b,ag_n37,ag_n38a,ag_n38b,ag_n38b_oth,ag_n39a,ag_n39b,ag_n40,ag_n41,ag_n42a,ag_n42b,ag_n42b_oth,ag_n43,ag_n43_oth
104011770273,92a1d7fad0ea4e6aae1ede4e5529c2fe,tomato,1,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,1,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
104011790060,12914a7c16fc4ecbb7fda0f8b2243f23,maize,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,3 KG BAG,,Advice from extension officer,
104041850010,24cd76c79f4e47e9bbc60db566e8ce88,maize,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Improved variety is too expensive,
104041850100,e7934eef156d460aa29a5d720cf960e8,tanaposi,50,gram,,"YES, THE FIGURES MATCHED",no,yes,2,,50,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer,
104041850130,e1dc21c97fbf41eaa51389d4a6ab305b,MAIZE HYBRID,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Other (Specify),EARLY MATURITY
104041850170,098034d09e5b4fcfb9dfde728b7deafa,SWEET POTATO,2,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,50 KG BAG,,Preference for traditional variety,
104041850180,eeb094721982434e9329e37f209e9210,SWEET POTATO,3,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,50 KG BAG,,Preference for traditional variety,
104041860043,a925b3d0984b479c85b99184eb2c96c4,OTHER (SPECIFY),10,gram,,"YES, THE FIGURES MATCHED",no,yes,3,,10,gram,,On Foot,,0,300,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
104041860074,483851ba0f754097b92f16cf7e7b8818,SWEET POTATO,3,other,50 BAGS,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,yes,3,OTHER (SPECIFY),50 KG BAG,5,,0,no,,,,Preference for traditional variety,
104041860074,483851ba0f754097b92f16cf7e7b8818,tomato,4,other,PACKET,"YES, THE FIGURES MATCHED",no,yes,3,,4,OTHER (SPECIFY),PACKET,Truck / Bus/ Minibus,,1500,10500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from extension officer,
104041860115,4990e5678b1a4d67891deb59868b4e28,tomato,1,other,PACKET,"YES, THE FIGURES MATCHED",no,yes,2,,1,OTHER (SPECIFY),PACKET,On Foot,,0,3500,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
104041860136,ee40da2d83bb4591bac47a2cd1c0fee6,MAIZE HYBRID,1,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,kilogram,,Improved variety is too expensive,
104051870020,55aa2da676e44367999dce7dc070d9d7,maize,3,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,3,kilogram,,Improved variety is too expensive,
104051870036,913c32c225514ec7bff1b7e41baaca67,tomato,2,gram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,ram,,Improved variety is too expensive,
104051870049,1a4eb6cfb3e64022920c986e2424345b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104051870108,637a657a4f874a6a800d6e97a3c7eabc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104051870115,b49eb7613bba41d780ca1085e7062b6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104051870121,b48bcb0ff441452589ab77a9315188d9,tomato,250,gram,,"YES, THE FIGURES MATCHED",no,yes,5,,250,gram,,On Foot,,0,3000,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Advice from fellow farmer,
104071890046,d03e5afc80a34699a8ab239df3726df6,OTHER (SPECIFY),2,gram,,"YES, THE FIGURES MATCHED",no,yes,5,,2,gram,,On Foot,,0,250,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Improved variety is too expensive,
104071900179,2f37d92641f046b2baf941f8c0aa24c2,IRISH [MALAWI] POTATO,1,other,50 KG BAG,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,1,50 KG BAG,,Improved variety is too expensive,
104071900283,e1344f0d7ca546feb8196e54862f2066,maize,5,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,5,kilogram,,Improved variety is too expensive,
104071900283,e1344f0d7ca546feb8196e54862f2066,SUGAR CANE,10,other,PIECE,"YES, THE FIGURES MATCHED",no,yes,4,,10,OTHER (SPECIFY),PIECE,On Foot,,0,1200,"Paid in full, with own-savings",,,,,no,,,,,,,no,,,,Other (Specify),
104081910019,5ebbbe66932d43d1947485f6b42ee93c,maize,2,kilogram,,"YES, THE FIGURES MATCHED",no,no,,,,,,,,,,,,,,,no,,,,,,,yes,2,kilogram,,Preference for traditional variety,
