country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_year_begin,harvest_month_begin,harvest_year_end,harvest_month_end,harvest_year,harvest_month,dataset_name,dataset_doi
Malawi,southern,mulanje,,,-15.97631,35.327438,3,308046530050,rg01,r01,maize,0.238764528918861,0.4046856422353577,1.0,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mwanza,,,-15.52517,34.51931,3,306015990079,rg01,r01,maize,0.4289667807694792,0.4046856422353577,1.0,acre,75.0,2017.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe city,,,-13.99544,33.813019,3,210514540282,rg01,r01,maize,,0.8093712844707154,2.0,acre,87.5,2018.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,machinga,,,-14.81796,35.53508,3,302015090117,rg01,r01,maize,0.0202342821117678,0.2023428211176788,0.5,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-16.08725,34.99934,3,307056240147,rg01,r01,maize,0.4451542064588935,0.4046856422353577,1.0,acre,87.5,2017.0,12.0,,2.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,blantyre,,,-15.71638,34.866692,3,305045860026,rg01,r01,maize,0.0404685642235357,0.1011714105588394,0.25,acre,,2018.0,11.0,,7.0,,7.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mwanza,,,-15.68063,34.407249,3,306036120190,rg01,r01,maize,0.3116079445212254,0.2023428211176788,0.5,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-15.89668,35.110661,3,307106340117,rg01,r01,maize,0.0809371284470715,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,thyolo,,,-16.377001,35.264339,3,307026190105,rg01,r01,maize,0.4815759142600756,0.2023428211176788,0.5,acre,75.0,2018.0,12.0,,3.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,machinga,,,-14.74508,35.851151,3,302125270024,rg01,r01,maize,0.1821085390059109,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,dedza,,,-14.04285,34.304508,3,208044180040,rg01,r01,maize,0.1214056926706073,0.1214056926706073,0.3,acre,,2019.0,12.0,,5.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.50307,35.652168,3,309056790019,rg01,r01,maize,0.2589988110306289,0.2023428211176788,0.5,acre,87.5,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,ntcheu,,,-15.04004,34.881771,3,209024300005,rg01,r01,maize,0.0080937128447071,0.1011714105588394,0.25,acre,87.5,2018.0,11.0,,1.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,machinga,,,-14.96161,35.874512,3,302055150105,rg01,r01,maize,0.0364217078011821,0.1011714105588394,0.25,acre,87.5,2017.0,12.0,,2.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mulanje,,,-15.96642,35.784519,3,308026460325,rg01,r01,maize,0.0364217078011821,0.2023428211176788,0.5,acre,75.0,2017.0,12.0,,2.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.54433,35.606609,3,309056810044,rg01,r01,maize,0.1861553954282645,0.2023428211176788,0.5,acre,75.0,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,central,lilongwe,,,-13.95687,34.056561,3,206073660048,rg01,r01,maize,0.0647497027576572,0.1011714105588394,0.25,acre,87.5,2018.0,12.0,,3.0,,6.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,mwanza,,,-15.76145,34.419739,3,306036130145,rg01,r01,maize,0.4815759142600756,0.4046856422353577,1.0,acre,75.0,2017.0,12.0,,4.0,,5.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,chiradzulu,,,-15.99237,35.29768,3,304045670192,rg01,r01,maize,0.0121405692670607,0.1011714105588394,0.25,acre,87.5,2018.0,11.0,,3.0,,3.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
Malawi,southern,phalombe,,,-15.59031,35.743629,3,309036750263,rg01,r01,maize,0.0971245541364858,0.1011714105588394,0.25,acre,87.5,2018.0,11.0,,4.0,,4.0,,,mwi_2019_ihs-v_v05_m,https://doi.org/10.48529/yqn3-zv74
