hhID,plotID,plot_area_reported_localUnit,crop_area_share,planting_month,planting_year,fieldID,plot_area_reported_ha,localUnit_area,crop,harvest_month_begin,harvest_year_begin,harvest_month_end,harvest_year_end,season,adm1,adm2,adm3,adm4,lat,lon,GPS_level,plot_area_measured_ha,harvest_month,harvest_year,dataset_name,country,dataset_doi
H0271101,2,1,50,8,2015,2,0.4046944556859571,acres,Cassava,NA,NA,NA,NA,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,3,2,100,8,2015,2,0.8093889113719142,acres,Sweet potatoes,13,2015,18,2015,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,1,3,100,9,2015,1,1.2140833670578712,acres,Banana food,NA,NA,NA,NA,second,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,1,3,50,8,2015,1,1.2140833670578712,acres,Beans,10,2014,10,2014,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0271101,1,3,50,9,2015,1,1.2140833670578712,acres,Banana food,NA,NA,NA,NA,first,Wakiso,Masulita Town Council,Masulita,Bbale,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,2,0.400000005960464,40,NA,2012,1,0.16187778468654956,acres,Banana food,9,2014,12,2014,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,1,0.300000011920929,100,3,2016,1,0.121408341530121,acres,Sweet potatoes,18,2015,20,2015,second,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,2,0.400000005960464,60,9,2015,1,0.16187778468654956,acres,Cassava,21,2015,24,2015,second,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,1,0.300000011920929,NA,7,2015,1,0.121408341530121,acres,Sweet potatoes,11,2014,12,2014,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,2,0.400000005960464,60,9,2015,1,0.16187778468654956,acres,Cassava,NA,NA,NA,NA,first,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0340801,2,0.400000005960464,40,NA,2012,1,0.16187778468654956,acres,Banana food,13,2015,18,2015,second,Wakiso,Kasanje,Jjungo,Buwoya,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,1,30,NA,2006,1,0.4046944556859571,acres,Banana sweet,13,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,5,12,2014,1,0.20234722784297854,acres,Cassava,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,1,20,NA,2006,1,0.4046944556859571,acres,Banana food,13,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,1,40,NA,2006,1,0.4046944556859571,acres,Banana beer,13,2013,18,2013,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,2,2,90,3,2016,1,0.8093889113719142,acres,Maize,19,2015,20,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,10,8,2015,1,0.20234722784297854,acres,Beans,11,2014,11,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,3,1,100,3,2016,1,0.4046944556859571,acres,Beans,18,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,1,0.5,20,NA,2006,1,0.20234722784297854,acres,Banana beer,7,2014,12,2014,first,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,2,2,90,3,2016,1,0.8093889113719142,acres,Maize,18,2015,18,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
H0360101,5,0.25,NA,NA,NA,1,0.10117361392148927,acres,Irish potatoes,18,2015,19,2015,second,Kiboga,Lwamata,Kasejjere,Kabumba,NA,NA,NA,NA,NA,NA,UGA_2015_UNPS_v02_M,Uganda,https://doi.org/10.48529/hm2z-2k12
