case_id,HHID,crop_code,ag_o01,ag_o02a,ag_o02b,ag_o02c,ag_o03,ag_o05a,ag_o05b,ag_o06a,ag_o06b,ag_o07a,ag_o07b,ag_o08,ag_o09,ag_o09_oth,ag_o10,ag_o31a,ag_o31b,ag_o31b_oth,ag_o31c,ag_o32a,ag_o32b,ag_o32b_oth,ag_o32c,ag_o33a,ag_o33b,ag_o33b_oth,ag_o33c,ag_o34a,ag_o34b,ag_o34b_oth,ag_o34c,ag_o35a,ag_o35b,ag_o35b_oth,ag_o35c,ag_o36a,ag_o36b,ag_o36b_oth,ag_o36c,ag_o36d,ag_o37a,ag_o37b,ag_o37_oth,ag_o38,ag_o39,ag_o39_oth,ag_o40a,ag_o40b,ag_o40b_oth,ag_o40c,ag_o41a,ag_o41b,ag_o41_oth,ag_o42a,ag_o42b,ag_o42_oth
308066590029,f5800757fe2a45aabb01c86607aa7db6,NKHWANI,YES,2,50 KG BAG,NOT APPLICABLE,2000,2,,1,,AUGUST,2019,2,On Foot,,0,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,10,,,,NO,,,,,,,,,,Food for household,,
308066590029,f5800757fe2a45aabb01c86607aa7db6,TANAPOSI,YES,4,PAIL (LARGE),NOT APPLICABLE,6000,2,,1,,AUGUST,2018,4,On Foot,,0,1,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,10,,,,NO,,,,,,,,,,Food for household,,
303095490034,f5e2bd184b6845b398c8e7ba1ad0e991,TOMATO,YES,4,PAIL (LARGE),NOT APPLICABLE,4000,2,,1,2,OCTOBER,2018,4,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Food for household,To sell at a higher price,
301075000063,f6186d062d524e999076a234e3a761f7,NKHWANI,NO,,,,,,,,,,,,,,,1,50 KG BAG,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,0,,,,25,,,,NO,,,,,,,,,,Does not usually store,,
301075000063,f6186d062d524e999076a234e3a761f7,MAIZE HYBRID,NO,,,,,,,,,,,,,,,2,50 KG BAG,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,30,,,,NO,,,,,,,,,,Does not usually store,,
207043950368,f63b162d74b548a7a5a32fa71c617c22,TOMATO,YES,4,PAIL (LARGE),NOT APPLICABLE,12000,3,,1,2,OCTOBER,2018,3,Own Bicycle or Oxcart,,0,0,,,,0,,,,0,,,,0,,,,0,,,,2,PAIL (SMALL),,NOT APPLICABLE,,1,,,NO,,,,,,,,,,To sell at a higher price,Food for household,
207043950368,f63b162d74b548a7a5a32fa71c617c22,MAIZE HYBRID,YES,1,50 KG BAG,S: SHELLED,9000,3,,1,2,JANUARY,2019,1,On Foot,,0,0,,,,0,,,,0,,,,0,,,,0,,,,1,PAIL (SMALL),,U: UNSHELLED,,2,,,NO,,,,,,,,,,To sell at a higher price,Food for household,
105082070021,f64048674af6495cb29e5668d5d8aba5,TOMATO,YES,1,OX-CART,NOT APPLICABLE,300000,5,,1,,OCTOBER,2018,5,Buyer picked up the crop,,0,2,PAIL (LARGE),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,1,PAIL (LARGE),,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Does not usually store,,
207043950375,f659fb91a747485cb9c1e0dc80668052,MAIZE LOCAL,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,5,,,,NO,,,,,,,,,,Food for household,,
206123750228,f6a793e94a1a4d8db9f969ad3860a497,TANAPOSI,YES,1,OTHER (SPECIFY),NOT APPLICABLE,1700,3,,1,,JULY,2018,2,On Foot,,0,.5,OTHER (SPECIFY),dengu,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,2,OTHER (SPECIFY),dengu,NOT APPLICABLE,,6,,dried  due to lack  of water as the water source dried up,NO,,,,,,,,,,Does not usually store,,
203073030055,f6d62d0fceba48f082739aa24a408396,MAIZE HYBRID,NO,,,,,,,,,,,,,,,1,50 KG BAG,,U: UNSHELLED,0,,,,0,,,,0,,,,0,,,,.5,50 KG BAG,,U: UNSHELLED,,5,,,NO,,,,,,,,,,Food for household,,
203073030055,f6d62d0fceba48f082739aa24a408396,BEANS,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,1,,,,NO,,,,,,,,,,Food for household,,
207013860309,f6e511fb560e4d67bf3979d5d167f853,BEANS,YES,40,KILOGRAM,S: SHELLED,35000,3,,1,,JULY,2018,1,On Foot,,0,10,KILOGRAM,,S: SHELLED,0,,,,0,,,,0,,,,0,,,,0,,,,10,,,,NO,,,,,,,,,,To sell at a higher price,Food for household,
301085010165,f702ac7518be49fa943e4261923531f7,MAIZE HYBRID RECYCLED,NO,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,NO,,,,,,,,,,Food for household,,
209084410034,f7100e97d77b44848c3937d3b8621b31,OTHER (SPECIFY),YES,3,50 KG BAG,S: SHELLED,10000,3,,1,,JULY,2019,2,Buyer picked up the crop,,0,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,20,,,,NO,,,,,,,,,,Does not usually store,,
104011690064,f74dea80fd0c4b5495e69d462a6f8ad7,OTHER (SPECIFY),YES,14,50 KG BAG,U: UNSHELLED,210000,4,,1,2,AUGUST,2018,8,Buyer picked up the crop,,0,1,50 KG BAG,,U: UNSHELLED,0,,,,0,,,,0,,,,5,KILOGRAM,,S: SHELLED,0,,,,2,,,,NO,,,,,,,,,,Does not usually store,,
104011690064,f74dea80fd0c4b5495e69d462a6f8ad7,CABBAGE,YES,775,PIECE,U: UNSHELLED,116250,4,,1,2,OCTOBER,2018,8,Buyer picked up the crop,,0,5,PIECE,,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,4,PIECE,,NOT APPLICABLE,,3,,,NO,,,,,,,,,,Does not usually store,,
104011690064,f74dea80fd0c4b5495e69d462a6f8ad7,TOMATO,YES,40,PAIL (SMALL),NOT APPLICABLE,60000,4,,1,2,SEPTEMBER,2018,24,Buyer picked up the crop,,0,6,PAIL (SMALL),,NOT APPLICABLE,0,,,,0,,,,0,,,,0,,,,3,PAIL (SMALL),,NOT APPLICABLE,,3,,,NO,,,,,,,,,,Does not usually store,,
313017540095,f78e1774e2314847aadbac64ece50fce,IRISH [MALAWI] POTATO,YES,2,OX-CART,U: UNSHELLED,440000,5,,1,2,OCTOBER,2018,5,Truck / Bus/ Minibus,,50000,2,50 KG BAG,,NOT APPLICABLE,2,50 KG BAG,,U: UNSHELLED,0,,,,0,,,,5,50 KG BAG,,NOT APPLICABLE,1,PAIL (SMALL),,NOT APPLICABLE,,1,,,NO,,,,,,,,,,Food for household,,
