case_id,HHID,PID,fs_c00,fs_c00f,fs_c01a,fs_c01b,fs_c01c,fs_c00f1,fs_c02a,fs_c02b,fs_c02c,fs_c00f2,fs_c03a,fs_c03b,fs_c03c,fs_c00f3,fs_c04a,fs_c04b,fs_c04c
102031340186,b16818be1135482e9e3da5ee403698f0,8,NO,,,,,,,,,,,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,4,NO,,,,,,,,,,,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,2,NO,,,,,,,,,,,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,3,NO,,,,,,,,,,,,,,,,
102031350113,aa64297c5a144e4cb978a10ba2317e93,1,YES,NO,,,,NO,,,,NO,,,,YES,12,3,8
102031350113,aa64297c5a144e4cb978a10ba2317e93,5,NO,,,,,,,,,,,,,,,,
102041360005,548671a98bbc444ebd442b6ca03df8a8,2,NO,,,,,,,,,,,,,,,,
102041360005,548671a98bbc444ebd442b6ca03df8a8,3,NO,,,,,,,,,,,,,,,,
102041360005,548671a98bbc444ebd442b6ca03df8a8,1,YES,NO,,,,NO,,,,NO,,,,YES,4,4,10
102041360005,548671a98bbc444ebd442b6ca03df8a8,4,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,1,YES,NO,,,,NO,,,,NO,,,,YES,20,5,6
102041360030,92c84f1ce8c54a3783edccfb56b0a081,5,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,8,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,7,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,4,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,6,NO,,,,,,,,,,,,,,,,
102041360030,92c84f1ce8c54a3783edccfb56b0a081,2,YES,NO,,,,NO,,,,NO,,,,YES,20,5,7
102041360136,eae3f62eed2940a0a5bbe2a495410803,2,NO,,,,,,,,,,,,,,,,
102041360136,eae3f62eed2940a0a5bbe2a495410803,1,YES,NO,,,,NO,,,,NO,,,,YES,12,7,10
102041360162,7c2fe5a29b1b4351a4c347dde9f16f5c,1,YES,NO,,,,NO,,,,NO,,,,YES,20,6,5
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,4,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,5,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,10,NO,,,,,,,,,,,,,,,,
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,9,NO,,,,,,,,,,,,,,,,
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,6,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,7,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,2,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,11,NO,,,,,,,,,,,,,,,,
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,1,NO,,,,,,,,,,,,,,,,
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,3,YES,NO,,,,NO,,,,NO,,,,YES,24,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,8,YES,NO,,,,NO,,,,NO,,,,YES,15,5,6
102041360172,e6ac4fab7d95444ea0f6da2a4942b2bf,12,NO,,,,,,,,,,,,,,,,
102041360174,e4f7cfdc75d844a3b86abf1a518e0104,2,YES,YES,3,3,10,NO,,,,NO,,,,NO,,,
