case_id,HHID,Fishing_GearID,fs_d01a,fs_d01b,fs_d02,fs_d03,fs_d04,fs_d05_filter,fs_d05,fs_d06_filter,fs_d06
207023890200,9e44309522e94691845bf0f2f15041d3,Usipa (seine) net,yes,,1,1,0,NO,,NO,
207074000179,6477f55c73e44a80a8b6c57d530a8ad9,Mbuka/ntaya/ukonde (gillnet),yes,,1,1,3000,NO,,NO,
207074000179,6477f55c73e44a80a8b6c57d530a8ad9,Mbedza (long /hand line),yes,,6,6,2500,YES,6,NO,
207074010142,d5762b677bd8479fb15446ade5c22d04,Mono (fish traps),yes,,10,10,10000,NO,,NO,
207084030297,2352d238c92a419f91e6e1bab60bf782,Mono (fish traps),yes,,4,2,10000,NO,,NO,
207114040015,aba322a789f0438eae96014c4ecc855f,Mbedza (long /hand line),yes,,1,1,200,NO,,NO,
209054380122,0153f47bc58a4036acb8cf0f16309dd2,Mono (fish traps),yes,,1,1,2000,NO,,NO,
301014850160,cf4572ae99184feba6dc86dec75e5902,Usipa (seine) net,no,,0,0,0,NO,,NO,
301014850221,404755a1aa2d4f9894ebd315a4b73e6e,Kambuzi (beach) seine,yes,,1,1,100000,NO,,NO,
301024880157,89346232f7d3434b8116a01d71d1711e,Mbuka/ntaya/ukonde (gillnet),yes,,10,10,100000,NO,,NO,
301074990174,7b2790d523544f5fadc36b0cc30e07b8,Kambuzi (beach) seine,yes,,1,1,70000,YES,1,NO,
302055150051,16e35e4959c84fc8af67fd4ba15caff7,Mono (fish traps),yes,,50,50,800,NO,,NO,
302055150053,a0d7c31e66624891b0882a43b362bcb3,Mono (fish traps),yes,,30,30,700,YES,10,NO,
302055150125,3fba9c5ad9d647f5a2f28a15225959ec,Mono (fish traps),yes,,60,30,500,NO,,NO,
302055150128,7044c86dce354b30a1bb45b557dc15f4,Mono (fish traps),yes,,25,25,1800,NO,,NO,
302125260035,17c2899a18474e2695741dcb6eeb569f,Mono (fish traps),yes,,30,30,700,NO,,NO,
302125270043,6ebbfc3de5004066b3147d9d2b2fc0f8,Mbuka/ntaya/ukonde (gillnet),yes,,5,5,80000,YES,8,NO,
302125270113,c78681536afc403f911e540ac47eb594,Usipa (seine) net,yes,,20,20,1000,NO,,NO,
302125270114,a988e774dc644359b0bc719bb1621063,Mbuka/ntaya/ukonde (gillnet),yes,,30,20,28500,YES,28500,NO,
303025320127,24217ba3f5d44ea684f51094685ce544,Other Specify,yes,NKHOKA,1,1,1200000,NO,,NO,
303025350064,101f79de544f4e4cb88663fb64e0a353,Mbedza (long /hand line),yes,,250,250,2200,YES,3,NO,
303025350157,717e78db21a549e9a61f78ff20e802ea,Mbedza (long /hand line),yes,,1000,1000,3000,YES,5,NO,
303025350174,4025541d86034a008c2cacba37617fc9,Mbedza (long /hand line),yes,,100,100,2500,NO,,NO,
303025350212,5e6d00ae85c544048c4995d03bdb1455,Mbedza (long /hand line),yes,,300,150,250,YES,3,NO,
303115520016,7255266ca5a74a22ac469e9e68146d4b,Mbedza (long /hand line),yes,,3,1,50,NO,,NO,
308056550005,69ec6603f853447eb4cd67d9db93fa1c,Mono (fish traps),yes,,3,3,9000,NO,,NO,
308056550053,04a8e8f755dd47f0bd7a1b6d589a8212,Mkacha,yes,,1,1,1500,NO,,NO,
308076630116,c710a1912d394efe8e869618d2593691,Mono (fish traps),yes,,2,2,1000,NO,,NO,
309036740097,8966c9a882b543989a42aadcbe0c2b58,Mbedza (long /hand line),yes,,300,300,2400,YES,2400,NO,
309036740101,7c28372a44d144c58ecd002d9f654c5d,Mbedza (long /hand line),yes,,200,200,5000,YES,200,NO,
