case_id,HHID,fs_j01,fs_j01_oth,fs_j02a,fs_j02b,fs_j02c,fs_j02d,fs_j02e,fs_j02f,fs_02filter,fs_j02h,fs_j02i,fs_j02j,fs_j02k,fs_j02l,fs_j02m,fs_j03a,fs_j03b,fs_j03c,fs_j03d,fs_j03e,fs_j03f,fs_j03filter,fs_j03g,fs_j03h,fs_j03i,fs_j03j,fs_j03k,fs_j03l
103121650471,d8d67896703b4e9482c723dc3e2cc370,USIPA,,20,KILOGRAM,,SUN-DRIED,,35000,NO,,,,,,,20,KILOGRAM,,SUN-DRIED,,40000,NO,,,,,,
103121650471,d8d67896703b4e9482c723dc3e2cc370,UTAKA,,5,KILOGRAM,,SUN-DRIED,,5000,NO,,,,,,,5,KILOGRAM,,SUN-DRIED,,6500,NO,,,,,,
103121660089,ce97d4fe0ebb4eee8c921539ed3c178d,OTHER,NO FISHINH DONE,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
103201680072,987b4bd27aa442968db466205a1e3536,NCHENI,,1,LARGE BASKET,,FRESH,,60000,NO,,,,,,,1,LARGE BASKET,,FRESH,,75000,NO,,,,,,
103201680072,987b4bd27aa442968db466205a1e3536,USIPA,,1,LARGE BASKET,,FRESH,,60000,NO,,,,,,,1,LARGE BASKET,,FRESH,,75000,NO,,,,,,
103201680072,987b4bd27aa442968db466205a1e3536,MLAMBA,,15,PIECE,,FRESH,,2000,NO,,,,,,,15,PIECE,,FRESH,,3000,NO,,,,,,
103201680086,4ff89dca92af45b684af7220cedd61ba,USIPA,,1,LARGE BASKET,,FRESH,,40000,NO,,,,,,,1,LARGE BASKET,,FRESH,,55000,NO,,,,,,
103201680136,1e7ca8bed2e7408ca2ecbbd9888a357a,USIPA,,3,SMALL BASKET,,FRESH,,3500,NO,,,,,,,3,SMALL BASKET,,FRESH,,4500,NO,,,,,,
104041780137,c99c252d0f00467aa85701cf5642b95a,UTAKA,,0,,,,,,,,,,,,,8,LARGE BASKET,,FRESH,,8000,NO,,,,,,
104071820287,691e7b5b0d364ba88eb7fd5cc92dd08c,OTHER,MASKUHUNJU,2,LARGE BASKET,,SMOKED,,7000,NO,,,,,,,2,LARGE BASKET,,SMOKED,,8000,NO,,,,,,
104201890128,4c55c9d701b247ceb85adc68fb6f7955,CHAMBO,,24,LARGE BASKET,,FRESH,,18000,NO,,,,,,,24,LARGE BASKET,,FRESH,,28000,NO,,,,,,
105041980029,2e0b88f7cb60435a8d92895d33ac50c4,OTHER,KAZUNI,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
105082070130,48a751d5b7814dc7963fe031235b7e1f,NCHENI,,0,,,,,,,,,,,,,0,,,,,,NO,,,,,,
