case_id,gardenid,plotid,plot_twi,plot_srtm,plot_srtmslp,dist_household
102041400254,TG02,T01,14,491,1,5.6999998
102041400342,TG01,T01,13,491,1,0
102041400360,RG02,T01,15,555,5,1.3
102041400363,TG01,T01,17,503,4,0
102041400364,TG01,T01,13,495,3,0
102051410036,RG02,R01,17,492,2,0
102051410079,RG02,R01,20,483,1,.89999998
102051410115,RG02,R01,16,484,1,0
102051410136,RG02,R01,14,485,1,0
102051410151,RG02,R01,14,494,2,.1
102051410186,RG01,R01,16,500,1,.1
102051410196,RG01,R01,15,484,2,.1
102051410211,RG02,R01,13,485,1,0
102051410214,RG01,R01,15,493,2,0
102051410249,RG02,R01,15,486,1,.2
102051420010,RG02,R01,13,522,6,.30000001
102051420053,RG02,R01,16,511,4,.5
102051420080,RG02,R01,13,579,3,1.3
102051420087,TG01,T01,13,528,9,0
102051420092,RG03,R02,15,556,4,.2
102051420136,RG02,R01,18,521,0,2.5
102051420151,RG01,R01,16,543,2,0
102051420159,TG03,T01,13,540,3,.2
102051420214,RG04,R01,16,511,0,3.2
102051420270,RG03,D01,15,507,0,1.8
102051420275,RG03,R01,12,549,2,.1
102051420278,TG02,T01,13,548,6,.1
102051420303,RG02,R02,17,618,2,.2
102051420309,RG02,R03,13,551,9,.1
102201430028,TG01,T01,14,487,2,0
102201430033,RG03,R01,14,497,1,4.3000002
102201430061,RG03,R01,17,490,1,2
102201430158,TG01,T01,36,486,1,0
102201430180,RG02,R01,15,492,1,4.4000001
102201430257,RG02,R01,17,484,2,1.2
102201430307,RG01,R01,16,488,2,0
102201430330,RG04,R01,14,514,1,10.4
102201440062,RG02,R01,14,489,1,18.1
102201440215,RG06,R01,13,516,1,24.4
102201440285,DG02,D01,15,489,1,1.4
102201450076,RG01,R01,15,493,1,0
102201450292,RG02,R01,14,492,1,0
102201460042,RG04,R01,15,482,0,.30000001
102201460071,TG02,T01,15,483,1,0
102201460103,RG02,R01,14,485,1,0
102201460149,TG03,T01,15,481,1,.5
102201460161,RG01,T01,16,484,1,0
102201460193,RG02,R01,14,484,1,.5
102201460206,RG04,R01,13,484,2,.60000002
102201460261,RG02,R01,19,483,2,.60000002
102201460294,RG03,R01,15,483,1,.2
102201460308,RG02,R01,15,481,0,1.5
