case_id,HHID,fs_i02,fs_i01,fs_i02_Oth,fs_i03,fs_i04a,fs_i04b,fs_i_04c,fs_i04d,fs_i04e,fs_i04f,fs_i04g,fs_i04h,fs_i04i,fs_i04j,fs_i04k,fs_i05a,fs_i05b,fs_i06a,fs_i06b,fs_i06c,fs_i06d,fs_i06e,fs_i06f,fs_i06g,fs_i06h,fs_i06i,fs_i06j,fs_i07a,fs_i07b,fs_i08a,fs_i08b,fs_i08c,fs_i08d,fs_i08e,fs_i08f,fs_i08g,fs_i08h,fs_i08i,fs_i08j,fs_i08k,fs_i08l,fs_i09,fs_i10a,fs_i10b,fs_i11a,fs_i11b,fs_i11c,fs_i11d,fs_i11e,fs_i11f,fs_i11g,fs_i11h,fs_i11i,fs_i11j,fs_i12,fs_i13a,fs_i13b
103041540194,789e0c9e34634b5e994240f549bf2e57,MLAMBA,YES,,1,1,PIECE,,FRESH,,NO,,,,,,2,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,0,PIECE,,FRESH,,0,,,,,,,0,YES,,2,PIECE,,FRESH,,,,,,,ALMOST ALL,"YES, THE FIGURES MATCHED",
301074990174,7b2790d523544f5fadc36b0cc30e07b8,OTHER,YES,KAMBUZI,8,3,LARGE BASKET,,FRESH,,NO,,,,,,24,,24,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,24,LARGE BASKET,,FRESH,,35000,,,,,,,8,YES,,1,DOZEN / BUNDLE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103091620017,7bdeb0713a3a4be3adbd57b9d856c8ae,UTAKA,YES,,2,3,LARGE BASKET,,FRESH,,NO,,,,,,6,,6,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,3,LARGE BASKET,,FRESH,,3000,,,,,,,2,YES,,1,OTHER (SPECIFY),CHIGOBA,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
209074400045,813cdddc94cc42c3aca0d1c5d3e10374,USIPA,YES,,0,0,SMALL BASKET,,SUN-DRIED,,NO,,,,,,0,,0,OTHER (SPECIFY),NONE,OTHER (SPECIFY),NONE,,,,,,"YES, THE FIGURES MATCHED",,0,OTHER (SPECIFY),0,OTHER (SPECIFY),NONE,500,,,,,,,4,NO,0,0,OTHER (SPECIFY),NONE,SUN-DRIED,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103051560008,826f18cfb28f46b38a961caee38658c8,UTAKA,YES,,8,1,SMALL BASKET,,FRESH,,NO,,,,,,8,,8,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,8,SMALL BASKET,,FRESH,,400000,,,,,,,8,YES,,1,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
309036740203,8282092108bb4dc89e395b3e418cabc7,MLAMBA,YES,,4,40,PIECE,,FRESH,,NO,,,,,,40,,0,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,40,PIECE,,FRESH,,200,,,,,,,4,YES,,0,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
309036740097,8966c9a882b543989a42aadcbe0c2b58,MLAMBA,YES,,4,10,PIECE,,FRESH,,NO,,,,,,120,,40,PIECE,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,10,PIECE,,FRESH,,2500,,,,,,,4,YES,,0,PIECE,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
102041390006,899b06a1598e42308e88166a1b3b66d8,AGGREGATED,YES,,3,20,LARGE BASKET,,FRESH,,NO,,,,,,5000,,50,LARGE BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,50,LARGE BASKET,,FRESH,,15000,,,,,,,4,YES,,0,PIECE,,FRESH,,,,,,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103091620009,8b22280141cf4613b3d2e9ef9da33d90,USIPA,YES,,5,15,SMALL BASKET,,FRESH,,NO,,,,,,300,,300,SMALL BASKET,,FRESH,,,,,,,"YES, THE FIGURES MATCHED",,13,SMALL BASKET,,FRESH,,4000,,,,,,,5,YES,,1,SMALL BASKET,,FRESH,,,,,,,1/4,"YES, THE FIGURES MATCHED",
106012110360,8b8846595c544806a0848e62b383f1a3,OTHER,YES,JAMISON,4,2,SMALL BASKET,,SUN-DRIED,,NO,,,,,,20000,,2,SMALL BASKET,,SUN-DRIED,,,,,,,"YES, THE FIGURES MATCHED",,2,SMALL BASKET,,SUN-DRIED,,20000,,,,,,,4,NO,LOW FISHING,1,5 KG BAG,,SUN-DRIED,,,,,,,1/4,"YES, THE FIGURES MATCHED",
