case_id,HHID,fs_e01,fs_e02,fs_e02_oth,fs_e03,fs_e04a,fs_e04b,fs_e04c,fs_e04d,fs_e04e,fs_e04f,fs_e04g,fs_e04h,fs_e04i,fs_e04j,fs_e04k,fs_e05a,fs_e05b,fs_e06a,fs_e06b,fs_e06c,fs_e06d,fs_e06e,fs_e06f,fs_e06g,fs_e06h,fs_e06i,fs_e06j,fs_e07a,fs_e07b,fs_e08a,fs_e08b,fs_e08c,fs_e08d,fs_e08e,fs_e08f,fs_e08g,fs_e08h,fs_e08i,fs_e08j,fs_e08k,fs_e08l,fs_e09,fs_e10,fs_e11a,fs_e11b,fs_e11c,fs_e11d,fs_e11e,fs_e11f,fs_e11g,fs_e11h,fs_e11i,fs_e11j,fs_e12,fs_e13a,fs_e13b
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,YES,USIPA,,8,2,LARGE BASKET,,FRESH,,NO,,,,,,16,,16,LARGE BASKET,,FRESH,,16,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,16,LARGE BASKET,,FRESH,,60000,12,LARGE BASKET,,FRESH,,5000,8,YES,1,DOZEN / BUNDLE,,FRESH,,8,DOZEN / BUNDLE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103061570040,6e7ecbbd6d7443399057e2e66f7889b3,YES,OTHER,BATALA,8,150,PIECE,,FRESH,,NO,,,,,,1200,,1200,PIECE,,FRESH,,1200,PIECE,,FRESH,,"YES, THE FIGURES MATCHED",,1200,PIECE,,FRESH,,300,1200,PIECE,,FRESH,,300,8,YES,16,PIECE,,FRESH,,2,PIECE,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103061570199,95621fcb6a2e4500a79a407436ef8146,YES,UTAKA,,8,12,10 KG BAG,,FRESH,,NO,,,,,,72,,216,10 KG BAG,,FRESH,,216,10 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,0,KILOGRAM,,SUN-DRIED,,0,0,KILOGRAM,,SUN-DRIED,,0,0,YES,0,KILOGRAM,,FRESH,,0,KILOGRAM,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103061570203,3a350102d7ec42edadeec08e1f8555e9,YES,OTHER,BATALA,12,48,10 KG BAG,,FRESH,,NO,,,,,,288,,864,10 KG BAG,,FRESH,,864,10 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,6,LARGE BASKET,,FRESH,,30000,1,10 KG BAG,,FRESH,,4000,0,YES,0,KILOGRAM,,FRESH,,0,KILOGRAM,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103071590131,311fdbae1e814acaa952ab564c9f8460,YES,UTAKA,,2,7,LARGE BASKET,,FRESH,,NO,,,,,,2,,49,LARGE BASKET,,FRESH,,49,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,5,LARGE BASKET,,FRESH,,35000,4,LARGE BASKET,,FRESH,,15000,2,YES,2,DOZEN / BUNDLE,,FRESH,,1,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103071590137,2ce10fc6386840e6855ee3010a428ec2,YES,UTAKA,,5,14,LARGE BASKET,,FRESH,,NO,,,,,,70,,70,LARGE BASKET,,FRESH,,70,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,13,LARGE BASKET,,FRESH,,25000,9,LARGE BASKET,,FRESH,,35000,3,NO,10,KILOGRAM,,FRESH,,10,KILOGRAM,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103071590145,ba5dcfc6f42e46f987ec987db024fd16,YES,UTAKA,,8,18,10 KG BAG,,FRESH,,NO,,,,,,144,,144,10 KG BAG,,FRESH,,144,10 KG BAG,,FRESH,,"YES, THE FIGURES MATCHED",,0,5 KG BAG,,FRESH,,0,72,10 KG BAG,,FRESH,,10000,0,NO,0,KILOGRAM,,FRESH,,0,PIECE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103071590169,56f929979a924f0dbf18f8b87bdf1cbd,YES,UTAKA,,2,1,SMALL BASKET,,FRESH,,NO,,,,,,2,,2,LARGE BASKET,,FRESH,,2,LARGE BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,1,SMALL BASKET,,FRESH,,25000,2,LARGE BASKET,,FRESH,,25000,2,YES,1,SMALL BASKET,,FRESH,,2,SMALL BASKET,,FRESH,,1/4,"YES, THE FIGURES MATCHED",
103071590172,dc6bcfce915647c9bed0e4ccd5e21a23,YES,UTAKA,,10,2,SMALL BASKET,,FRESH,,NO,,,,,,20,,30,SMALL BASKET,,FRESH,,30,SMALL BASKET,,FRESH,,"YES, THE FIGURES MATCHED",,30,SMALL BASKET,,FRESH,,5000,2,SMALL BASKET,,FRESH,,10000,1,YES,1,DOZEN / BUNDLE,,FRESH,,5,PIECE,,FRESH,,ALMOST NONE,"YES, THE FIGURES MATCHED",
103071590219,6c6c3cc87562426aa6b2f0de01dc4b85,YES,USIPA,,0,0,KILOGRAM,,SUN-DRIED,,NO,,,,,,0,,0,KILOGRAM,,SUN-DRIED,,0,KILOGRAM,,SUN-DRIED,,"YES, THE FIGURES MATCHED",,5,5 KG BAG,,SUN-DRIED,,4500,0,KILOGRAM,,SUN-DRIED,,0,8,YES,0,KILOGRAM,,FRESH,,0,KILOGRAM,,SUN-DRIED,,ALMOST NONE,"YES, THE FIGURES MATCHED",
