region,item_name,item_code,unit_name,Otherunit,unit_code,factor,source
North,"BUNS, SCONES YELLOW",112,PIECE LARGE,,9C,.1110000014305115,Collected from the Field
Central,"BUNS, SCONES YELLOW",112,PIECE LARGE,,9C,.1500000059604645,Collected from the Field
South,"BUNS, SCONES YELLOW",112,PIECE LARGE,,9C,.1700000017881393,Collected from the Field
North,BISCUITS,113,SATCHET/TUBE,,22,.1833278685808182,Collected from the Field
Central,BISCUITS,113,SATCHET/TUBE,,22,.0912452861666679,Collected from the Field
South,BISCUITS,113,SATCHET/TUBE,,22,.1212545484304428,Collected from the Field
North,BISCUITS,113,PACKET (150 GRAMS) ,,34,.1500000059604645,Calculated Standard Unit
Central,BISCUITS,113,PACKET (150 GRAMS) ,,34,.1500000059604645,Calculated Standard Unit
South,BISCUITS,113,PACKET (150 GRAMS) ,,34,.1500000059604645,Calculated Standard Unit
North,BISCUITS,113,PACKET,,51,.1500000059604645,Calculated Standard Unit
Central,BISCUITS,113,PACKET,,51,.1500000059604645,Calculated Standard Unit
South,BISCUITS,113,PACKET,,51,.1500000059604645,Calculated Standard Unit
North,BISCUITS,113,PIECE,,9,.1023107692599297,Collected from the Field
Central,BISCUITS,113,PIECE,,9,.0673125013709068,Collected from the Field
South,BISCUITS,113,PIECE,,9,.0526153855025768,Collected from the Field
North,"SPAGHETTI, MACARONI, PASTA",114,SATCHET/TUBE,,22,.3867272734642029,Collected from the Field
Central,"SPAGHETTI, MACARONI, PASTA",114,SATCHET/TUBE,,22,.3889047503471375,Collected from the Field
South,"SPAGHETTI, MACARONI, PASTA",114,SATCHET/TUBE,,22,.3400000035762787,Collected from the Field
North,"SPAGHETTI, MACARONI, PASTA",114,PACKET 400G ,,35,.4000000059604645,Calculated Standard Unit
Central,"SPAGHETTI, MACARONI, PASTA",114,PACKET 400G ,,35,.4000000059604645,Calculated Standard Unit
South,"SPAGHETTI, MACARONI, PASTA",114,PACKET 400G ,,35,.4000000059604645,Calculated Standard Unit
North,"SPAGHETTI, MACARONI, PASTA",114,PACKET 500G ,,36,.5,Calculated Standard Unit
Central,"SPAGHETTI, MACARONI, PASTA",114,PACKET 500G ,,36,.5,Calculated Standard Unit
South,"SPAGHETTI, MACARONI, PASTA",114,PACKET 500G ,,36,.4000000059604645,Calculated Standard Unit
North,"SPAGHETTI, MACARONI, PASTA",114,PACKET 1KG ,,37,1,Calculated Standard Unit
