case_id,HHID,fs_f01,fs_f01_oth,fs_f02a,fs_f02b,fs_f02c,fs_f02d,fs_f02e,fs_f02f,fs_f02g,fs_f02h,fs_f02i,fs_f02j,fs_f02k,fs_f02l,fs_f02m,fs_f03a,fs_f03b,fs_f03c,fs_f03d,fs_f03e,fs_f03f,fs_f03g,fs_f03h,fs_f03i,fs_f03j,fs_f03k,fs_f03l,fs_f03m
103091620025,ddd3d5fe5f564353a0e26cd8d6382e64,USIPA,,50,OTHER (SPECIFY),5L BUCKET,FRESH,,1000,NO,,,,,,,50,OTHER (SPECIFY),5LITRE CHIGOBA BUCKET,SUN-DRIED,,1500,NO,,,,,,
103091620072,09b3c4f6c90d4a11bae782b23e1e09df,USIPA,,15,LARGE BASKET,,SUN-DRIED,,2000,NO,,,,,,,7000,LARGE BASKET,,SUN-DRIED,,1500,YES,70000,,,SUN-DRIED,,1500
103091620078,82a903b5201b4ad59bf79a87749d1e14,USIPA,,270,LARGE BASKET,,FRESH,,3000,NO,,,,,,,2,LARGE BASKET,,FRESH,,3000,NO,,,,,,
103091620098,17f873e1c4a44d02a3ac76944fb536f6,USIPA,,40,LARGE BASKET,,FRESH,,0,NO,,,,,,,40,SMALL BASKET,,SUN-DRIED,,3500,NO,,,,,,
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,NCHENI,,5,SMALL BASKET,,FRESH,,1500,NO,,,,,,,5,SMALL BASKET,,SMOKED,,2500,NO,,,,,,
103121640003,891f1b2de1ff4503bac4f3c38e2b6a67,OTHER,NTHUNDUMALA,10,SMALL BASKET,,FRESH,,1500,NO,,,,,,,10,SMALL BASKET,,SUN-DRIED,,2000,NO,,,,,,
103121640021,022aae14b41d46488caa895611177b7b,USIPA,,35,SMALL BASKET,,FRESH,,1500,NO,,,,,,,30,SMALL BASKET,,FRESH,,2500,NO,,,,,,
103121640021,022aae14b41d46488caa895611177b7b,OTHER,SUHUNJU,15,SMALL BASKET,,FRESH,,3000,NO,,,,,,,13,SMALL BASKET,,FRESH,,4500,NO,,,,,,
103121640028,9cb397625ab94955bdc911e682c5f4b0,USIPA,,10,SMALL BASKET,,FRESH,,2000,NO,,,,,,,10,SMALL BASKET,,SUN-DRIED,,2500,NO,,,,,,
103121640031,cdbb743f058e44b7b07d5ca1fd259661,USIPA,,20,SMALL BASKET,,FRESH,,1500,NO,,,,,,,20,SMALL BASKET,,SUN-DRIED,,2500,NO,,,,,,
103121640035,25202b0dc90640c78a0fe39a634041bf,USIPA,,7,SMALL BASKET,,SUN-DRIED,,2500,NO,,,,,,,7,SMALL BASKET,,SUN-DRIED,,4000,NO,,,,,,
103121640052,55ef8142719f4a908c8fcaec40cbc879,UTAKA,,50,OTHER (SPECIFY),5L BUCKET,SMOKED,,2500,NO,,,,,,,50,OTHER (SPECIFY),5L CHIGOBA BUCKET,SMOKED,,3000,NO,,,,,,
103121640052,55ef8142719f4a908c8fcaec40cbc879,USIPA,,100,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,1500,NO,,,,,,,100,OTHER (SPECIFY),5L CHIGOBA BUCKET,SUN-DRIED,,3000,NO,,,,,,
103121640053,e541cfb3d3904973b73d26dfa086688b,UTAKA,,20,OTHER (SPECIFY),5L BUCKET,SMOKED,,2000,NO,,,,,,,1,OTHER (SPECIFY),90KG BAG,SMOKED,,100000,NO,,,,,,
103121640053,e541cfb3d3904973b73d26dfa086688b,USIPA,,30,OTHER (SPECIFY),5L BUCKET,SUN-DRIED,,2000,NO,,,,,,,100000,OTHER (SPECIFY),90KG BAG,SMOKED,,100000,NO,,,,,,
103121640062,4e809b335b844db28d06a96d374f87f2,NCHENI,,5,SMALL BASKET,,FRESH,,2000,NO,,,,,,,5,SMALL BASKET,,FRESH,,2000,NO,,,,,,
