region,crop_code,unit_name,unit_code,condition,conversion,collectionround
Central,GROUNDNUT CHALIMBANA,90 KG BAG,3,U: Unshelled,50.508003,Collected in Only 2016
South,GROUNDNUT CHALIMBANA,90 KG BAG,3,U: Unshelled,51.605099,Collected in Only 2016
North,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.0999999,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.3299999,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,S: Shelled,4.0960002,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.2,Collected in Only 2019
Central,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.135,Collected in Only 2019
South,GROUNDNUT CHALIMBANA,PAIL (SMALL),4,U: Unshelled,2.0120001,Collected in Only 2019
North,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,16.650002,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,13.7,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,S: Shelled,14.46,Collected In Both 2016 and 2019
North,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,10.2,Collected In Both 2016 and 2019
Central,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,7.6125002,Collected In Both 2016 and 2019
South,GROUNDNUT CHALIMBANA,PAIL (LARGE),5,U: Unshelled,6.4320002,Collected In Both 2016 and 2019
North,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,8.3219995,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,6.48,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (MEDIUM),14,S: Shelled,7.1009998,Collected in Only 2019
North,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,4.599,Collected in Only 2019
Central,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,3.4400001,Collected in Only 2019
South,GROUNDNUT CG7,PAIL (MEDIUM),14,U: Unshelled,3.3340001,Collected in Only 2019
North,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,43,Collected In Both 2016 and 2019
Central,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,49.625,Collected In Both 2016 and 2019
South,GROUNDNUT CG7,50 KG BAG,2,S: Shelled,50,Collected In Both 2016 and 2019
