"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01BQ00","AS01Q01","AS01Q03","AS02BQ04","AS02BQ05","AS02BQ06","AS02BQ07","AS02BQ08","AS02BQ09","AS02BQ10","AS02BQ11","AS02BQ12","AS02BQ13A","AS02BQ13B","AS02BQ14","AS02BQ15A","AS02BQ15B","PrimaryLast","PrimaryLast1"
1,17,17,0,4,1,2,1,"MELON",25,2,1430,1,3,7,2,,,2,,,1,1
1,17,17,0,5,1,2,1,"COURGETTE",35,2,1430,1,3,7,2,,,2,,,1,1
1,17,18,0,1,1,1,1,"COURGE",35,1,71,3,1,7,2,,,2,,,1,1
1,17,18,0,2,1,2,1,"BETERAVE",44,1,25,3,1,7,2,,,2,,,1,1
1,17,18,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,20,1,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,1,0,2,1,2,1,"OIGNON",33,1,0,1,4,7,2,,,1,"MAIS",1,1,1
1,20,2,0,1,1,1,1,"MAIS",4,1,596,1,3,6,2,,,2,,,1,1
1,20,3,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,5,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,6,0,1,1,1,1,"OIGNON",33,1,1138,1,3,5,2,,,2,,,1,1
1,20,6,0,2,1,2,1,"OIGNON",33,1,2222,1,3,5,2,,,2,,,1,1
1,20,6,0,3,1,3,1,"KAOUDRE",48,1,173,2,3,5,2,,,2,,,1,1
1,20,6,0,4,1,4,1,"NIEBE",8,1,19,1,3,5,2,,,2,,,1,1
1,20,7,0,1,1,1,1,"OIGNON",33,1,1138,2,5,8,2,,,1,"BLE",6,1,1
1,20,7,0,2,1,2,1,"MAIS",4,1,183,2,5,8,2,,,1,"BLE",6,1,1
1,20,7,0,3,1,3,2,,,,,,,,,,,,,,1,1
1,20,11,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,13,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,13,0,2,1,2,1,"OIGNON",33,1,0,1,4,5,2,,,1,"LAITUE",27,1,1
1,20,14,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,15,0,1,1,1,2,,,,,,,,,,,,,,1,1
1,20,15,0,2,1,2,2,,,,,,,,,,,,,,1,1
