"PASSAGE","GRAPPE","MENAGE","EXTENSION","MS00Q01","MS00Q02","MS00Q03A","MS00Q03B","MS00Q04A","MS00Q04B","MS00Q05","MS00Q06","MS00Q07","MS00Q08","MS00Q09","MS00Q10","MS00Q11","MS00Q12","MS00Q14","MS00Q15","MS00Q16","MS00Q17","MS00Q22","MS00Q23","MS00Q24","MS00Q25","MS00Q26","MS00Q59","MS00Q60","MS00Q61"
1,8,4,0,1,1,31102014,1532,31102014,1624,1,1,31102014,1,31102014,1,11,1150,6,3,53,2,7,1,2,1,1,2,2,2
1,8,5,0,1,1,31102014,1443,31102014,1536,1,1,31102014,1,31102014,1,11,1150,6,3,55,2,4,1,0,1,1,2,2,2
1,8,6,0,1,1,31102014,1630,31102014,1721,1,1,31102014,1,31102014,1,11,1150,6,3,0,2,4,1,2,1,1,2,2,2
1,8,7,0,1,2,31102014,1100,31102014,1259,1,1,31102014,1,31102014,1,11,1150,6,3,57,2,7,1,2,1,1,2,2,2
1,8,8,0,1,3,31102014,1240,31102014,1421,1,1,31102014,1,31102014,1,11,1150,6,3,59,2,6,1,1,1,1,2,2,2
1,8,9,0,1,2,31102014,919,31102014,1055,1,1,31102014,1,31102014,1,11,1150,6,3,61,2,5,1,1,1,1,2,2,2
1,8,10,0,1,1,1112014,955,1112014,1040,1,1,1112014,1,1112014,1,11,1150,6,3,63,2,5,1,2,1,1,2,2,2
1,8,11,0,1,3,31102014,1614,31102014,1727,1,1,31102014,1,31102014,1,11,1150,6,3,64,2,1,0,0,1,1,2,2,2
1,8,12,0,1,3,31102014,1723,31102014,1901,1,1,1112014,1,1112014,1,11,1150,6,3,65,2,8,1,0,1,1,2,2,2
1,8,15,0,1,1,1112014,831,1112014,948,1,1,1112014,1,1112014,1,11,1150,6,3,54,2,13,1,0,1,1,2,2,2
1,8,16,0,1,2,31102014,1530,31102014,1700,1,1,31102014,1,31102014,1,11,1150,6,3,62,2,7,3,0,1,1,2,2,2
1,8,17,0,1,3,31102014,1049,31102014,1232,1,1,31102014,1,31102014,1,11,1150,6,3,66,2,1,0,0,1,1,2,2,2
1,8,18,0,1,2,31102014,710,31102014,859,1,1,31102014,1,31102014,1,11,1150,6,3,2,2,6,1,0,1,1,2,2,2
1,9,1,0,10,1,14102014,830,14102014,1005,1,1,14102014,10,14102014,1,11,1150,15,3,1,1,3,1,0,1,1,2,2,2
1,9,2,0,10,1,12102014,1545,12102014,1824,1,1,12102014,10,12102014,1,11,1150,15,3,5,1,19,4,1,2,1,2,2,2
1,9,3,0,10,1,13102014,801,13102014,946,1,1,13102014,10,13102014,1,11,1150,15,3,8,1,5,1,2,1,1,2,2,2
1,9,4,0,10,1,13102014,1014,13102014,1211,1,1,13102014,10,13102014,1,11,1150,15,3,18,1,7,1,0,1,1,2,2,2
1,9,5,0,10,1,13102014,1412,13102014,1617,1,1,13102014,10,13102014,1,11,1150,15,3,38,1,7,2,2,1,1,2,2,2
1,9,6,0,10,1,13102014,1636,13102014,2000,1,1,13102014,10,13102014,1,11,1150,15,3,112,1,9,1,0,1,1,2,2,2
1,9,7,0,10,0,13102014,819,13102014,942,1,1,13102014,10,13102014,1,11,1150,15,3,999,1,5,1,1,1,1,2,2,2
