"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS01QA","AS01Q01","AS01Q03","AS01Q07","AS01Q08","AS01Q09","AS01Q10","AS01Q10A","AS01Q10B"
2,53,2,0,1,1,1,37674,7,5,60,1,1
2,53,3,0,1,1,1,0,7,3,10,2,1
2,53,5,0,1,1,1,0,2,1,30,2,2
2,53,10,0,1,1,1,12340,2,1,20,1,1
2,53,12,0,1,1,1,18947,5,2,30,1,1
2,54,3,0,2,1,2,0,8,1,120,2,1
2,54,3,0,3,1,3,0,8,1,120,2,1
2,54,3,0,1,1,1,0,8,1,120,2,1
2,54,5,0,1,1,1,0,40,4,75,1,2
2,54,7,0,1,1,1,0,50,4,75,1,2
2,54,7,0,3,3,1,0,4,1,60,1,2
2,54,7,0,2,2,1,0,0,1,3,1,2
2,54,10,0,1,1,1,0,25,4,20,1,2
2,55,5,0,1,1,1,7104,4,5,20,1,1
2,55,5,0,2,2,1,0,10,5,20,1,1
2,55,8,0,1,1,1,0,8,1,80,1,1
2,55,8,0,2,1,2,0,8,1,80,1,1
2,55,8,0,3,1,3,0,8,1,80,1,1
2,55,9,0,1,1,1,11161,2,3,10,1,1
2,56,1,0,1,1,1,8013,1,3,5,1,1
2,56,2,0,2,1,2,0,15,5,90,1,1
2,56,2,0,8,6,1,0,3,5,18,1,1
2,56,2,0,7,5,1,6658,3,5,18,1,1
2,56,2,0,5,3,1,0,5,5,30,1,1
2,56,2,0,9,7,1,11975,4,5,24,1,1
2,56,2,0,6,4,1,1248,5,5,30,1,1
2,56,2,0,3,2,1,0,10,5,60,1,1
2,56,2,0,1,1,1,0,15,5,90,1,1
2,56,2,0,4,2,2,0,10,5,60,1,1
2,56,3,0,1,1,1,8762,4,5,30,1,1
2,56,4,0,1,1,1,21488,2,3,5,1,1
2,56,5,0,4,3,1,2562,4,5,25,1,1
2,56,5,0,1,1,1,0,10,5,60,1,1
2,56,5,0,3,2,2,3074,4,5,25,1,1
2,56,5,0,2,2,1,5000,4,5,25,1,1
2,56,6,0,1,1,1,11515,4,7,30,1,1
2,56,6,0,2,2,1,0,20,5,180,1,1
2,56,11,0,1,1,1,0,7,5,60,1,1
2,57,1,0,4,4,1,0,2,1,10,2,1
2,57,1,0,1,1,1,27880,0,1,3,2,1
2,57,1,0,3,3,1,13425,1,1,10,2,1
2,57,1,0,2,2,1,50317,0,1,3,1,1
2,57,2,0,1,1,1,6544,1,1,10,1,1
2,57,2,0,2,2,1,21095,1,1,10,1,1
2,57,2,0,3,3,1,0,2,1,30,1,1
2,57,3,0,2,2,1,0,3,2,15,2,1
2,57,3,0,4,4,1,0,1,1,1,2,1
2,57,3,0,3,3,1,9767,1,1,5,1,1
2,57,3,0,1,1,1,9767,2,2,15,1,1
2,57,5,0,1,1,1,0,2,2,5,1,2
2,57,5,0,2,2,1,33605,1,2,3,1,1
2,57,5,0,3,2,2,8314,1,2,3,1,1
2,57,6,0,2,1,2,3,1,1,15,1,1
2,57,6,0,4,3,1,3792,0,1,1,1,1
2,57,6,0,1,1,1,56219,3,1,15,1,1
2,57,6,0,3,2,1,10520,4,1,20,1,1
2,57,7,0,1,1,1,0,3,1,45,1,1
2,57,7,0,2,2,1,54106,3,1,45,1,1
2,57,8,0,1,1,1,29891,2,1,15,1,1
2,57,8,0,3,2,2,0,0,1,1,2,1
2,57,8,0,2,2,1,17560,0,1,1,1,1
2,57,10,0,2,2,1,67105,2,1,30,1,1
2,57,10,0,1,1,1,14212,1,1,9,1,1
2,57,11,0,2,2,1,0,8,1,110,2,1
2,57,11,0,1,1,1,7329,0,1,2,1,1
2,57,12,0,2,2,1,0,7,1,70,2,1
2,57,12,0,1,1,1,8543,0,1,5,1,1
2,57,12,0,3,3,1,0,1,1,5,2,1
2,57,13,1,2,2,1,10617,1,1,10,1,1
2,57,13,1,1,1,1,0,4,1,60,2,1
2,57,14,0,3,3,1,17213,5,1,60,1,1
