,plot_ID,cropCode,hhCultivated_dum,cropStand,plot_fullyCrop,plot_cropFrac,seeding_month,seeding_year,harvestStart_month,harvestEnd_month,season,wave,crop,field_ID,areaPlotReported,areaPlotReported_unit,areaPlotGPS,lastMajor_hhCultOwn_dum,lastMinor_hhCultOwn_dum,harvestStart_year,harvestEnd_year,lastMajor,lastMinor,lon,lat,hh_ID,region,district,ea_ID,tradAuthority_ID
9909,R01,sorghum,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MAY,MAY,major,2013,sorghum,RG01,0.5,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9910,R02,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG02,1.0,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9911,R02,groundnut,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,groundnut,RG02,1.0,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9912,R02,pigeonpea,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JUNE,JUNE,major,2013,pigeonpea,RG02,1.0,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9913,R02,beans,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,APRIL,major,2013,beans,RG02,1.0,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9914,R02,pumpkin leaves,YES,MIXED STAND,YES,,NOVEMBER,2012.0,DECEMBER,MARCH,major,2013,pumpkin leaves,RG02,1.0,ACRE,0.60000002,YES,NO,,,,,35.22314,-15.592524,314431080168,South,Chiradzulu,31443108,MCHEMA
9915,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.75,ACRE,0.40000001,YES,YES,,,,,35.212147,-15.615479,314431080168,South,Chiradzulu,31443108,NTCHEMA
9916,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,0.75,ACRE,0.40000001,YES,YES,,,,,35.212147,-15.615479,314431080168,South,Chiradzulu,31443108,NTCHEMA
9917,R01,groundnut,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,groundnut,RG01,0.75,ACRE,0.40000001,YES,YES,,,,,35.212147,-15.615479,314431080168,South,Chiradzulu,31443108,NTCHEMA
9918,R01,beans,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG01,0.75,ACRE,0.40000001,YES,YES,,,,,35.212147,-15.615479,314431080168,South,Chiradzulu,31443108,NTCHEMA
9919,R01,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,JANUARY,APRIL,major,2013,pumpkin leaves,RG01,0.75,ACRE,0.40000001,YES,YES,,,,,35.212147,-15.615479,314431080168,South,Chiradzulu,31443108,NTCHEMA
9920,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,1.0,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950042,South,Blantyre City,31533095,MAPANGA WARD
9921,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,pigeonpea,RG01,1.0,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950042,South,Blantyre City,31533095,MAPANGA WARD
9922,R01,maize,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,2.0,ACRE,,YES,YES,,,,,35.3423,-15.3824,314431080018,South,Zomba City,31443108,LIKANGARA WARD
9923,R02,maize,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,,YES,YES,,,,,35.3423,-15.3824,314431080018,South,Zomba City,31443108,LIKANGARA WARD
9924,R01,maize,YES,PURE STAND,,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,maize,RG01,1.5,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950164,South,Blantyre City,31533095,MAPANGA WARD
9925,R02,groundnut,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,groundnut,RG01,1.0,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950164,South,Blantyre City,31533095,MAPANGA WARD
9926,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,1.0,ACRE,1.4,YES,NO,,,,,35.573125,-14.894135,315330950164,South,Machinga,31533095,KAWINGA
9927,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,pigeonpea,RG01,1.0,ACRE,1.4,YES,NO,,,,,35.573125,-14.894135,315330950164,South,Machinga,31533095,KAWINGA
9928,R01,maize,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,,YES,NO,,,,,35.3423,-15.3824,314431080159,South,Zomba City,31443108,LIKANGALA WARD
9929,R02,maize,YES,PURE STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG02,0.30000001,ACRE,,YES,NO,,,,,35.3423,-15.3824,314431080159,South,Zomba City,31443108,LIKANGALA WARD
9930,R01,maize,YES,MIXED STAND,,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.3423,-15.3824,314431080159,South,Zomba City,31443108,LIKANGALA WARD
9931,R01,pigeonpea,YES,MIXED STAND,NO,1/2,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.3423,-15.3824,314431080159,South,Zomba City,31443108,LIKANGALA WARD
9932,R01,beans,YES,MIXED STAND,NO,LESS THAN 1/4,DECEMBER,2012.0,MAY,MAY,major,2013,beans,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.3423,-15.3824,314431080159,South,Zomba City,31443108,LIKANGALA WARD
9933,R01,maize,YES,PURE STAND,,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,0.30000001,YES,NO,,,,,35.3423,-15.3824,314431080088,South,Zomba City,31443108,CHIKOWI
9934,,,NO,,,,,,,,major,2013,,,,,,NO,NO,,,,,35.3423,-15.3824,314431080088,South,Zomba City,31443108,LIKANGALA CENTRAL WARD
9935,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,MARCH,major,2013,maize,RG01,1.0,ACRE,0.30000001,YES,NO,,,,,35.465467,-14.733947,315330950051,South,Mangochi,31533095,BWANANYAMBI
9936,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,1.0,ACRE,0.30000001,YES,NO,,,,,35.465467,-14.733947,315330950051,South,Mangochi,31533095,BWANANYAMBI
9937,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JUNE,JUNE,major,2013,maize,RG01,1.0,ACRE,0.5,YES,YES,,,,,35.3423,-15.3824,314431080170,South,Zomba City,31443108,LIKANGALA WARD
9938,R01,groundnut,YES,MIXED STAND,NO,3/4,NOVEMBER,2012.0,JULY,JULY,major,2013,groundnut,RG01,1.0,ACRE,0.5,YES,YES,,,,,35.3423,-15.3824,314431080170,South,Zomba City,31443108,LIKANGALA WARD
9939,R02,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,JUNE,JUNE,major,2013,maize,RG02,0.5,ACRE,0.30000001,YES,YES,,,,,35.3423,-15.3824,314431080170,South,Zomba City,31443108,LIKANGALA WARD
9940,R02,beans,YES,MIXED STAND,NO,1/2,NOVEMBER,2012.0,JUNE,JUNE,major,2013,beans,RG02,0.5,ACRE,0.30000001,YES,YES,,,,,35.3423,-15.3824,314431080170,South,Zomba City,31443108,LIKANGALA WARD
9941,,,NO,,,,,,,,major,2013,,,,,,NO,NO,,,,,35.3423,-15.3824,314431080170,South,Zomba City,31443108,CHILUNGA WARD
9942,R01,maize,YES,MIXED STAND,YES,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950183,South,Blantyre City,31533095,MAPANGA WARD
9943,R01,beans,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG01,0.5,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950183,South,Blantyre City,31533095,MAPANGA WARD
9944,R01,pumpkin leaves,YES,MIXED STAND,YES,,NOVEMBER,2012.0,MARCH,APRIL,major,2013,pumpkin leaves,RG01,0.5,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950183,South,Blantyre City,31533095,MAPANGA WARD
9945,R02,maize,YES,PURE STAND,,,NOVEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG02,1.0,ACRE,,YES,NO,,,,,35.0838,-15.7926,315330950183,South,Blantyre City,31533095,MAPANGA WARD
9946,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.75,ACRE,0.25,YES,NO,,,,,35.3423,-15.3824,314431080165,South,Zomba City,31443108,LIKANGALA CENTRAL WARD
9947,R01,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,APRIL,major,2013,pumpkin leaves,RG01,0.75,ACRE,0.25,YES,NO,,,,,35.3423,-15.3824,314431080165,South,Zomba City,31443108,LIKANGALA CENTRAL WARD
9948,R01,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG01,0.75,ACRE,0.25,YES,NO,,,,,35.3423,-15.3824,314431080165,South,Zomba City,31443108,LIKANGALA CENTRAL WARD
9949,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.5,ACRE,0.5,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9950,R01,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,DECEMBER,MARCH,major,2013,pumpkin leaves,RG01,0.5,ACRE,0.5,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9951,R02,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG02,0.30000001,ACRE,0.30000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9952,R02,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG02,0.30000001,ACRE,0.30000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9953,R02,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,DECEMBER,MARCH,major,2013,pumpkin leaves,RG02,0.30000001,ACRE,0.30000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9954,R02,beans,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG02,0.30000001,ACRE,0.30000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9955,R03,beans,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG03,0.2,ACRE,0.40000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9956,R03,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,DECEMBER,MARCH,major,2013,pumpkin leaves,RG03,0.2,ACRE,0.40000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9957,R03,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG03,0.2,ACRE,0.40000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9958,R03,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG03,0.2,ACRE,0.40000001,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9959,R04,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG04,0.2,ACRE,0.60000002,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9960,R04,beans,YES,MIXED STAND,YES,,DECEMBER,2012.0,MARCH,MARCH,major,2013,beans,RG04,0.2,ACRE,0.60000002,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9961,R04,pumpkin leaves,YES,MIXED STAND,YES,,DECEMBER,2012.0,,,major,2013,pumpkin leaves,RG04,0.2,ACRE,0.60000002,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9962,R05,maize,YES,PURE STAND,,,DECEMBER,2012.0,,,major,2013,maize,RG05,0.40000001,ACRE,0.2,YES,YES,,,,,35.149365,-15.64535,315330950014,South,Chiradzulu,31533095,MPAMA
9963,R01,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG01,0.25,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9964,R01,other,YES,MIXED STAND,YES,,DECEMBER,2012.0,JUNE,JUNE,major,2013,other,RG01,0.25,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9965,R01,sorghum,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,sorghum,RG01,0.25,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9966,R01,peas,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,peas,RG01,0.25,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9967,R02,maize,YES,MIXED STAND,YES,,DECEMBER,2012.0,APRIL,APRIL,major,2013,maize,RG02,1.0,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
9968,R02,pigeonpea,YES,MIXED STAND,YES,,DECEMBER,2012.0,JULY,JULY,major,2013,pigeonpea,RG02,1.0,ACRE,,YES,NO,,,,,35.0402,-15.7776,315361180231,South,Blantyre City,31536118,NDIRANDE SOUTH
