Value;Category;Adm_level;;;
6306;doukouria;3;;;
6307;essakane;3;;;
6308;gargando;3;;;
6311;M'BOUNA;3;;;
6313;tele;3;;;
6314;tilemsi;3;;;
6316;tonka;3;;;
6401;rharous;3;;;
6402;BAMBARA MAOUDE;3;;;
6403;banikane;3;;;
6404;gossi;3;;;
6405;hanzakoma;3;;;
6408;ouinerden;3;;;
6409;serere;3;;;
6501;soboundou;3;;;
6502;BANIKANE NARHAWA;3;;;
6503;dianke;3;;;
6504;fittouga;3;;;
6505;koumaira;3;;;
6506;lere;3;;;
6507;N'GORKOU;3;;;
6508;soumpi;3;;;
7101;gao;3;;;
7102;anchawadi;3;;;
7103;gabero;3;;;
7104;gounzoureye;3;;;
7105;N'TILLIT;3;;;
7106;SONY ALIBER;3;;;
7107;tilemsi;3;;;
7201;ansongo;3;;;
7202;bara;3;;;
7203;bourra;3;;;
7204;ouattagouna;3;;;
7205;talataye;3;;;
7206;tessit;3;;;
7302;bamba;3;;;
7303;taboye;3;;;
7304;tarkint;3;;;
7305;temera;3;;;
7401;menaka;3;;;
7402;alata;3;;;
7403;anderamboukane;3;;;
7404;inekar;3;;;
7405;tidermene;3;;;
9101;COMMUNE I;3;;;
9202;COMMUNE II;3;;;
9303;COMMUNE III;3;;;
9404;COMMUNE IV;3;;;
9505;COMMUNE V;3;;;
9606;COMMUNE VI;3;;;
11106;;3;;;
