ea_id,com_ca01,com_ca02,com_ca06,com_ca07,com_ca07a,com_ca07b,com_ca07c,com_ca12,com_ca13,com_ca13a,com_ca13b,com_ca13c,com_ca17,com_ca18,com_ca19,com_ca20,com_ca21,com_ca22,com_ca23,com_ca24
10401604,Rumphi,1,20,10 Jun 10,10,6,2010,29,14 Jun 10,14,6,2010,no,no,no,yes,no,yes,MUD BRICK (UNFIRED),grass
10401635,Rumphi,1,20,11 Jan 11,11,1,2011,29,13 Jan 11,13,1,2011,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10401742,Rumphi,1,20,23 Nov 10,23,11,2010,29,30 Nov 10,30,11,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10402537,Rumphi,2,20,26 Nov 10,26,11,2010,29,02 Dec 10,2,12,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10403332,Rumphi,3,20,13 May 10,13,5,2010,29,18 May 10,18,5,2010,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
10403488,Rumphi,3,20,19 Feb 11,19,2,2011,29,24 Feb 11,24,2,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10404186,Rumphi,4,20,17 Sep 10,17,9,2010,29,17 Sep 10,17,9,2010,no,no,no,no,no,no,BURNT BRICKS,grass
10404707,Rumphi,4,20,20 Dec 10,20,12,2010,29,21 Dec 10,21,12,2010,no,no,no,no,no,yes,COMPACTED EARTH (YAMDINDO),grass
10405213,Rumphi,5,20,05 Jul 10,5,7,2010,29,11 Jul 10,11,7,2010,no,no,no,no,no,no,MUD BRICK (UNFIRED),grass
10405404,Rumphi,5,20,03 Mar 11,3,3,2011,29,07 Mar 11,7,3,2011,yes,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10407068,Rumphi,7,20,14 Jan 11,14,1,2011,29,15 Jan 11,15,1,2011,no,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10407194,Rumphi,7,20,28 Jul 10,28,7,2010,29,29 Jul 10,29,7,2010,yes,no,yes,yes,no,yes,BURNT BRICKS,grass
10407628,Rumphi,7,20,07 Jan 11,7,1,2011,29,11 Jan 11,11,1,2011,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10408441,Rumphi,8,20,03 Apr 10,3,4,2010,29,18 May 10,18,5,2010,no,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10409468,Rumphi,9,20,20 Oct 10,20,10,2010,29,21 Oct 10,21,10,2010,no,no,yes,yes,no,no,COMPACTED EARTH (YAMDINDO),grass
10420001,Rumphi,20,20,03 Sep 10,3,9,2010,29,08 Sep 10,8,9,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10420035,Rumphi,20,20,17 May 10,17,5,2010,29,25 May 10,25,5,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10420080,Rumphi,20,20,26 Feb 11,26,2,2011,29,03 Mar 11,3,3,2011,yes,yes,yes,yes,yes,yes,grass,IRON SHEETS
10501055,Mzimba,1,38,19 Feb 11,19,2,2011,391,21 Feb 11,21,2,2011,yes,no,no,yes,no,yes,MUD BRICK (UNFIRED),grass
10501216,Mzimba,1,38,08 Nov 10,8,11,2010,391,11 Nov 10,11,11,2010,no,no,no,no,no,yes,MUD BRICK (UNFIRED),grass
10501505,Mzimba,1,38,30 Sep 10,30,9,2010,391,01 Oct 10,1,10,2010,no,no,yes,no,yes,yes,BURNT BRICKS,IRON SHEETS
10501709,Mzimba,1,30,30 Apr 10,30,4,2010,391,30 Mar 11,30,3,2011,no,no,yes,yes,yes,yes,BURNT BRICKS,grass
10502043,Mzimba,2,38,20 Dec 10,20,12,2010,391,10 Jan 11,10,1,2011,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),IRON SHEETS
10502268,Mzimba,2,30,08 Jun 11,8,6,2011,391,31 Mar 11,31,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10502439,Mzimba,2,38,25 Oct 10,25,10,2010,391,27 Oct 10,27,10,2010,no,no,no,yes,no,yes,MUD BRICK (UNFIRED),grass
10502593,Mzimba,2,38,10 Oct 10,10,10,2010,391,11 Oct 10,11,10,2010,no,no,no,yes,yes,yes,MUD BRICK (UNFIRED),grass
10502730,Mzimba,2,38,14 Mar 11,14,3,2011,391,18 Mar 11,18,3,2011,yes,no,yes,no,no,yes,MUD BRICK (UNFIRED),grass
10503211,Mzimba,3,38,14 Jan 11,14,1,2011,391,17 Jan 11,17,1,2011,no,no,no,no,no,no,MUD BRICK (UNFIRED),grass
10503367,Mzimba,3,30,24 Mar 10,24,3,2010,391,30 Mar 11,30,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10505136,Mzimba,5,30,19 May 10,19,5,2010,391,31 Mar 11,31,3,2011,no,no,yes,yes,yes,yes,BURNT BRICKS,grass
10505151,Mzimba,5,38,25 Feb 11,25,2,2011,391,27 Feb 11,27,2,2011,no,no,no,no,no,yes,MUD BRICK (UNFIRED),grass
10505231,Mzimba,5,38,19 Nov 10,19,11,2010,391,20 Nov 10,20,11,2010,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),grass
10505310,Mzimba,5,30,24 Jul 10,24,7,2010,222,08 Apr 11,8,4,2011,no,no,yes,no,no,yes,BURNT BRICKS,grass
10505508,Mzimba,5,38,27 Sep 10,27,9,2010,391,30 Sep 10,30,9,2010,no,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10506127,Mzimba,6,38,09 Mar 11,9,3,2011,391,18 Mar 11,18,3,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10506548,Mzimba,6,38,01 Dec 10,1,12,2010,391,02 Dec 10,2,12,2010,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
10507175,Mzimba,7,38,11 Oct 10,11,10,2010,391,12 Oct 10,12,10,2010,no,no,yes,yes,no,yes,BURNT BRICKS,IRON SHEETS
10507344,Mzimba,7,30,06 Jul 10,6,7,2010,391,31 Mar 11,31,3,2011,no,no,yes,yes,no,yes,COMPACTED EARTH (YAMDINDO),grass
10508369,Mzimba,8,38,24 Oct 10,24,10,2010,391,26 Oct 10,26,10,2010,no,no,no,no,no,yes,MUD BRICK (UNFIRED),grass
10509319,Mzimba,9,30,30 Mar 11,30,3,2011,391,30 Mar 11,30,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10509474,Mzimba,9,38,20 Jan 11,20,1,2011,391,23 Jan 11,23,1,2011,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),grass
10510388,Mzimba,10,30,28 Jul 10,28,7,2010,391,30 Mar 11,30,3,2011,no,no,yes,yes,no,yes,BURNT BRICKS,grass
10732047,Mzuzu City,32,38,28 Jan 11,28,1,2011,391,31 Jan 11,31,1,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10732070,Mzuzu City,32,38,20 Sep 10,20,9,2010,391,22 Sep 10,22,9,2010,no,no,no,no,yes,yes,BURNT BRICKS,IRON SHEETS
10732192,Mzuzu City,32,30,10 May 10,10,5,2010,391,29 Jun 10,29,6,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10733465,Mzuzu City,33,38,06 Nov 10,6,11,2010,391,20 Nov 10,20,11,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10733640,Mzuzu City,33,38,21 Sep 10,21,9,2010,391,22 Sep 10,22,9,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,grass
10734370,Mzuzu City,34,38,06 Oct 10,6,10,2010,391,09 Oct 10,9,10,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10734393,Mzuzu City,34,38,05 Mar 11,5,3,2011,391,10 Mar 11,10,3,2011,no,no,yes,yes,no,yes,MUD BRICK (UNFIRED),IRON SHEETS
10734407,Mzuzu City,34,38,22 Oct 10,22,10,2010,391,24 Oct 10,24,10,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10734762,Mzuzu City,34,30,10 Jul 10,10,7,2010,391,13 Jul 10,13,7,2010,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),IRON SHEETS
10735130,Mzuzu City,35,38,12 Jan 11,12,1,2011,391,14 Jan 11,14,1,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10735173,Mzuzu City,35,30,03 Apr 10,3,4,2010,39,21 May 10,21,5,2010,yes,no,yes,yes,yes,yes,MUD BRICK (UNFIRED),IRON SHEETS
10736053,Mzuzu City,36,38,23 Feb 11,23,2,2011,391,25 Feb 11,25,2,2011,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10736174,Mzuzu City,36,38,15 Nov 10,15,11,2010,391,16 Nov 10,16,11,2010,yes,yes,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
10736377,Mzuzu City,36,30,27 Apr 10,27,4,2010,39,20 May 10,20,5,2010,yes,no,yes,yes,yes,yes,BURNT BRICKS,IRON SHEETS
