ea_id,com_cg01,com_cg02,com_cg03,com_cg04,com_cg05,com_cg06,com_cg07,com_cg08,com_cg09,com_cg10,com_cg11,com_cg12,com_cg13,com_cg14,com_cg15,com_cg16,com_cg17,com_cg18,com_cg19,com_cg20,com_cg21,com_cg22,com_cg23,com_cg24,com_cg25,com_cg26,com_cg27,com_cg28,com_cg29,com_cg30,com_cg31,com_cg32,com_cg33,com_cg34
10102004,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,NOT APPLICABLE,MUCH WORSE,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,better,better,better,better,NOT APPLICABLE,worse,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,better,better,MUCH WORSE,worse,MUCH WORSE,MUCH WORSE,MUCH WORSE,MUCH BETTER,MUCH BETTER,better,1
10102379,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,ABOUT THE SAME,worse,MUCH BETTER,better,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,better,better,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,better,better,ABOUT THE SAME,ABOUT THE SAME,worse,4
10102621,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,ABOUT THE SAME,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,ABOUT THE SAME,better,MUCH BETTER,worse,worse,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,better,MUCH BETTER,MUCH BETTER,MUCH WORSE,worse,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,5
10103414,MUCH BETTER,better,better,better,NOT APPLICABLE,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,better,MUCH BETTER,ABOUT THE SAME,better,better,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,better,better,better,MUCH BETTER,ABOUT THE SAME,5
10103452,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,better,worse,better,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,better,better,MUCH BETTER,worse,worse,NOT APPLICABLE,better,ABOUT THE SAME,better,MUCH BETTER,MUCH WORSE,MUCH WORSE,worse,worse,worse,worse,4
10103681,MUCH BETTER,MUCH BETTER,better,MUCH BETTER,NOT APPLICABLE,worse,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,better,worse,ABOUT THE SAME,better,MUCH BETTER,better,worse,worse,MUCH BETTER,ABOUT THE SAME,worse,ABOUT THE SAME,MUCH WORSE,MUCH WORSE,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,5
10104150,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,worse,worse,better,better,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,ABOUT THE SAME,better,better,better,ABOUT THE SAME,ABOUT THE SAME,NOT APPLICABLE,ABOUT THE SAME,ABOUT THE SAME,better,MUCH BETTER,better,worse,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,4
10104351,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,ABOUT THE SAME,worse,worse,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,better,better,better,ABOUT THE SAME,MUCH BETTER,ABOUT THE SAME,ABOUT THE SAME,better,ABOUT THE SAME,ABOUT THE SAME,ABOUT THE SAME,MUCH WORSE,worse,worse,worse,worse,4
10104440,MUCH BETTER,MUCH BETTER,MUCH BETTER,better,NOT APPLICABLE,worse,worse,MUCH BETTER,better,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,MUCH BETTER,better,ABOUT THE SAME,better,better,MUCH BETTER,MUCH BETTER,worse,NOT APPLICABLE,better,NOT APPLICABLE,MUCH BETTER,worse,ABOUT THE SAME,ABOUT THE SAME,worse,worse,worse,worse,1
10105352,ABOUT THE SAME,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,worse,ABOUT THE SAME,better,better,MUCH BETTER,MUCH BETTER,better,better,MUCH BETTER,MUCH BETTER,MUCH BETTER,ABOUT THE SAME,NOT APPLICABLE,NOT APPLICABLE,MUCH BETTER,MUCH BETTER,MUCH BETTER,NOT APPLICABLE,better,NOT APPLICABLE,better,ABOUT THE SAME,ABOUT THE SAME,better,better,worse,ABOUT THE SAME,ABOUT THE SAME,2
