ea_id,com_cd01,com_cd02a,com_cd02b,com_cd03,com_cd04,com_cd05,com_cd06,com_cd07a,com_cd07b,com_cd08a,com_cd08b,com_cd09,com_cd10a,com_cd10b,com_cd11,com_cd12,com_cd13a,com_cd13b,com_cd13c,com_cd14,com_cd15,com_cd16a,com_cd16b,com_cd17,com_cd18a,com_cd18b,com_cd19,com_cd20a,com_cd20b,com_cd21,com_cd22a,com_cd22b,com_cd23,com_cd24a,com_cd24b,com_cd25,com_cd26,com_cd27a,com_cd27b,com_cd28,com_cd29,com_cd30,com_cd31,com_cd32,com_cd33,com_cd34,com_cd35,com_cd36a,com_cd36b,com_cd37,com_cd38,com_cd39,com_cd40a,com_cd40b,com_cd41,com_cd42,com_cd43,com_cd44,com_cd45,com_cd46,com_cd47,com_cd48,com_cd49a,com_cd49b,com_cd50,com_cd51a,com_cd51b,com_cd52,com_cd53,com_cd54,com_cd55,com_cd56,com_cd57,com_cd58,com_cd59,com_cd60a,com_cd60b,com_cd61,com_cd62,com_cd63,com_cd64,com_cd65a,com_cd65b,com_cd65c,com_cd65d,com_cd65e,com_cd65f,com_cd65g,com_cd66,com_cd67a,com_cd67b,com_cd68,com_cd69a,com_cd69b,com_cd70,com_cd71
30103021,TAR/ASPHALT,0,,yes,12,12,yes,,,6,hour,no,90,km,600,no,260,km,zomba,1300,yes,,,no,8,km,no,10,km,no,35,km,no,35,km,8,0,0,,7,629,yes,,no,,,no,20,km,12,511,yes,8,km,7,150,no,0,0,0,0,yes,,,no,6,km,,,,no,,,,,35,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,90,km,yes,,,no,no
30103074,DIRT ROAD (MAINTAINED),10,km,yes,9,12,no,10,km,0,minute,yes,,,,no,250,km,zomba,2000,no,10,km,no,10,km,no,10,km,no,10,km,no,10,km,7,14,5,km,6,1200,yes,,no,,,no,20,km,11,110,yes,10,km,6,900,no,0,0,0,0,yes,,,no,10,km,,,,no,no,,,,10,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,10,km,no,10,km,no,no
30103420,TAR/ASPHALT,0,,yes,12,12,yes,,,3,hour,no,53,km,400,no,135,km,zomba,1100,yes,,,yes,,,no,16,km,no,16,km,no,16,km,4,2,1,km,11,987,yes,,no,,,no,18,km,11,510,yes,8,km,9,320,no,0,0,0,0,yes,,,no,6,km,,,,no,yes,male,no,no,53,km,GOVERNMENT FACILITY,yes,450,no,,,,,,,,no,16,km,no,53,km,no,no
30104022,DIRT ROAD (MAINTAINED),5,km,yes,0,12,no,5,km,3,hour,no,3,km,150,no,127,km,zomba,1150,yes,,,no,8,km,no,12,km,no,2,km,no,12,km,2,5,0,,9,613,no,1,no,,,no,8,km,27,339,yes,12,km,18,230,yes,0,0,0,0,yes,,,no,8,km,,,,no,,,,,35,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,35,km,no,35,km,no,no
30104040,TAR/ASPHALT,0,km,yes,12,12,yes,,,2,hour,no,48,km,500,no,169,km,zomba,1200,yes,,,yes,,,yes,,,no,8,km,no,8,km,6,5,1,km,14,1543,no,4,no,,,no,48,km,24,340,yes,8,km,9,255,yes,0,0,1,1,yes,,,yes,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,yes,yes,,,,,48,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,8,km,no,8,km,no,no
30104708,GRADED GRAVELED,5,km,yes,12,12,no,4,km,30,minute,yes,,,,no,152,km,zomba,2000,no,4,km,yes,,,no,5,km,no,1,km,yes,,,3,16,1,km,6,1275,yes,,no,,,no,10,km,11,162,no,15,km,9,999,no,0,0,0,0,no,5,km,no,23,km,,,,no,,,,,23,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,8,km,no,8,km,no,no
30105325,TAR/ASPHALT,0,meter,yes,12,12,yes,,,30,minute,yes,,,,no,195,km,zomba,1000,yes,,,yes,,,no,10,km,no,10,km,yes,,,5,9,0,,16,1600,yes,,no,,,no,10,km,12,999,no,10,km,14,999,no,1,0,0,0,yes,,,yes,,,ALWAYS AVAILABLE,RELIGIOUS FACILITY,yes,no,,,no,no,0,meter,RELIGIOUS FACILITY,no,,no,,,,,,,,no,72,km,no,72,km,no,no
30105448,DIRT ROAD (MAINTAINED),7,km,yes,12,12,yes,,,1,hour,yes,,,,no,162,km,zomba,2000,no,10,km,no,10,km,no,40,km,no,40,km,no,10,km,6,12,7,km,9,1017,no,3,no,,,no,40,km,11,999,yes,10,km,12,999,no,0,0,0,0,yes,,,no,10,km,,,,no,,,,,10,km,RELIGIOUS FACILITY,no,,no,,,,,,,,no,40,km,no,40,km,no,no
30106005,DIRT ROAD (MAINTAINED),11,km,yes,10,10,no,11,km,2,minute,no,22,km,200,no,151,km,zomba,1100,yes,,,yes,,,no,4,km,no,6,km,no,6,km,1,2,3,km,6,645,no,4,no,,,no,22,km,24,340,yes,8,km,6,250,no,0,0,0,0,no,22,km,no,8,km,,,,no,yes,male,no,no,22,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,22,km,no,22,km,no,no
30106331,TAR/ASPHALT,0,,yes,0,12,yes,,,6,hour,no,16,km,250,no,113,km,zomba,950,yes,,,yes,,,yes,,,no,1,km,no,1,km,5,7,2,km,20,1413,yes,,yes,ALMOST ALL,COOKED FOOD,no,16,km,24,339,yes,2,km,15,271,yes,0,1,0,0,yes,,,no,2,km,,,,no,,,,,16,km,GOVERNMENT FACILITY,yes,600,yes,no,no,yes,no,yes,2,,no,16,km,no,16,km,no,no
30106750,GRADED GRAVELED,72,km,no,0,6,yes,,,90,minute,no,86,km,600,no,157,km,zomba,1600,no,72,km,yes,,,no,72,km,no,72,km,no,41,km,21,33,3,km,11,772,no,2,no,,,no,72,km,8,920,no,41,km,13,741,no,0,0,0,0,yes,,,no,72,km,,,,no,,,,,72,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,72,km,no,72,km,no,no
30107395,GRADED GRAVELED,26,km,yes,6,6,no,6,km,4,hour,yes,,,,no,177,km,zomba,1300,yes,,,no,5,km,no,5,km,no,5,km,yes,,,6,11,6,meter,5,877,yes,,no,,,no,5,km,9,999,no,20,km,8,900,no,0,0,0,0,no,4,km,no,5,km,,,,yes,yes,male,yes,no,5,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,30,km,no,30,km,no,no
30107624,DIRT ROAD (MAINTAINED),29,km,yes,0,12,yes,,,1,hour,no,58,km,800,no,167,km,zomba,1500,no,8,km,no,8,km,no,8,km,no,8,km,no,8,km,3,6,0,,4,682,no,4,no,,,no,58,km,24,339,yes,10,km,9,235,yes,0,0,0,0,no,8,km,no,10,km,,,,no,yes,male,yes,no,58,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,58,km,no,58,km,no,no
30108117,DIRT ROAD (MAINTAINED),55,km,yes,0,12,yes,,,1,hour,no,99,km,800,no,219,km,zomba,1600,yes,,,no,4,km,no,6,km,no,6,km,no,6,km,1,3,7,km,5,84,yes,,no,,,no,99,km,24,339,yes,6,km,8,380,no,0,0,0,0,yes,,,no,6,km,,,,no,yes,female,no,no,99,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,99,km,no,99,km,no,no
30108401,GRADED GRAVELED,56,km,yes,12,12,yes,,,5,hour,no,101,km,700,no,800,km,zomba,1850,yes,,,yes,,,no,22,km,no,22,km,no,22,km,1,11,15,km,4,867,yes,,no,,,no,22,km,6,320,no,22,km,6,320,no,24,0,0,0,yes,,,yes,,,ALWAYS AVAILABLE,GOVERNMENT FACILITY,no,no,,,,,101,km,GOVERNMENT FACILITY,yes,200,no,,,,,,,,no,101,km,no,101,km,no,no
30109724,GRADED GRAVELED,10,km,no,6,6,yes,,,4,hour,yes,,,,no,200,km,zomba,4000,no,10,km,no,10,km,no,10,km,no,10,km,no,3,km,4,6,7,meter,7,578,yes,,no,,,no,35,km,7,999,no,7,km,7,999,no,0,0,0,0,no,10,km,no,10,km,,,,no,,,,,10,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,76,km,no,76,km,no,no
30120262,TAR/ASPHALT,0,,yes,12,12,yes,,,8,hour,yes,,,,no,129,km,zomba,700,yes,,,no,32,km,no,4,km,no,2,km,no,2,km,0,6,500,meter,22,2517,no,6,yes,ALMOST ALL,COOKED FOOD,no,2,km,24,339,yes,10,km,8,150,no,0,0,0,0,yes,,,no,2,km,,,,no,,,,,2,km,GOVERNMENT FACILITY,no,,yes,no,no,yes,yes,yes,2,,no,2,km,yes,,,no,no
30201076,DIRT ROAD (MAINTAINED),5,km,yes,0,12,no,5,km,6,hour,no,10,km,50,no,75,km,zomba,650,no,5,km,no,10,km,no,10,km,no,10,km,no,10,km,2,4,5,km,7,781,yes,,no,,,no,10,km,11,324,yes,12,km,13,104,no,0,0,0,0,no,,,no,10,km,,,,no,yes,female,yes,no,10,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,10,km,no,10,km,no,no
30201146,TAR/ASPHALT,0,,yes,12,12,yes,,,5,hour,no,56,km,400,no,97,km,zomba,600,no,1,km,no,1,km,no,1,km,no,1,km,no,1,km,2,7,1,km,13,1583,yes,,no,,,no,35,km,11,412,yes,3,km,8,279,yes,0,0,0,1,yes,,,no,4,km,,,,no,,,,,31,km,GOVERNMENT FACILITY,no,,yes,no,no,no,no,yes,2,,no,35,km,yes,,,no,no
30201498,TAR/ASPHALT,0,km,yes,12,12,yes,,,3,minute,no,72,km,550,no,100,km,zomba,700,no,9,km,no,9,km,no,9,km,no,9,km,no,9,km,4,6,0,km,6,639,no,4,no,,,no,10,km,8,350,yes,10,km,7,240,yes,0,0,0,0,yes,,,no,10,km,,,,no,yes,female,no,no,43,km,GOVERNMENT FACILITY,no,,no,,,,,,,,no,10,km,no,10,km,no,no
