"PASSAGE","GRAPPE","MENAGE","EXTENSION","AS02EQ01","AS02EQ03","AS02EQ0","AS02EQ04","AS02EQ05","CULTURE","AS02EQ06A","AS02EQ06B","AS02EQ07A","AS02EQ07B","AS02EQ07C","AS02EQ07D","AS02EQH","AS02EQ0A","AS02EQ07E","AS02EQ07F","AS02EQ08","AS02EQ09","AS02EQ10","AS02EQ0C"
2,94,18,0,6,1,18,1,"NIEBE",8,10,11,5,5,14,1,18,6,,,2,,,1
2,94,18,0,7,1,19,1,"MIL",1,10,11,95,5,266,1,19,7,,,2,,,1
2,94,18,0,7,1,20,1,"SORGHO",2,10,11,15,5,41,1,20,7,,,2,,,1
2,94,18,0,7,1,21,1,"NIEBE",8,10,11,9,5,24,1,21,7,,,2,,,1
2,95,1,2,1,1,1,1,"MIL",1,11,12,150,5,420,1,1,1,,,2,,,1
2,95,1,2,1,1,2,1,"SORGHO",2,11,12,50,5,135,1,2,1,,,2,,,1
2,95,1,2,1,1,3,1,"NIEBE",8,0,,,,,,3,1,0,1,1,100,3,1
2,95,2,0,1,1,1,1,"MIL",1,11,12,75,5,210,1,1,1,,,2,,,1
2,95,2,0,1,1,2,1,"SORGHO",2,0,,,,,,2,1,0,1,1,100,3,1
2,95,2,0,1,1,3,1,"NIEBE",8,11,12,7,5,19,1,3,1,,,2,,,1
2,95,2,0,2,1,4,1,"MIL",1,11,12,25,5,70,1,4,2,,,2,,,1
2,95,2,0,2,1,5,1,"NIEBE",8,11,12,2,5,5,1,5,2,,,2,,,1
2,95,2,0,3,1,6,1,"MIL",1,11,12,150,5,420,1,6,3,,,2,,,1
2,95,2,0,3,1,8,1,"SORGHO",2,11,12,15,5,41,1,8,3,,,2,,,1
2,95,2,0,3,1,7,1,"NIEBE",8,11,12,10,5,27,1,7,3,,,2,,,1
2,95,3,0,1,1,1,1,"MIL",1,12,12,75,5,210,1,1,1,,,2,,,1
2,95,3,0,1,1,2,1,"SORGHO",2,0,,,,,,2,1,0,1,1,100,3,1
2,95,3,0,1,1,3,1,"NIEBE",8,12,12,3,5,8,1,3,1,,,2,,,1
2,95,4,0,1,1,1,1,"MIL",1,11,11,100,5,280,1,1,1,,,2,,,1
2,95,4,0,1,1,2,1,"SORGHO",2,11,12,10,5,27,1,2,1,,,2,,,1
2,95,4,0,2,1,3,1,"MIL",1,11,12,50,5,140,1,3,2,,,2,,,1
2,95,4,0,2,1,4,1,"SORGHO",2,11,12,5,5,14,1,4,2,,,2,,,1
2,95,5,0,1,1,1,1,"NIEBE",8,11,12,30,5,81,1,1,1,,,2,,,1
2,95,6,0,1,1,1,1,"MIL",1,11,12,250,5,700,1,1,1,,,2,,,1
2,95,6,0,1,1,2,1,"SORGHO",2,11,12,50,5,135,1,2,1,,,2,,,1
2,95,6,0,1,1,3,1,"NIEBE",8,11,12,10,5,27,1,3,1,,,2,,,1
2,95,6,0,3,1,5,1,"MIL",1,11,12,125,5,350,1,5,3,,,2,,,1
2,95,6,0,3,1,7,1,"SORGHO",2,11,12,15,5,41,1,7,3,,,2,,,1
2,95,6,0,3,1,6,1,"NIEBE",8,0,,,,,,6,3,0,1,1,100,3,1
2,95,7,0,1,1,1,1,"MIL",1,10,10,130,5,362,1,1,1,,,1,20,3,1
2,95,7,0,1,1,2,1,"SORGHO",2,10,10,28,5,76,1,2,1,,,1,60,3,1
2,95,7,0,1,1,3,1,"NIEBE",8,10,10,15,5,415,1,3,1,,,1,70,3,1
2,95,7,0,2,1,4,1,"MIL",1,10,10,215,5,602,1,4,2,,,2,,,1
2,95,7,0,2,1,5,1,"SORGHO",2,10,10,84,5,127,1,5,2,,,2,,,1
2,95,7,0,2,1,6,1,"NIEBE",8,10,10,20,5,54,1,6,2,,,2,,,1
2,95,7,0,3,1,7,1,"MIL",1,10,10,120,5,364,1,7,3,,,1,10,3,1
2,95,7,0,3,1,8,1,"NIEBE",8,10,10,10,5,27,1,8,3,,,1,20,3,1
2,95,8,0,1,1,1,1,"MIL",1,10,10,60,5,168,1,1,1,,,1,90,3,1
2,95,8,0,1,1,2,1,"SORGHO",2,0,,,,,,2,1,0,1,1,100,3,1
2,95,8,0,1,1,3,1,"NIEBE",8,0,,,,,,3,1,0,1,1,100,7,1
2,95,8,0,2,1,4,1,"MIL",1,0,,,,,,4,2,0,1,1,100,7,1
2,95,8,0,2,1,5,1,"SORGHO",2,0,,,,,,5,2,0,1,1,100,7,1
2,95,8,0,2,1,6,1,"GOMBO",23,0,,,,,,6,2,0,1,1,100,3,1
2,95,8,0,3,1,7,1,"MIL",1,0,,,,,,7,3,0,1,1,100,3,1
2,95,8,0,3,1,8,1,"SORGHO",2,0,,,,,,8,3,0,1,1,100,3,1
2,95,9,0,1,1,1,1,"SORGHO",2,10,10,125,5,350,1,1,1,,,1,50,7,1
2,95,9,0,1,1,2,1,"NIEBE",8,0,,,,,,2,1,0,1,1,100,7,1
2,95,9,0,1,1,3,1,"SESAME",13,0,,,,,,3,1,0,1,1,100,7,1
2,95,10,0,1,1,1,1,"MIL",1,10,10,40,5,112,1,1,1,,,1,50,3,1
2,95,10,0,1,1,2,1,"SORGHO",2,10,10,15,5,42,1,2,1,,,1,50,3,1
2,95,10,0,1,1,3,1,"NIEBE",8,10,10,4,5,11,1,3,1,,,1,50,3,1
2,95,11,0,1,1,1,1,"MIL",1,10,10,30,5,84,1,1,1,,,1,50,3,1
2,95,11,0,2,1,2,1,"MIL",1,10,10,28,5,140,1,2,2,,,1,50,3,1
2,95,12,0,1,1,1,1,"MIL",1,10,10,100,5,280,1,1,1,,,1,50,3,1
2,95,12,0,1,1,2,1,"SORGHO",2,10,10,49,5,132,1,2,1,,,1,50,3,1
2,95,12,0,1,1,3,1,"NIEBE",8,0,,,,,,3,1,0,1,1,100,6,1
2,95,12,0,2,1,4,1,"MIL",1,10,10,100,5,280,1,4,2,,,1,70,3,1
2,95,12,0,2,1,5,1,"SORGHO",2,10,10,70,5,189,1,5,2,,,1,60,3,1
2,95,12,0,2,1,6,1,"NIEBE",8,10,10,15,5,41,1,6,2,,,1,50,3,1
2,95,12,0,3,1,7,1,"MIL",1,10,10,10,5,140,1,7,3,,,1,60,3,1
2,95,12,0,3,1,8,1,"SORGHO",2,10,10,14,5,38,1,8,3,,,1,70,3,1
2,95,12,0,3,1,9,1,"NIEBE",8,10,10,15,5,41,1,9,3,,,1,65,3,1
